Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1920,NYK,1,Ntilikina-Barrett-MorrisSr.-Randle-Gibson,.450,.470,-3,31%,29%,52.0%,+1%
1920,NYK,2,Payton-Bullock-MorrisSr.-Randle-Gibson,.490,.460,-8,31%,31%,54.0%,-1%
1920,NYK,3,Payton-Barrett-MorrisSr.-Randle-Robinson,.420,.410,+3,44%,29%,55.0%,+3%
1920,NYK,4,Payton-Barrett-Harkless-Randle-Gibson,.510,.440,+4,53%,35%,54.0%,-2%
1920,NYK,5,Payton-Barrett-Bullock-Randle-Gibson,.430,.530,-1,37%,36%,54.5%,+1%
1920,NYK,6,Payton-Barrett-MorrisSr.-Randle-Gibson,.410,.460,-25,27%,26%,52.5%,-5%
1920,NYK,7,Ntilikina-Barrett-MorrisSr.-Randle-Robinson,.410,.510,+10,47%,33%,52.5%,-2%
1920,NYK,8,Ntilikina-Dotson-KnoxII-Portis-Robinson,.490,.370,+7,34%,29%,47.5%,-2%
1920,NYK,9,SmithJr.-Dotson-KnoxII-Portis-Robinson,.390,.420,-12,29%,28%,54.5%,+2%
1920,NYK,10,Ntilikina-Barrett-MorrisSr.-Portis-Randle,.370,.490,-1,34%,29%,49.0%,0%
1920,NYK,11,Payton-Barrett-Harkless-Randle-Robinson,.660,.410,+4,47%,29%,53.0%,+2%
1920,NYK,12,Ntilikina-Ellington-KnoxII-Portis-Robinson,.420,.510,-6,25%,31%,52.0%,-2%
1920,NYK,13,Payton-Barrett-MorrisSr.-Portis-Randle,.550,.510,+9,42%,25%,55.5%,+14%
1920,NYK,14,Payton-Bullock-MorrisSr.-Randle-Robinson,.460,.380,-20,35%,25%,50.5%,-6%
1920,NYK,15,Payton-Dotson-KnoxII-Portis-Robinson,.490,.550,-7,40%,27%,55.5%,+8%
1920,NYK,16,SmithJr.-Ellington-Dotson-Portis-Robinson,.450,.400,-3,29%,27%,50.0%,-9%
1920,NYK,17,Payton-Barrett-Bullock-Portis-Gibson,.490,.490,+3,45%,30%,55.0%,+4%
1920,NYK,18,Payton-Barrett-KnoxII-Randle-Robinson,.450,.450,+13,50%,37%,53.5%,-3%
1920,NYK,19,Payton-Barrett-Bullock-Randle-Robinson,.490,.470,-6,42%,34%,61.5%,-4%
1920,NYK,20,Payton-Dotson-MorrisSr.-Randle-Robinson,.430,.410,-3,33%,33%,58.0%,-7%
