Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1213,SAC,1,Thomas-Evans-Salmons-Thompson-Cousins,.464,.510,+35,40%,33%,49.0%,-1%
1213,SAC,2,Brooks-Evans-Salmons-Thompson-Cousins,.487,.465,-5,39%,28%,55.5%,+2%
1213,SAC,3,Thomas-Thornton-Salmons-Thompson-Cousins,.438,.472,+13,30%,30%,47.5%,+2%
1213,SAC,4,Thomas-Garcia-Salmons-Thompson-Cousins,.462,.457,-1,32%,35%,47.0%,0%
1213,SAC,5,Thomas-Evans-Johnson-Thompson-Cousins,.412,.477,-16,34%,35%,53.0%,-1%
1213,SAC,6,Brooks-Garcia-Salmons-Thompson-Cousins,.484,.437,-3,31%,28%,51.5%,+2%
1213,SAC,7,Thomas-Evans-Salmons-Patterson-Thompson,.468,.500,+5,23%,32%,39.5%,+3%
1213,SAC,8,Brooks-Thornton-Salmons-Thompson-Cousins,.500,.521,+12,38%,29%,46.5%,+1%
1213,SAC,9,Thomas-Thornton-Evans-Thompson-Cousins,.494,.482,-8,34%,32%,48.0%,+2%
1213,SAC,10,Brooks-Thornton-Garcia-Robinson-Hayes,.409,.506,+10,38%,36%,54.0%,-4%
1213,SAC,11,Thomas-Evans-Salmons-Thompson-Hayes,.444,.444,+18,37%,25%,61.0%,+5%
1213,SAC,12,Thomas-Evans-Salmons-Robinson-Cousins,.474,.452,+6,45%,32%,58.0%,+2%
1213,SAC,13,Thomas-Evans-Garcia-Thompson-Cousins,.373,.508,+4,37%,31%,45.5%,+4%
1213,SAC,14,Thomas-Thornton-Evans-Salmons-Cousins,.441,.604,-13,41%,43%,44.0%,-3%
1213,SAC,15,Fredette-Thornton-Johnson-Robinson-Hayes,.464,.424,-11,39%,46%,52.0%,-10%
1213,SAC,16,Thomas-Fredette-Johnson-Robinson-Hayes,.446,.365,+9,29%,29%,53.5%,+10%
1213,SAC,17,Thomas-Evans-Garcia-Salmons-Cousins,.510,.434,-2,45%,23%,39.5%,-1%
1213,SAC,18,Brooks-Thornton-Salmons-Johnson-Thompson,.431,.481,-16,36%,23%,38.0%,+8%
1213,SAC,19,Brooks-Thornton-Evans-Hayes-Cousins,.273,.348,-3,32%,26%,42.5%,0%
1213,SAC,20,Thornton-Evans-Salmons-Thompson-Cousins,.514,.477,+7,46%,43%,48.5%,-4%
