NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Michael Jordan,CHI,2.0,82,3281,0.255,0.19,13.0,2.8,44.5,6.3,5.5
Rodney McCray,HOU,2.2,81,3136,0.365,0.3,19.6,6.3,17.9,8.8,6.6
Clyde Drexler,POR,2.1,82,3114,0.312,0.247,16.0,4.6,27.5,8.0,8.7
Alex English,DEN,3.7,82,3076,0.139,0.02,1.3,-2.5,36.6,5.4,6.6
Dale Ellis,OKC,2.3,82,3073,0.204,0.139,8.9,1.2,31.9,7.0,3.7
Sleepy Floyd,GSW,1.0,82,3064,0.359,0.245,15.6,4.5,24.1,4.2,13.3
Ron Harper,CLE,1.9,82,3064,0.116,0.044,2.8,-1.7,29.4,6.1,6.2
Kevin McHale,BOS,4.0,77,3063,0.404,0.266,17.0,5.2,31.5,12.0,3.1
Fat Lever,DEN,1.4,82,3054,0.392,0.295,18.8,6.1,24.4,11.5,10.3
Xavier McDaniel,OKC,3.0,82,3031,0.209,0.144,9.1,1.4,29.9,11.2,3.3
Kiki Vandeweghe,POR,3.5,79,3029,0.177,0.078,4.9,-0.7,33.6,4.0,3.5
James Donaldson,DAL,5.0,82,3028,0.444,0.304,19.2,6.4,14.1,15.4,1.0
Tom Chambers,OKC,4.0,82,3018,0.132,-0.008,-0.5,-3.3,30.4,8.7,3.9
Isiah Thomas,DET,1.0,81,3013,0.223,0.108,6.8,0.3,26.6,5.1,13.0
Larry Bird,BOS,3.0,74,3005,0.415,0.35,21.9,7.8,33.2,10.9,9.0
Robert Parish,BOS,5.0,80,2995,0.319,0.179,11.2,2.5,22.5,13.6,2.8
Charles Oakley,CHI,3.8,82,2980,0.228,0.103,6.4,0.1,19.2,17.3,4.8
Buck Williams,BRK,4.0,82,2976,0.37,0.233,14.5,4.2,23.7,16.5,2.1
Eddie Johnson,"SAC, OKC",2.8,105,2975,0.092,0.027,1.7,-2.2,28.0,6.4,5.9
Dominique Wilkins,ATL,3.0,79,2969,0.216,0.151,9.3,1.6,37.1,8.0,4.2
Otis Thorpe,SAC,4.0,82,2956,0.313,0.173,10.7,2.3,25.1,13.3,3.3
Chuck Person,IND,3.0,82,2956,0.166,0.101,6.2,0.1,25.0,11.0,4.8
Dennis Johnson,BOS,1.0,79,2933,0.16,0.045,2.8,-1.7,17.4,4.3,9.7
Michael Cage,LAC,4.0,80,2922,0.372,0.232,14.1,4.1,20.6,15.1,2.2
Magic Johnson,LAL,1.0,80,2904,0.472,0.357,21.6,8.0,31.6,8.3,16.1
Reggie Theus,SAC,1.0,79,2862,0.206,0.092,5.5,-0.2,26.8,4.5,11.6
Karl Malone,UTH,3.8,82,2857,0.218,0.091,5.4,-0.2,29.9,14.4,2.7
Bill Laimbeer,DET,5.0,82,2854,0.352,0.212,12.6,3.5,21.2,16.1,2.5
Tim McCormick,PHI,5.0,81,2825,0.223,0.083,4.9,-0.5,17.6,10.4,1.9
James Worthy,LAL,3.0,82,2819,0.244,0.179,10.5,2.5,27.1,7.9,3.8
Terry Cummings,MIL,4.0,82,2765,0.277,0.137,7.9,1.2,29.6,12.2,4.0
Jeff Malone,WAS,2.0,80,2763,0.06,-0.005,-0.3,-3.2,30.5,3.8,5.2
Steve Stipanovich,IND,5.0,81,2761,0.34,0.2,11.5,3.2,18.6,11.6,3.1
Hakeem Olajuwon,HOU,5.0,75,2760,0.401,0.261,15.0,5.0,30.5,14.9,3.8
Rolando Blackman,DAL,2.0,80,2758,0.169,0.104,6.0,0.2,29.2,4.8,4.6
Gerald Wilkins,NYK,2.2,80,2758,0.126,0.061,3.5,-1.2,26.6,5.1,6.2
Charles Barkley,PHI,3.9,68,2740,0.53,0.4,22.8,9.4,27.4,17.4,5.8
Adrian Dantley,DET,3.0,81,2736,0.222,0.157,9.0,1.8,30.6,5.8,2.8
Byron Scott,LAL,1.8,82,2729,0.18,0.106,6.0,0.2,24.6,5.0,4.9
Joe Barry Carroll,GSW,5.0,81,2719,0.143,0.003,0.2,-3.0,30.4,10.4,3.8
Terry Porter,POR,1.0,80,2714,0.318,0.203,11.5,3.2,18.5,6.0,12.6
Hot Rod Williams,CLE,4.2,80,2714,0.304,0.164,9.3,2.0,20.7,11.1,2.7
Alvin Robertson,SAS,2.0,81,2697,0.216,0.151,8.5,1.6,25.5,7.5,7.5
Brad Daugherty,CLE,5.0,80,2695,0.259,0.119,6.7,0.6,22.3,11.5,5.4
John Paxson,CHI,1.0,82,2689,0.184,0.07,3.9,-0.9,16.6,2.5,8.3
Sam Perkins,DAL,4.1,80,2687,0.256,0.116,6.5,0.5,21.2,11.0,2.6
Mark Aguirre,DAL,2.9,80,2663,0.169,0.104,5.8,0.2,37.1,7.7,4.6
Walter Davis,PHO,2.0,79,2646,0.116,0.051,2.8,-1.5,33.9,4.4,6.6
Orlando Woolridge,BRK,3.0,75,2638,0.221,0.156,8.6,1.8,28.2,6.7,4.7
Kevin Willis,ATL,4.2,81,2626,0.317,0.178,9.7,2.4,23.8,15.5,1.1
Maurice Cheeks,PHI,1.0,68,2624,0.311,0.197,10.8,3.0,19.4,3.9,9.8
Robert Reid,HOU,3.0,75,2594,0.091,0.026,1.4,-2.3,19.0,5.3,6.0
Doc Rivers,ATL,1.0,82,2590,0.389,0.274,14.8,5.5,19.5,5.5,15.3
Dave Greenwood,SAS,4.0,79,2587,0.345,0.205,11.1,3.3,17.0,14.5,4.4
Jay Humphries,PHO,1.0,82,2579,0.221,0.106,5.7,0.2,17.2,4.8,11.8
Larry Nance,PHO,4.1,69,2569,0.374,0.234,12.5,4.2,29.0,11.2,4.4
Derek Harper,DAL,1.1,77,2556,0.33,0.221,11.8,3.8,23.1,3.7,11.4
Vern Fleming,IND,1.0,82,2549,0.31,0.195,10.3,3.0,18.5,6.3,8.9
Jack Sikma,MIL,4.7,82,2536,0.324,0.185,9.7,2.7,19.8,15.6,3.8
Herb Williams,IND,4.3,74,2526,0.198,0.058,3.0,-1.3,20.9,10.3,3.3
Ricky Pierce,MIL,2.7,79,2505,0.236,0.171,8.9,2.2,29.5,5.1,2.8
Mark Eaton,UTH,5.0,79,2505,0.279,0.14,7.3,1.3,11.7,13.4,2.0
Danny Ainge,BOS,2.0,71,2499,0.222,0.156,8.1,1.8,20.2,4.6,7.7
Roy Hinson,PHI,4.4,76,2489,0.156,0.016,0.8,-2.6,20.4,9.4,1.2
Moses Malone,WAS,5.0,73,2476,0.337,0.197,10.2,3.1,34.1,16.0,2.3
Kareem Abdul-Jabbar,LAL,5.0,78,2441,0.249,0.109,5.6,0.3,26.9,10.3,4.0
Joe Dumars,DET,2.0,79,2439,0.149,0.084,4.2,-0.5,18.3,3.3,6.9
Artis Gilmore,SAS,5.0,82,2405,0.292,0.152,7.6,1.7,18.6,11.6,3.0
Jim Petersen,HOU,4.0,82,2403,0.223,0.083,4.2,-0.5,18.5,11.1,2.5
Chris Mullin,GSW,2.3,82,2377,0.165,0.1,5.0,0.0,25.1,3.7,5.3
Larry Smith,GSW,4.0,80,2374,0.405,0.266,13.1,5.2,14.3,18.5,1.9
Steve Johnson,POR,4.6,79,2345,0.18,0.04,2.0,-1.8,27.2,11.6,3.2
Tony Brown,BRK,2.0,77,2337,0.061,-0.004,-0.2,-3.2,17.9,4.5,5.3
Alton Lister,OKC,5.0,75,2288,0.282,0.142,6.8,1.3,18.3,14.8,2.3
Dave Corzine,CHI,5.0,82,2277,0.269,0.129,6.1,0.9,14.4,11.4,4.4
Mike Gminski,BRK,5.0,72,2275,0.266,0.126,6.0,0.8,24.9,13.3,2.1
John Long,IND,2.0,80,2265,0.029,-0.036,-1.7,-4.2,25.8,4.6,5.5
Michael Cooper,LAL,2.2,82,2253,0.211,0.146,6.9,1.5,18.3,5.4,7.9
Ed Pinckney,PHO,3.3,80,2250,0.363,0.276,12.9,5.5,17.9,12.4,2.5
A.C. Green,LAL,4.0,79,2240,0.368,0.228,10.6,4.0,18.3,13.2,1.8
Benoit Benjamin,LAC,5.0,72,2230,0.183,0.043,2.0,-1.7,17.8,12.6,2.9
Patrick Ewing,NYK,4.5,63,2206,0.197,0.057,2.6,-1.3,29.5,12.1,2.3
John Bagley,CLE,1.0,72,2182,0.163,0.048,2.2,-1.6,16.9,5.5,8.3
LaSalle Thompson,SAC,5.0,82,2166,0.289,0.149,6.7,1.6,20.2,15.2,2.7
Vinnie Johnson,DET,1.6,78,2166,0.129,0.044,2.0,-1.7,27.2,5.7,6.6
Wayman Tisdale,IND,4.0,81,2159,0.212,0.074,3.3,-0.8,26.1,10.6,2.6
Thurl Bailey,UTH,4.3,81,2155,0.111,-0.029,-1.3,-4.0,24.9,9.6,2.3
Terry Catledge,WAS,3.1,78,2149,0.189,0.113,5.1,0.4,22.9,12.5,1.3
Craig Hodges,MIL,1.0,78,2149,0.171,0.056,2.5,-1.3,18.9,3.1,5.4
Mike Woodson,LAC,2.4,74,2126,-0.021,-0.086,-3.8,-5.8,28.5,3.7,4.4
Rickey Green,UTH,1.0,81,2090,0.312,0.197,8.6,3.1,17.9,3.7,12.4
Jerome Kersey,POR,3.0,82,2088,0.292,0.227,9.9,4.0,23.2,11.4,4.5
Phil Hubbard,CLE,3.0,68,2083,0.199,0.134,5.8,1.1,18.5,8.9,3.1
Paul Pressey,MIL,2.0,61,2057,0.32,0.255,10.9,4.9,19.7,6.9,10.3
Randy Wittman,ATL,2.0,71,2049,0.123,0.058,2.5,-1.3,21.1,2.9,4.9
Gerald Henderson,"NYK, OKC",1.0,74,2045,0.179,0.064,2.7,-1.1,18.9,4.1,11.1
Darrell Walker,DEN,1.0,81,2020,0.23,0.115,4.9,0.5,23.5,7.8,6.7
Bill Hanzlik,DEN,3.0,73,1990,0.132,0.066,2.8,-1.0,23.0,6.2,6.8
Bill Cartwright,NYK,5.0,58,1989,0.28,0.14,5.8,1.3,24.5,10.7,2.3
Earl Cureton,"CHI, LAC",3.4,78,1973,0.241,0.143,5.9,1.4,13.8,11.0,3.0
