NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Boris Diaw,SAS,4.0,79,1974,0.261,0.071,2.9,-0.9,17.4,7.9,5.4
Vince Carter,DAL,2.7,81,1973,0.159,0.078,3.2,-0.7,23.5,6.9,5.2
Courtney Lee,"BOS, MEM",2.0,79,1973,0.208,0.126,5.2,0.8,18.5,4.5,2.8
Marc Gasol,MEM,5.0,59,1970,0.282,0.093,3.8,-0.2,20.9,10.3,5.2
Miles Plumlee,PHO,5.0,80,1964,0.332,0.142,5.8,1.3,15.8,15.3,1.1
Iman Shumpert,NYK,2.0,74,1962,0.179,0.097,4.0,-0.1,12.1,7.5,3.2
Maurice Harkless,ORL,3.3,80,1950,0.223,0.107,4.4,0.3,14.6,6.5,2.0
Rodney Stuckey,DET,2.0,73,1950,0.049,-0.032,-1.3,-4.1,24.9,4.2,3.7
Tayshaun Prince,MEM,3.1,76,1948,0.14,0.047,1.9,-1.6,11.2,5.8,2.9
D.J. Augustin,"TOR, CHI",1.0,71,1939,0.206,0.125,5.0,0.8,23.0,3.2,7.7
Ray Allen,MIA,2.2,73,1936,0.199,0.118,4.7,0.6,17.4,5.1,3.5
Wilson Chandler,DEN,3.0,62,1927,0.136,0.049,2.0,-1.6,21.1,7.3,2.8
Kawhi Leonard,SAS,3.2,66,1923,0.392,0.292,11.7,6.0,21.1,10.3,3.3
Giannis Antetokounmpo,MIL,4.0,77,1897,0.194,0.004,0.2,-2.9,13.3,8.6,3.8
Pau Gasol,LAL,5.0,60,1884,0.254,0.064,2.5,-1.1,26.5,14.8,5.1
Tim Hardaway Jr.,NYK,3.0,81,1875,0.118,0.036,1.4,-2.0,21.1,3.1,1.7
Jordan Crawford,"BOS, GSW",1.0,81,1859,0.124,0.043,1.7,-1.7,23.0,4.7,7.3
J.J. Hickson,DEN,4.8,69,1859,0.306,0.117,4.5,0.5,21.0,16.3,2.5
John Henson,MIL,4.2,70,1856,0.307,0.117,4.5,0.6,20.1,12.9,2.9
Avery Bradley,BOS,1.7,60,1855,0.089,0.008,0.3,-2.8,23.1,5.8,2.2
Tobias Harris,ORL,4.0,61,1850,0.23,0.04,1.6,-1.8,23.2,11.0,2.1
Mo Williams,POR,1.5,74,1834,0.103,0.021,0.8,-2.4,18.9,4.0,8.4
Derrick Williams,"MIN, SAC",3.1,78,1820,0.197,0.114,4.3,0.5,16.5,8.5,1.5
Nikola Vucevic,ORL,4.9,57,1812,0.351,0.162,6.1,1.9,21.5,16.6,2.8
Nick Young,LAL,3.0,64,1810,0.073,-0.009,-0.3,-3.4,30.3,4.4,2.5
Marcus Morris,PHO,3.6,82,1800,0.224,0.077,2.9,-0.7,21.2,8.5,2.3
Anderson Varejao,CLE,5.0,65,1800,0.431,0.241,9.0,4.4,14.6,16.8,3.7
Draymond Green,GSW,4.0,82,1797,0.288,0.099,3.7,0.0,13.6,10.9,4.1
Greivis Vasquez,"SAC, TOR",1.3,79,1779,0.165,0.084,3.1,-0.5,20.5,4.7,8.7
Dwyane Wade,MIA,2.0,54,1775,0.263,0.181,6.7,2.5,27.8,6.5,6.8
Alan Anderson,BRK,2.0,78,1773,0.126,0.044,1.6,-1.7,15.3,4.7,2.2
Timofey Mozgov,DEN,5.0,82,1770,0.326,0.136,5.0,1.2,20.9,14.3,1.7
