Year,name,team,position,games_played,minutes,adjusted_plus_minus_per_48,wins_produced_per_48,wins_produced,points_over_par_per_48,points_per_48,rebounds_per_48,assists_per_48
1991,Chris Mullin,GSW,3.1,81,3346,0.262,0.189,13.1,2.8,29.8,6.5,4.1
1991,Tim Hardaway,GSW,1.0,81,3332,0.243,0.112,7.8,0.4,27.3,4.5,11.6
1991,Dennis Rodman,DET,3.4,82,3301,0.564,0.468,32.2,11.5,11.6,22.2,2.8
1991,Joe Dumars,DET,2.0,82,3192,0.152,0.084,5.6,-0.5,24.6,2.8,5.6
1991,Scottie Pippen,CHI,3.0,82,3164,0.341,0.273,18.0,5.4,26.1,9.6,8.7
1991,Patrick Ewing,NYK,5.0,82,3150,0.345,0.199,13.1,3.1,30.0,14.0,2.4
1991,Ron Harper,LAC,2.0,82,3144,0.184,0.116,7.6,0.5,22.8,6.8,6.4
1991,Reggie Miller,IND,2.0,82,3120,0.264,0.197,12.8,3.0,26.1,4.9,4.8
1991,Sean Elliott,SAS,3.0,82,3120,0.229,0.162,10.5,2.0,20.6,6.8,3.3
1991,Michael Jordan,CHI,2.1,80,3102,0.345,0.277,17.9,5.5,37.2,7.9,7.6
1991,Mitch Richmond,SAC,2.2,80,3095,0.113,0.045,2.9,-1.7,28.0,4.9,6.4
1991,Jeff Hornacek,PHO,2.0,81,3073,0.303,0.234,15.0,4.2,25.5,6.4,6.4
1991,Reggie Lewis,BOS,2.0,82,3070,0.185,0.117,7.5,0.6,26.6,6.2,2.9
1991,Sedale Threatt,LAL,1.0,82,3070,0.241,0.11,7.1,0.4,19.4,4.0,9.3
1991,Grant Long,MIA,4.0,82,3063,0.313,0.167,10.7,2.1,19.0,10.8,3.5
1991,Otis Thorpe,HOU,4.2,82,3056,0.33,0.185,11.8,2.7,22.3,13.5,3.9
1991,Karl Malone,UTH,4.0,81,3054,0.362,0.216,13.8,3.6,35.7,14.3,3.8
1991,Larry Johnson,,4.0,82,3047,0.325,0.179,11.4,2.5,24.8,14.2,4.6
1991,Drazen Petrovic,BRK,2.0,82,3027,0.151,0.084,5.3,-0.5,26.8,4.1,4.0
1991,Hersey Hawkins,PHI,2.0,81,3013,0.196,0.129,8.1,0.9,24.5,4.3,4.0
1991,Glen Rice,MIA,3.2,79,3007,0.177,0.098,6.1,0.0,28.2,6.3,2.9
1991,John Stockton,UTH,1.0,82,3002,0.457,0.326,20.4,7.1,20.7,4.3,18.0
1991,Kevin Willis,ATL,4.2,81,2962,0.382,0.237,14.6,4.3,24.0,20.4,2.8
1991,Chuck Person,IND,3.0,81,2923,0.135,0.067,4.1,-1.0,24.6,7.0,6.3
1991,Jeff Malone,UTH,2.0,81,2922,0.096,0.029,1.8,-2.2,26.9,3.8,3.0
1991,Pooh Richardson,MIN,1.0,82,2919,0.223,0.093,5.7,-0.2,22.2,4.9,11.3
1991,Isiah Thomas,DET,1.0,78,2918,0.155,0.024,1.5,-2.3,23.8,4.1,9.2
1991,Kendall Gill,NOR,2.5,79,2906,0.133,0.066,4.0,-1.0,26.8,6.6,5.4
1991,Danny Manning,LAC,3.5,82,2904,0.321,0.215,13.0,3.6,26.1,9.3,4.7
1991,A.C. Green,LAL,3.7,82,2902,0.355,0.232,14.0,4.1,18.5,12.6,1.9
1991,Lionel Simmons,SAC,3.0,78,2895,0.218,0.151,9.1,1.6,22.2,10.5,5.6
1991,Kevin Johnson,PHO,1.0,78,2894,0.304,0.173,10.4,2.3,25.5,4.8,13.9
1991,Charles Barkley,PHI,3.5,75,2881,0.435,0.325,19.5,7.0,28.8,13.8,5.1
1991,Larry Nance,CLE,4.0,81,2880,0.405,0.26,15.6,5.0,22.9,11.2,3.9
1991,Horace Grant,CHI,4.2,81,2859,0.512,0.367,21.8,8.3,19.3,13.5,3.6
1991,Dan Majerle,PHO,2.7,82,2853,0.289,0.222,13.2,3.8,23.9,8.1,4.6
1991,Johnny Dawkins,PHI,1.0,82,2815,0.158,0.027,1.6,-2.2,16.8,3.9,9.7
1991,Rony Seikaly,MIA,5.0,79,2800,0.298,0.152,8.9,1.7,22.2,16.0,1.9
1991,Michael Adams,WAS,1.0,78,2795,0.206,0.075,4.4,-0.7,24.2,5.3,10.2
1991,Greg Anderson,DEN,4.2,82,2793,0.268,0.123,7.2,0.7,16.2,16.2,1.3
1991,Muggsy Bogues,NOR,1.0,82,2790,0.308,0.178,10.3,2.4,12.6,4.0,12.8
1991,Terry Porter,POR,1.0,82,2784,0.286,0.155,9.0,1.8,25.6,4.4,8.2
1991,Armen Gilliam,PHI,4.4,81,2771,0.281,0.135,7.8,1.1,23.7,11.4,2.0
1991,Clyde Drexler,POR,2.2,76,2751,0.347,0.28,16.0,5.6,33.2,8.7,8.9
1991,Micheal Williams,IND,1.0,79,2750,0.332,0.202,11.6,3.2,20.7,4.9,11.3
1991,Kenny Smith,HOU,1.0,81,2735,0.201,0.07,4.0,-0.9,20.0,3.1,9.9
1991,Spud Webb,SAC,1.0,77,2724,0.172,0.041,2.3,-1.8,21.7,3.9,9.6
1991,Dikembe Mutombo,DEN,5.0,71,2716,0.329,0.184,10.4,2.6,20.8,15.4,2.8
1991,Vernon Maxwell,HOU,2.0,80,2700,0.078,0.011,0.6,-2.7,24.4,4.3,5.8
1991,Byron Scott,LAL,2.0,82,2679,0.187,0.12,6.7,0.6,21.8,5.6,4.0
1991,Ricky Pierce,OKC,2.2,78,2658,0.139,0.072,4.0,-0.8,30.5,4.2,4.4
1991,Brad Daugherty,CLE,5.0,73,2643,0.404,0.259,14.2,5.0,28.4,13.8,4.8
1991,Hakeem Olajuwon,HOU,5.0,70,2636,0.403,0.258,14.2,4.9,27.5,15.4,2.9
1991,Reggie Williams,DEN,2.9,81,2623,0.21,0.143,7.8,1.4,27.0,7.4,4.3
1991,Detlef Schrempf,IND,4.0,80,2605,0.362,0.217,11.8,3.7,25.4,14.2,5.7
1991,David Robinson,SAS,5.0,68,2564,0.556,0.411,21.9,9.7,29.5,15.5,3.4
1991,Jerome Kersey,POR,3.0,77,2553,0.305,0.238,12.6,4.3,18.3,11.9,4.6
1991,Gary Payton,OKC,1.0,81,2549,0.229,0.098,5.2,0.0,14.4,5.6,9.5
1991,Mookie Blaylock,BRK,1.0,72,2548,0.208,0.077,4.1,-0.7,18.8,5.1,9.3
1991,Doug West,MIN,2.0,80,2540,0.179,0.112,5.9,0.4,21.1,4.9,5.3
1991,Rolando Blackman,DAL,2.1,75,2527,0.122,0.055,2.9,-1.4,26.1,4.5,3.9
1991,Wayman Tisdale,SAC,4.5,72,2521,0.126,-0.019,-1.0,-3.7,22.8,8.9,2.0
1991,Buck Williams,POR,3.6,80,2519,0.417,0.303,15.9,6.3,17.2,13.4,2.1
1991,Pervis Ellison,WAS,4.8,66,2511,0.36,0.214,11.2,3.6,25.3,14.1,3.6
1991,Moses Malone,MIL,5.0,82,2511,0.35,0.204,10.7,3.3,24.4,14.2,1.8
1991,Billy Owens,GSW,4.0,80,2510,0.268,0.122,6.4,0.7,21.8,12.2,3.6
1991,Stacey Augmon,ATL,2.2,82,2505,0.203,0.135,7.1,1.1,21.0,8.0,3.9
1991,Kevin Gamble,BOS,2.8,82,2496,0.205,0.138,7.2,1.2,21.3,5.5,4.2
1991,Tim Perry,PHO,3.8,80,2483,0.253,0.122,6.3,0.7,19.0,10.7,2.6
1991,Alvin Robertson,MIL,2.0,82,2463,0.211,0.143,7.4,1.4,19.7,6.8,7.0
1991,Michael Cage,OKC,4.2,82,2461,0.411,0.265,13.6,5.2,14.0,14.2,1.8
1991,Mark Jackson,NYK,1.0,81,2461,0.354,0.223,11.4,3.9,17.9,5.9,13.5
1991,Tony Campbell,MIN,2.9,78,2441,0.096,0.029,1.5,-2.2,25.7,5.6,4.5
1991,Ron Anderson,PHI,2.9,82,2432,0.118,0.051,2.6,-1.5,22.2,5.5,2.7
1991,Hot Rod Williams,CLE,4.5,80,2432,0.398,0.253,12.8,4.8,18.8,12.0,3.9
1991,Terry Catledge,ORL,3.8,78,2430,0.24,0.113,5.7,0.4,22.8,10.8,2.2
1991,Chris Morris,BRK,3.0,77,2394,0.273,0.205,10.2,3.3,17.6,9.9,3.9
1991,Harvey Grant,WAS,3.1,64,2388,0.187,0.115,5.7,0.5,23.2,8.7,3.4
1991,Scott Skiles,ORL,1.0,75,2377,0.17,0.039,1.9,-1.9,21.3,4.1,11.0
1991,Eddie Johnson,OKC,3.0,81,2366,0.101,0.034,1.7,-2.0,28.1,5.9,3.3
1991,Gerald Wilkins,NYK,2.2,82,2344,0.091,0.023,1.1,-2.4,20.8,4.2,4.5
1991,Xavier McDaniel,NYK,3.0,82,2344,0.147,0.08,3.9,-0.6,23.0,9.4,3.1
1991,Sam Perkins,LAL,4.5,63,2332,0.296,0.15,7.3,1.6,21.4,11.4,2.9
1991,Charles Oakley,NYK,4.0,82,2309,0.366,0.22,10.6,3.8,10.5,14.6,2.8
1991,Mark Macon,DEN,1.2,76,2304,-0.009,-0.124,-6.0,-6.9,16.8,4.6,3.5
1991,Duane Causwell,SAC,5.0,80,2291,0.297,0.151,7.2,1.6,13.3,12.2,1.2
1991,Anthony Bonner,SAC,3.8,79,2287,0.171,0.042,2.0,-1.8,15.5,10.2,2.6
1991,Robert Parish,BOS,5.0,79,2285,0.349,0.203,9.7,3.2,23.4,14.8,1.5
1991,Blue Edwards,UTH,2.6,81,2283,0.171,0.104,4.9,0.1,21.4,6.3,2.9
1991,Jay Humphries,MIL,1.0,71,2261,0.225,0.094,4.4,-0.2,21.0,3.9,9.9
1991,Derek Harper,DAL,1.0,65,2252,0.156,0.027,1.3,-2.2,24.6,3.6,8.0
1991,Bill Laimbeer,DET,5.0,81,2234,0.216,0.071,3.3,-0.9,16.8,9.7,3.4
1991,Larry Stewart,WAS,4.0,76,2229,0.263,0.118,5.5,0.6,17.1,9.7,2.6
1991,Kenny Gattison,NOR,4.7,82,2223,0.233,0.088,4.1,-0.3,22.5,12.5,2.8
1991,Kevin Duckworth,POR,5.0,82,2222,0.128,-0.017,-0.8,-3.6,19.0,10.7,2.1
1991,Rumeal Robinson,ATL,1.0,81,2220,0.134,0.003,0.1,-3.0,22.8,4.7,9.6
1991,Winston Garland,DEN,1.0,78,2209,0.173,0.042,2.0,-1.8,18.4,4.1,8.9
1991,Derrick Coleman,BRK,4.0,65,2207,0.288,0.143,6.6,1.4,28.0,13.4,4.5
1991,Tyrone Corbin,"MIN, UTH",3.0,80,2207,0.267,0.199,9.2,3.1,17.0,10.3,3.0
1991,Nick Anderson,ORL,2.5,60,2203,0.171,0.103,4.7,0.1,26.1,8.4,3.6
1991,Buck Johnson,HOU,3.0,80,2202,0.123,0.056,2.6,-1.3,14.9,6.8,3.4
1991,Anthony Mason,NYK,4.3,82,2198,0.326,0.18,8.2,2.5,12.5,12.5,2.3
1991,Dale Ellis,MIL,2.7,81,2191,0.132,0.064,2.9,-1.1,27.9,5.5,2.3
1991,Sam Bowie,BRK,5.0,71,2179,0.21,0.065,2.9,-1.1,23.4,12.7,4.1
1991,Sam Mitchell,MIN,3.7,82,2151,0.143,0.019,0.8,-2.5,18.4,10.6,2.1
1991,Terry Davis,DAL,4.4,68,2149,0.279,0.134,6.0,1.1,15.5,15.0,1.3
1991,Terry Cummings,SAS,4.0,70,2149,0.254,0.108,4.9,0.3,27.0,14.1,2.3
1991,Mark Price,CLE,1.0,72,2138,0.33,0.199,8.8,3.1,28.0,3.9,12.0
1991,David Wingate,WAS,2.8,81,2127,0.208,0.14,6.2,1.3,14.4,6.1,5.6
1991,Clifford Robinson,POR,4.7,82,2124,0.174,0.028,1.3,-2.2,23.0,9.4,3.1
1991,John Starks,NYK,2.0,82,2118,0.17,0.102,4.5,0.1,25.8,4.3,6.3
1991,Sarunas Marciulionis,GSW,1.7,72,2117,0.196,0.109,4.8,0.3,30.9,4.7,5.5
1991,Orlando Woolridge,DET,4.0,82,2113,0.13,-0.016,-0.7,-3.6,26.0,5.9,2.0
1991,James Worthy,LAL,3.0,54,2108,0.142,0.075,3.3,-0.8,24.5,6.9,5.7
1991,Rodney McCray,DAL,3.0,75,2106,0.232,0.164,7.2,2.0,15.4,10.7,5.0
1991,Thurl Bailey,"MIN, UTH",4.3,84,2104,0.163,0.017,0.8,-2.5,21.7,11.1,1.8
