NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Truck Robinson,UTH,3.7,82,3638,0.152,0.025,1.9,-2.3,24.6,17.0,2.3
Randy Smith,LAC,2.0,82,3314,0.13,0.087,6.0,-0.4,29.3,4.5,6.6
Elvin Hayes,WAS,4.0,81,3246,0.25,0.091,6.2,-0.2,23.6,15.9,2.2
Dave Cowens,BOS,5.0,77,3215,0.358,0.2,13.4,3.1,21.4,16.1,5.2
Bob McAdoo,NYK,5.0,79,3182,0.285,0.126,8.4,0.8,31.6,15.2,4.5
Bernard King,BRK,3.0,79,3092,0.138,0.091,5.8,-0.3,29.6,11.7,3.0
Artis Gilmore,CHI,5.0,82,3067,0.378,0.219,14.0,3.7,29.4,16.8,4.1
David Thompson,DEN,2.0,80,3025,0.242,0.199,12.5,3.1,34.5,6.2,5.7
Rick Barry,GSW,3.4,82,3024,0.171,0.086,5.4,-0.4,30.1,7.1,7.1
Ricky Sobers,IND,1.0,79,3019,0.149,0.107,6.7,0.2,22.8,5.2,9.3
Scott Wedman,SAC,3.0,81,2961,0.204,0.16,9.9,1.9,23.3,7.5,3.3
Phil Smith,GSW,2.0,82,2940,0.113,0.07,4.3,-0.9,26.3,4.9,6.4
Adrian Dantley,"IND, LAL",3.0,79,2933,0.332,0.289,17.6,5.9,27.8,10.1,4.1
John Lucas,HOU,1.0,82,2933,0.247,0.205,12.5,3.3,16.6,4.2,12.6
Marvin Webster,OKC,5.0,82,2910,0.404,0.245,14.9,4.5,18.9,17.1,3.3
Jim Chones,CLE,4.7,82,2906,0.225,0.066,4.0,-1.0,20.3,13.9,2.2
Calvin Murphy,HOU,1.8,76,2900,0.037,-0.006,-0.4,-3.3,32.3,2.7,4.3
Wilbur Holland,CHI,1.0,82,2884,0.06,0.018,1.1,-2.5,22.7,4.9,5.2
Mickey Johnson,CHI,4.0,81,2870,0.192,0.033,2.0,-2.0,24.8,12.3,4.5
Larry Kenon,SAS,3.8,81,2869,0.21,0.079,4.7,-0.6,28.0,12.9,4.5
George Gervin,SAS,2.0,82,2857,0.227,0.184,10.9,2.6,37.5,7.1,5.1
Dan Issel,DEN,5.0,82,2851,0.316,0.157,9.3,1.8,29.4,14.0,5.1
Kevin Porter,"BRK, DET",1.0,82,2813,0.207,0.165,9.6,2.0,21.1,3.7,14.3
John Havlicek,BOS,2.7,82,2797,0.115,0.071,4.2,-0.9,22.7,5.7,5.6
Bob Wilkerson,DEN,3.0,81,2780,0.079,0.036,2.1,-2.0,15.9,8.2,7.6
Norm Nixon,LAL,1.0,81,2779,0.158,0.116,6.7,0.5,19.1,4.1,9.6
Swen Nater,LAC,5.0,78,2778,0.314,0.155,9.0,1.8,20.9,17.8,3.7
Bob Dandridge,WAS,3.0,75,2777,0.165,0.122,7.1,0.7,25.1,7.6,5.0
Mike Bantom,IND,3.3,82,2775,0.192,0.117,6.8,0.6,21.8,10.6,4.1
Doug Collins,PHI,2.0,79,2770,0.152,0.109,6.3,0.3,26.9,4.0,5.5
Marques Johnson,MIL,3.6,80,2765,0.358,0.248,14.3,4.6,27.0,14.7,3.3
John Shumate,"DET, LAC",4.0,80,2760,0.299,0.14,8.1,1.3,20.6,11.9,3.1
Brian Winters,MIL,1.8,80,2751,0.054,0.011,0.6,-2.7,27.8,4.4,6.9
Lionel Hollins,POR,2.0,81,2741,0.098,0.055,3.1,-1.4,22.5,4.9,6.7
John Williamson,"BRK, IND",2.0,75,2731,-0.064,-0.107,-6.1,-6.4,31.2,4.0,3.8
Ron Boone,SAC,1.8,82,2653,0.03,-0.013,-0.7,-3.5,26.2,4.9,5.6
Wes Unseld,WAS,4.8,80,2644,0.466,0.308,16.9,6.5,11.0,17.3,5.9
Walter Davis,PHO,3.0,81,2590,0.211,0.167,9.0,2.1,36.3,9.0,5.1
Chris Ford,DET,1.5,82,2582,0.203,0.16,8.6,1.9,16.0,5.0,7.1
