NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Vin Baker,MIL,4.2,82,3361,0.246,0.086,6.0,-0.4,20.7,12.1,4.2
Dana Barros,PHI,1.0,82,3318,0.323,0.224,15.5,3.9,24.4,4.0,9.0
Larry Johnson,,3.8,81,3234,0.245,0.104,7.0,0.2,22.6,8.7,5.5
Mitch Richmond,SAC,2.0,82,3172,0.142,0.076,5.0,-0.7,28.3,5.4,4.7
Karl Malone,UTH,4.0,82,3126,0.331,0.171,11.1,2.2,33.6,13.4,4.4
Dikembe Mutombo,DEN,5.0,82,3100,0.421,0.261,16.9,5.0,14.6,15.9,1.7
Dan Majerle,PHO,2.5,82,3091,0.231,0.165,10.6,2.0,19.9,5.8,5.3
David Robinson,SAS,5.0,81,3074,0.454,0.294,18.8,6.1,34.9,13.7,3.7
Mookie Blaylock,ATL,1.0,80,3069,0.3,0.201,12.9,3.2,21.5,6.1,9.6
Gary Payton,OKC,1.0,82,3015,0.293,0.194,12.2,3.0,26.9,4.5,9.3
Scottie Pippen,CHI,3.0,79,3014,0.351,0.285,17.9,5.8,26.9,10.2,6.5
Glen Rice,MIA,2.9,82,3014,0.225,0.159,10.0,1.9,29.2,6.0,3.1
Avery Johnson,SAS,1.0,82,3011,0.25,0.151,9.5,1.6,17.6,3.3,10.7
Clarence Weatherspoon,PHI,3.1,76,2991,0.134,0.062,3.8,-1.2,22.0,8.4,3.5
Jamal Mashburn,DAL,3.0,80,2980,0.074,0.008,0.5,-2.8,31.0,5.3,4.8
Loy Vaught,LAC,4.2,80,2966,0.259,0.099,6.1,0.0,22.7,12.5,2.2
Glenn Robinson,MIL,3.1,80,2958,0.103,0.03,1.8,-2.2,28.5,8.3,3.2
Nick Van Exel,LAL,1.0,80,2944,0.191,0.092,5.6,-0.2,22.0,3.6,10.8
Alonzo Mourning,NOR,4.9,77,2941,0.296,0.136,8.3,1.1,26.8,12.4,1.8
Shaquille O'Neal,ORL,5.0,79,2923,0.396,0.236,14.4,4.3,38.0,14.8,3.5
Patrick Ewing,NYK,5.0,79,2920,0.276,0.116,7.1,0.5,31.0,14.3,3.5
Anfernee Hardaway,ORL,2.5,77,2901,0.303,0.237,14.3,4.3,26.7,5.6,9.1
Detlef Schrempf,OKC,3.5,82,2886,0.337,0.227,13.6,4.0,26.1,8.4,5.2
John Stockton,UTH,1.0,82,2867,0.455,0.356,21.3,8.0,20.2,4.2,16.9
Pooh Richardson,LAC,1.0,80,2864,0.168,0.069,4.1,-0.9,14.6,4.4,10.6
Sean Elliott,SAS,2.7,81,2858,0.181,0.115,6.9,0.5,24.6,4.8,3.5
Hakeem Olajuwon,HOU,5.0,72,2853,0.316,0.156,9.3,1.8,33.7,13.0,4.3
Chris Mills,CLE,3.0,80,2814,0.15,0.084,5.0,-0.5,16.8,6.2,2.6
Vlade Divac,LAL,5.0,80,2807,0.382,0.222,13.0,3.8,21.8,14.2,5.6
Derrick McKey,IND,3.4,81,2805,0.24,0.133,7.8,1.1,18.4,6.7,4.7
Dee Brown,BOS,1.3,79,2792,0.21,0.121,7.1,0.7,21.2,4.3,5.2
Latrell Sprewell,GSW,2.2,69,2771,0.066,0.001,0.0,-3.1,24.6,4.4,4.8
Christian Laettner,MIN,4.2,81,2770,0.263,0.102,5.9,0.1,22.9,10.6,4.1
Walt Williams,SAC,3.0,77,2739,0.174,0.109,6.2,0.3,22.1,6.0,5.5
Hersey Hawkins,NOR,2.0,82,2731,0.271,0.203,11.6,3.2,20.6,5.5,4.6
