NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Anthony Mason,NYK,4.0,82,3457,0.343,0.187,13.5,2.7,16.6,10.6,5.0
Vin Baker,MIL,4.4,82,3319,0.213,0.057,4.0,-1.3,25.0,11.7,3.1
Juwan Howard,WAS,3.6,81,3294,0.154,0.029,2.0,-2.2,26.1,9.6,5.2
Larry Johnson,,4.0,81,3274,0.29,0.135,9.2,1.1,24.3,10.0,5.2
Grant Hill,DET,3.0,80,3260,0.3,0.23,15.6,4.1,23.8,11.5,8.1
Glenn Robinson,MIL,3.0,82,3249,0.128,0.055,3.7,-1.4,24.5,7.4,4.3
Michael Finley,PHO,2.5,82,3212,0.192,0.122,8.1,0.7,18.4,5.6,4.3
Gary Payton,OKC,1.0,81,3162,0.285,0.176,11.6,2.4,23.7,5.1,9.2
Glen Rice,NOR,3.0,79,3142,0.187,0.117,7.6,0.6,26.1,5.8,3.5
Karl Malone,UTH,4.0,82,3113,0.347,0.191,12.4,2.9,32.5,12.4,5.3
Clarence Weatherspoon,PHI,3.6,78,3096,0.264,0.144,9.3,1.4,20.2,11.7,2.4
Michael Jordan,CHI,2.0,82,3090,0.35,0.28,18.0,5.6,38.7,8.4,5.5
Avery Johnson,SAS,1.0,82,3084,0.26,0.151,9.7,1.6,16.7,3.2,12.3
Allan Houston,DET,2.0,82,3072,0.145,0.075,4.8,-0.7,25.3,4.7,3.9
Latrell Sprewell,GSW,2.1,78,3064,0.154,0.083,5.3,-0.5,23.1,6.0,5.1
Chris Mills,CLE,3.2,80,3060,0.197,0.111,7.1,0.4,18.9,6.9,2.9
Dennis Scott,ORL,2.5,82,3041,0.211,0.14,8.9,1.3,22.6,4.9,3.8
Jason Kidd,DAL,1.0,81,3034,0.243,0.135,8.5,1.1,21.3,8.7,12.4
David Robinson,SAS,5.0,82,3019,0.497,0.341,21.5,7.5,32.6,15.9,3.9
Anfernee Hardaway,ORL,2.5,82,3015,0.368,0.298,18.7,6.2,28.3,5.6,9.3
Grant Long,ATL,4.0,82,3008,0.309,0.153,9.6,1.7,17.2,12.6,2.9
Clifford Robinson,POR,4.1,78,2980,0.157,0.001,0.1,-3.0,26.5,7.1,3.1
Loy Vaught,LAC,4.1,80,2966,0.258,0.103,6.3,0.1,21.0,13.1,1.8
Mitch Richmond,SAC,2.0,81,2946,0.178,0.107,6.6,0.3,30.5,4.4,4.2
P.J. Brown,BRK,3.6,81,2942,0.216,0.095,5.8,-0.1,14.9,9.1,2.7
John Stockton,UTH,1.0,82,2915,0.399,0.29,17.6,5.9,19.9,3.7,15.1
Sean Elliott,SAS,2.9,77,2901,0.181,0.111,6.7,0.4,25.4,6.6,3.5
Mookie Blaylock,ATL,1.0,81,2893,0.283,0.174,10.5,2.3,21.0,5.5,7.9
