NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Bradley Beal,WAS,2.0,82,3028,0.274,0.166,10.5,2.1,33.3,6.5,7.1
James Harden,HOU,2.0,78,2867,0.4,0.291,17.4,6.0,47.2,8.7,9.8
Kemba Walker,CHA,1.0,82,2863,0.264,0.145,8.7,1.4,35.2,6.1,8.1
Tobias Harris,"LAC, PHI",4.0,82,2847,0.3,0.119,7.0,0.6,27.7,10.9,3.9
Paul George,OKC,3.1,77,2841,0.369,0.25,14.8,4.7,36.5,10.6,5.4
Damian Lillard,POR,1.1,80,2838,0.355,0.237,14.0,4.3,35.0,6.3,9.3
P.J. Tucker,HOU,4.1,82,2802,0.274,0.084,4.9,-0.5,10.3,8.2,1.6
Kevin Durant,GSW,3.3,78,2702,0.385,0.25,14.1,4.7,36.0,8.8,8.1
Ben Simmons,PHI,1.3,79,2700,0.439,0.324,18.2,7.0,23.8,12.4,10.8
DeMar DeRozan,SAS,3.0,77,2688,0.26,0.148,8.3,1.5,29.2,8.3,8.5
LaMarcus Aldridge,SAS,4.9,81,2687,0.385,0.108,6.0,0.3,30.9,13.3,3.5
Steven Adams,OKC,5.0,80,2669,0.48,0.189,10.5,2.8,19.9,13.7,2.2
Klay Thompson,GSW,2.4,78,2652,0.183,0.073,4.0,-0.8,30.4,5.4,3.4
Andre Drummond,DET,5.0,79,2647,0.551,0.26,14.3,5.0,24.8,22.3,2.0
Aaron Gordon,ORL,4.0,78,2633,0.265,0.083,4.6,-0.5,22.7,10.5,5.3
Russell Westbrook,OKC,1.0,73,2630,0.354,0.235,12.9,4.2,30.6,14.7,14.3
Blake Griffin,DET,4.0,75,2622,0.296,0.115,6.3,0.5,33.7,10.3,7.4
Buddy Hield,SAC,2.0,82,2615,0.239,0.13,7.1,1.0,31.1,7.6,3.8
Jerami Grant,OKC,4.0,80,2612,0.29,0.108,5.9,0.3,20.0,7.7,1.5
Justin Holiday,"CHI, MEM",2.5,82,2607,0.188,0.078,4.2,-0.7,15.8,5.9,2.7
Collin Sexton,CLE,1.0,82,2605,0.066,-0.053,-2.9,-4.7,25.3,4.3,4.5
Donovan Mitchell,UTH,1.8,77,2598,0.133,0.022,1.2,-2.4,33.8,5.8,5.9
Rudy Gobert,UTH,5.0,81,2577,0.662,0.371,19.9,8.5,23.9,19.4,3.0
Bojan Bogdanovic,IND,3.0,81,2573,0.237,0.125,6.7,0.8,27.1,6.2,3.0
Joe Ingles,UTH,3.0,82,2568,0.287,0.175,9.4,2.4,18.6,6.2,8.8
Evan Fournier,ORL,2.3,81,2553,0.131,0.022,1.2,-2.4,23.1,4.9,5.5
Pascal Siakam,TOR,4.1,80,2548,0.37,0.183,9.7,2.6,25.5,10.3,4.7
De'Aaron Fox,SAC,1.0,81,2546,0.286,0.167,8.9,2.1,26.4,5.7,11.1
Karl-Anthony Towns,MIN,5.0,77,2545,0.5,0.209,11.1,3.4,35.5,18.0,4.9
Andrew Wiggins,MIN,2.7,73,2543,0.095,-0.016,-0.8,-3.6,24.9,6.6,3.5
Josh Richardson,MIA,3.0,73,2539,0.195,0.083,4.4,-0.5,22.9,5.0,5.6
Harrison Barnes,"DAL, SAC",4.0,77,2533,0.181,0.002,0.1,-3.0,24.0,6.8,2.2
Nikola Vucevic,ORL,5.0,80,2510,0.495,0.204,10.7,3.3,31.8,18.4,5.9
Nikola Jokic,DEN,5.0,80,2504,0.531,0.24,12.5,4.4,30.7,16.6,11.1
Trae Young,ATL,1.0,81,2503,0.211,0.092,4.8,-0.2,29.7,5.8,12.5
Thaddeus Young,IND,4.0,81,2489,0.346,0.165,8.6,2.1,19.7,10.1,3.9
Jayson Tatum,BOS,3.4,79,2455,0.232,0.092,4.7,-0.2,24.3,9.3,3.3
D'Angelo Russell,BRK,1.0,81,2448,0.219,0.1,5.1,0.0,33.6,6.2,11.0
Jamal Murray,DEN,1.3,75,2447,0.193,0.077,3.9,-0.7,26.8,6.2,7.1
Cedi Osman,CLE,3.2,76,2444,0.176,0.051,2.6,-1.5,19.5,7.0,3.8
Marc Gasol,"MEM, TOR",5.0,79,2436,0.332,0.041,2.1,-1.8,21.1,12.4,6.9
Mikal Bridges,PHO,2.4,82,2417,0.243,0.134,6.7,1.1,13.6,5.2,3.4
Jrue Holiday,NOR,1.3,67,2402,0.315,0.199,9.9,3.1,28.4,6.7,10.4
Khris Middleton,MIL,3.0,77,2393,0.27,0.158,7.9,1.8,28.2,9.2,6.6
JJ Redick,PHI,2.0,76,2379,0.208,0.1,5.0,0.0,27.7,3.8,4.2
CJ McCollum,POR,2.0,70,2375,0.19,0.081,4.0,-0.5,29.7,5.7,4.2
Giannis Antetokounmpo,MIL,4.0,72,2358,0.631,0.45,22.1,10.9,40.6,18.3,8.6
Nicolas Batum,CHA,3.0,75,2354,0.301,0.189,9.3,2.8,14.3,8.0,5.0
Trevor Ariza,"PHO, WAS",3.4,69,2349,0.24,0.101,5.0,0.1,17.6,7.6,5.1
Mike Conley,MEM,1.0,70,2342,0.301,0.182,8.9,2.6,30.3,4.9,9.2
Stephen Curry,GSW,1.0,69,2331,0.377,0.258,12.5,4.9,38.7,7.6,7.4
Brook Lopez,MIL,5.0,81,2322,0.323,0.032,1.5,-2.1,20.9,8.2,2.0
Luka Doncic,DAL,1.0,72,2318,0.289,0.17,8.2,2.2,31.6,11.7,8.9
Kyle Kuzma,LAL,4.0,70,2314,0.166,-0.015,-0.7,-3.6,27.1,7.9,3.7
Dennis Schroder,OKC,1.6,79,2314,0.115,0.002,0.1,-3.0,25.4,5.9,6.7
Bryn Forbes,SAS,1.9,82,2293,0.201,0.091,4.4,-0.2,20.2,5.0,3.7
Joe Harris,BRK,2.0,76,2293,0.268,0.16,7.6,1.9,21.8,6.1,3.8
Al-Farouq Aminu,POR,4.0,81,2292,0.356,0.174,8.3,2.3,15.9,12.8,2.2
Reggie Jackson,DET,1.1,82,2289,0.17,0.052,2.5,-1.5,26.4,4.5,7.2
Eric Bledsoe,MIL,1.0,78,2272,0.384,0.265,12.6,5.2,26.2,7.6,9.1
D.J. Augustin,ORL,1.0,81,2269,0.321,0.202,9.6,3.2,20.1,4.3,9.0
Jeremy Lamb,CHA,2.1,79,2250,0.283,0.174,8.2,2.3,25.8,9.3,3.7
Clint Capela,HOU,5.0,67,2249,0.59,0.299,14.0,6.2,23.8,18.1,2.0
Devin Booker,PHO,1.5,64,2242,0.189,0.075,3.5,-0.7,36.4,5.7,9.3
Julius Randle,NOR,4.0,73,2232,0.343,0.162,7.5,1.9,33.7,13.6,4.9
Danny Green,TOR,2.0,80,2216,0.309,0.201,9.3,3.2,17.8,6.9,2.7
Kyrie Irving,BOS,1.0,67,2214,0.374,0.255,11.8,4.9,34.6,7.3,10.1
Jordan Clarkson,CLE,2.0,81,2214,0.165,0.057,2.6,-1.3,29.6,5.9,4.2
Kyle Lowry,TOR,1.0,65,2213,0.343,0.224,10.4,3.9,20.1,6.8,12.2
Willie Cauley-Stein,SAC,5.0,81,2213,0.426,0.135,6.2,1.1,20.9,14.7,4.2
Marcus Smart,BOS,2.0,80,2200,0.297,0.189,8.7,2.8,15.4,5.1,7.0
Jimmy Butler,"MIN, PHI",3.1,65,2185,0.374,0.254,11.5,4.8,26.7,7.5,5.8
Deandre Ayton,PHO,5.0,71,2183,0.432,0.141,6.4,1.3,25.5,16.0,2.7
Shai Gilgeous-Alexander,LAC,1.0,82,2174,0.232,0.113,5.1,0.4,19.6,5.1,6.0
Zach LaVine,CHI,2.2,63,2171,0.202,0.093,4.2,-0.2,33.0,6.5,6.3
Jae Crowder,UTH,4.0,80,2166,0.215,0.033,1.5,-2.0,21.1,8.5,2.9
Tomas Satoransky,WAS,1.0,80,2164,0.327,0.209,9.4,3.4,15.7,6.2,8.9
Montrezl Harrell,LAC,5.0,82,2158,0.45,0.159,7.2,1.9,30.3,11.9,3.6
Eric Gordon,HOU,2.5,68,2158,0.108,-0.002,-0.1,-3.1,24.5,3.3,2.9
Kevin Knox,NYK,3.6,75,2158,0.047,-0.108,-4.9,-6.4,21.4,7.5,1.8
Joel Embiid,PHI,5.0,64,2154,0.447,0.156,7.0,1.8,39.2,19.4,5.2
