NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Andrew Wiggins,MIN,3.0,82,3048,0.091,0.003,0.2,-3.0,30.4,5.2,3.0
Karl-Anthony Towns,MIN,5.0,82,3031,0.441,0.229,14.4,4.0,32.6,15.9,3.5
James Harden,HOU,1.0,81,2947,0.432,0.322,19.7,6.9,38.4,10.8,14.8
Giannis Antetokounmpo,MIL,3.0,80,2845,0.427,0.339,20.1,7.5,30.9,11.8,7.3
John Wall,WAS,1.0,78,2836,0.308,0.198,11.7,3.1,30.6,5.6,14.0
Jimmy Butler,CHI,3.0,76,2809,0.41,0.326,19.1,7.1,31.0,8.0,7.1
Harrison Barnes,DAL,4.0,79,2804,0.187,-0.025,-1.5,-3.9,26.0,6.8,2.0
Russell Westbrook,OKC,1.1,81,2802,0.421,0.313,18.3,6.7,43.8,14.9,14.4
C.J. McCollum,POR,1.7,80,2796,0.22,0.129,7.5,0.9,31.5,5.0,4.9
LeBron James,CLE,3.6,74,2795,0.443,0.278,16.2,5.6,33.6,11.0,11.1
Trevor Ariza,HOU,3.2,80,2773,0.276,0.17,9.8,2.2,16.2,7.9,3.0
Rudy Gobert,UTH,5.0,81,2744,0.596,0.384,22.0,8.9,19.9,18.1,1.7
Kemba Walker,CHA,1.0,79,2739,0.255,0.145,8.3,1.4,32.1,5.5,7.6
Devin Booker,PHO,2.2,78,2731,0.052,-0.032,-1.8,-4.1,30.3,4.4,4.7
Anthony Davis,NOR,4.9,75,2708,0.418,0.206,11.6,3.3,37.2,15.9,2.8
Damian Lillard,POR,1.0,75,2693,0.292,0.182,10.2,2.6,36.1,6.5,7.8
Paul George,IND,3.2,75,2689,0.252,0.145,8.1,1.4,31.7,8.8,4.5
Bradley Beal,WAS,2.0,77,2684,0.241,0.157,8.8,1.8,31.8,4.2,4.8
Jeff Teague,IND,1.1,82,2657,0.324,0.216,12.0,3.6,22.7,6.0,11.5
Gorgui Dieng,MIN,4.1,82,2653,0.322,0.11,6.1,0.3,14.8,11.7,2.9
Klay Thompson,GSW,2.4,78,2651,0.179,0.095,5.3,-0.1,31.5,5.2,2.9
Stephen Curry,GSW,1.0,79,2638,0.362,0.252,13.8,4.7,36.4,6.4,9.5
DeMar DeRozan,TOR,2.4,74,2620,0.223,0.139,7.6,1.2,37.0,7.1,5.3
Nicolas Batum,CHA,2.7,77,2617,0.258,0.174,9.5,2.3,21.3,8.9,8.3
