NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Michael Jordan,CHI,2.0,81,3255,0.457,0.382,25.9,8.8,38.8,9.6,9.6
Dale Ellis,OKC,2.0,82,3190,0.171,0.096,6.4,-0.1,33.9,5.1,2.5
Kevin Johnson,PHO,1.0,81,3179,0.378,0.253,16.7,4.8,24.9,5.1,15.0
John Stockton,UTH,1.0,82,3171,0.483,0.357,23.6,8.0,21.2,3.8,16.9
Kenny Smith,SAC,1.0,81,3145,0.154,0.029,1.9,-2.2,21.4,3.4,9.5
Otis Thorpe,HOU,4.0,82,3135,0.311,0.176,11.5,2.4,21.0,12.0,3.1
Karl Malone,UTH,3.1,80,3126,0.345,0.264,17.2,5.1,35.7,13.1,3.4
Terry Porter,POR,1.2,81,3102,0.322,0.207,13.4,3.4,22.1,5.7,11.9
Charles Barkley,PHI,4.0,79,3088,0.523,0.388,25.0,9.0,31.7,15.3,5.1
Clyde Drexler,POR,2.0,78,3064,0.343,0.268,17.1,5.3,33.3,9.6,7.0
Chris Mullin,GSW,3.3,82,3062,0.282,0.191,12.2,2.9,34.1,7.6,6.5
Hakeem Olajuwon,HOU,5.0,82,3024,0.423,0.289,18.2,5.9,32.3,17.5,2.4
Ken Norman,LAC,3.0,80,3020,0.2,0.125,7.9,0.8,23.0,10.6,4.4
Tom Chambers,PHO,4.0,81,3002,0.165,0.03,1.9,-2.1,33.3,10.9,3.7
Dominique Wilkins,ATL,3.0,80,2997,0.204,0.13,8.1,1.0,33.6,8.9,3.4
Chuck Person,IND,3.0,80,2975,0.094,0.019,1.2,-2.5,27.9,8.3,4.7
Derek Harper,DAL,1.0,81,2968,0.255,0.129,8.0,0.9,22.7,3.7,9.2
James Worthy,LAL,3.0,81,2960,0.261,0.187,11.5,2.7,26.9,7.9,4.7
Alex English,DEN,3.5,82,2956,0.112,0.007,0.5,-2.9,35.3,5.3,6.2
Rolando Blackman,DAL,2.0,78,2946,0.134,0.06,3.7,-1.2,25.0,4.4,4.7
Isiah Thomas,DET,1.0,80,2924,0.199,0.073,4.4,-0.8,23.9,4.5,10.9
Mark Eaton,UTH,5.0,82,2914,0.355,0.221,13.4,3.8,8.4,13.9,1.4
Patrick Ewing,NYK,5.0,80,2896,0.37,0.236,14.2,4.3,30.1,12.3,3.1
Magic Johnson,LAL,1.0,77,2886,0.512,0.386,23.2,8.9,28.8,10.1,16.4
Moses Malone,ATL,5.0,81,2878,0.391,0.256,15.4,4.9,27.3,15.9,1.9
Kevin McHale,BOS,4.0,78,2876,0.286,0.151,9.1,1.6,29.3,10.6,2.9
Sam Perkins,DAL,4.3,78,2860,0.252,0.117,7.0,0.6,19.7,11.5,2.1
Robert Parish,BOS,5.0,80,2840,0.443,0.309,18.3,6.5,25.1,16.8,3.0
Terry Cummings,MIL,4.0,80,2824,0.196,0.063,3.7,-1.1,31.1,11.0,3.4
Ron Harper,CLE,2.0,82,2822,0.29,0.213,12.5,3.5,26.0,7.0,7.4
Horace Grant,CHI,4.0,79,2809,0.283,0.148,8.7,1.5,16.2,11.6,2.9
Derrick McKey,OKC,3.7,82,2804,0.234,0.117,6.9,0.6,22.3,7.9,3.7
Brad Daugherty,CLE,5.0,78,2793,0.301,0.166,9.7,2.1,25.3,12.3,4.9
Sleepy Floyd,HOU,1.1,82,2788,0.298,0.179,10.4,2.5,20.0,5.3,12.2
Thurl Bailey,UTH,4.1,82,2777,0.133,-0.001,-0.1,-3.1,27.6,7.7,2.4
Michael Adams,DEN,1.0,77,2754,0.303,0.177,10.2,2.4,24.8,4.9,8.5
Mike Gminski,PHI,5.0,82,2739,0.261,0.126,7.2,0.8,24.7,13.5,2.4
Jerome Kersey,POR,3.0,76,2716,0.251,0.177,10.0,2.4,23.5,11.1,4.3
Fat Lever,DEN,1.6,71,2711,0.403,0.31,17.5,6.6,24.9,11.7,9.9
Mark Price,CLE,1.0,75,2700,0.343,0.217,12.2,3.7,25.1,4.0,11.2
Willie Anderson,SAS,3.0,81,2699,0.182,0.108,6.1,0.3,26.8,7.4,6.6
Mitch Richmond,GSW,2.1,79,2696,0.137,0.063,3.5,-1.1,31.0,8.3,5.9
Kevin Duckworth,POR,5.0,79,2662,0.124,-0.01,-0.6,-3.4,25.8,11.5,1.1
Reggie Lewis,BOS,3.0,81,2647,0.159,0.084,4.6,-0.5,27.1,6.8,4.0
Bill Laimbeer,DET,5.0,81,2640,0.321,0.187,10.3,2.7,20.1,14.1,3.2
Winston Garland,GSW,1.0,79,2638,0.192,0.066,3.6,-1.0,20.8,6.0,9.2
Ron Anderson,PHI,3.0,82,2623,0.133,0.059,3.2,-1.2,24.3,7.4,2.5
Byron Scott,LAL,1.8,74,2605,0.149,0.062,3.4,-1.1,26.7,5.6,4.3
Charles Oakley,NYK,4.0,82,2604,0.328,0.193,10.5,2.9,19.6,15.9,3.4
Mark Aguirre,"DAL, DET",3.0,80,2597,0.106,0.032,1.7,-2.1,27.9,7.1,5.1
Rory Sparrow,MIA,1.6,80,2593,0.111,0.018,1.0,-2.5,18.5,4.0,7.9
Jack Sikma,MIL,5.0,80,2587,0.297,0.162,8.7,2.0,19.8,11.6,5.4
