NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Eddie Johnson,"ATL, SAC",2.6,155,5396,0.117,0.051,5.7,-1.5,27.3,5.3,7.5
Buck Williams,BRK,3.7,82,3182,0.301,0.182,12.0,2.6,22.5,15.2,2.5
Larry Bird,BOS,3.1,80,3161,0.394,0.317,20.9,6.8,34.8,12.8,8.1
Michael Jordan,CHI,2.1,82,3144,0.335,0.269,17.6,5.3,35.3,8.2,7.3
Micheal Ray Richardson,BRK,1.3,82,3127,0.271,0.185,12.1,2.7,25.3,7.0,10.3
Isiah Thomas,DET,1.0,81,3089,0.376,0.281,18.1,5.7,26.7,5.6,17.5
Ralph Sampson,HOU,4.1,82,3086,0.182,0.039,2.5,-1.9,28.1,13.3,3.5
Purvis Short,GSW,3.0,78,3081,0.086,0.021,1.3,-2.4,34.1,6.2,3.6
Dominique Wilkins,ATL,2.9,81,3023,0.129,0.064,4.0,-1.1,35.2,8.8,3.2
Rodney McCray,HOU,3.0,82,3001,0.317,0.251,15.7,4.7,18.9,8.6,5.7
Dennis Johnson,BOS,1.0,80,2976,0.179,0.083,5.2,-0.5,20.2,5.1,8.8
Gus Williams,WAS,1.0,79,2960,0.16,0.064,4.0,-1.1,25.6,3.2,9.9
Moses Malone,PHI,5.0,79,2957,0.353,0.209,12.9,3.4,31.5,16.7,2.1
Alex English,DEN,3.2,81,2924,0.183,0.098,6.0,0.0,37.1,7.5,5.6
Tom Chambers,OKC,4.0,81,2923,0.148,0.005,0.3,-2.9,28.6,9.5,3.4
Hakeem Olajuwon,HOU,5.0,82,2914,0.379,0.236,14.3,4.3,27.9,16.0,1.8
Norm Nixon,LAC,1.0,81,2894,0.131,0.035,2.1,-2.0,23.1,3.6,11.8
Bill Laimbeer,DET,5.0,82,2892,0.333,0.189,11.4,2.8,23.9,16.8,2.6
Paul Pressey,MIL,3.0,80,2876,0.34,0.275,16.4,5.5,21.4,7.2,9.1
Sleepy Floyd,GSW,2.0,82,2873,0.078,0.012,0.7,-2.7,26.7,3.4,6.8
Mike Mitchell,SAS,3.5,82,2853,0.066,-0.042,-2.5,-4.4,30.7,7.0,2.5
Robert Parish,BOS,5.0,79,2850,0.32,0.176,10.5,2.4,23.5,14.1,2.1
Rolando Blackman,DAL,2.0,81,2834,0.194,0.128,7.6,0.9,27.1,5.1,4.9
Orlando Woolridge,CHI,3.0,77,2816,0.235,0.168,9.9,2.2,30.1,7.4,2.3
Mark Eaton,UTH,5.0,82,2813,0.343,0.2,11.7,3.1,13.5,15.8,2.1
Magic Johnson,LAL,1.0,77,2781,0.471,0.376,21.8,8.6,24.3,8.2,16.7
Darrell Griffith,UTH,2.0,78,2776,0.06,-0.005,-0.3,-3.2,30.5,5.9,4.2
Derek Smith,LAC,2.0,80,2762,0.186,0.12,6.9,0.7,30.7,7.4,3.8
Artis Gilmore,SAS,5.0,81,2756,0.4,0.256,14.7,4.9,27.0,14.7,2.3
Sidney Moncrief,MIL,1.5,73,2734,0.306,0.224,12.8,3.9,27.8,6.9,6.7
Terry Cummings,MIL,4.0,79,2722,0.279,0.135,7.7,1.1,32.8,12.6,4.0
Mark Aguirre,DAL,3.0,80,2699,0.147,0.082,4.6,-0.5,36.5,8.5,4.4
James Worthy,LAL,3.1,80,2696,0.245,0.17,9.5,2.2,25.1,9.1,3.6
Johnny Moore,SAS,1.0,82,2689,0.338,0.243,13.6,4.5,18.7,6.7,14.6
Greg Ballard,WAS,3.0,82,2664,0.231,0.165,9.2,2.1,19.3,9.6,3.7
Calvin Natt,DEN,4.0,78,2657,0.331,0.187,10.4,2.7,32.8,11.0,4.3
Kevin McHale,BOS,4.3,79,2653,0.351,0.207,11.5,3.4,28.3,12.9,2.6
Gerald Henderson,OKC,1.0,79,2648,0.195,0.1,5.5,0.0,19.3,3.4,10.1
Kareem Abdul-Jabbar,LAL,5.0,79,2630,0.351,0.207,11.3,3.4,31.7,11.4,4.5
Mychal Thompson,POR,4.1,79,2616,0.233,0.089,4.9,-0.3,26.6,11.3,3.8
Maurice Cheeks,PHI,1.0,78,2616,0.338,0.243,13.2,4.5,18.8,4.0,9.1
Jeff Malone,WAS,2.0,76,2613,0.106,0.04,2.2,-1.8,26.4,3.8,3.4
Danny Ainge,BOS,2.0,75,2564,0.235,0.169,9.0,2.2,18.2,5.0,7.5
Fat Lever,DEN,1.0,82,2559,0.292,0.197,10.5,3.0,19.7,7.7,11.5
Herb Williams,IND,4.2,75,2557,0.149,0.006,0.3,-2.9,25.8,11.9,4.7
Clyde Drexler,POR,2.2,80,2555,0.295,0.229,12.2,4.0,25.9,8.9,8.3
Al Wood,OKC,2.0,80,2545,0.144,0.078,4.1,-0.7,22.7,5.3,4.5
Jay Vincent,DAL,4.0,79,2543,0.214,0.073,3.9,-0.8,27.2,13.3,3.2
Reggie Theus,SAC,2.0,82,2543,0.197,0.132,7.0,1.0,25.3,5.1,12.4
Brad Davis,DAL,1.0,82,2539,0.304,0.209,11.0,3.4,15.6,3.6,11.0
Jerome Whitehead,GSW,5.0,79,2536,0.183,0.039,2.1,-1.9,19.4,11.8,1.0
Julius Erving,PHI,3.0,78,2535,0.221,0.156,8.2,1.8,29.6,7.8,4.4
Kiki Vandeweghe,POR,3.2,72,2502,0.169,0.084,4.4,-0.5,31.0,4.4,2.0
Larry Smith,GSW,4.0,80,2497,0.368,0.224,11.6,3.9,17.1,16.7,1.8
Craig Hodges,MIL,1.0,82,2496,0.202,0.107,5.6,0.3,16.8,3.6,6.7
Darrell Walker,NYK,1.3,82,2489,0.165,0.079,4.1,-0.6,21.3,5.4,7.9
Vern Fleming,IND,1.1,80,2486,0.138,0.047,2.5,-1.6,21.7,6.2,4.8
Thurl Bailey,UTH,4.0,80,2481,0.191,0.047,2.4,-1.6,23.4,10.2,2.7
LaSalle Thompson,SAC,5.0,82,2458,0.35,0.206,10.6,3.3,18.8,16.7,2.5
Louis Orr,NYK,3.6,79,2452,0.238,0.123,6.3,0.7,19.7,7.7,2.6
Clark Kellogg,IND,3.0,77,2449,0.286,0.22,11.2,3.8,28.1,14.2,4.8
