NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Michael Finley,DAL,2.8,82,3443,0.173,0.103,7.4,0.1,24.6,5.9,5.0
Antoine Walker,BOS,4.0,81,3396,0.171,0.025,1.8,-2.3,26.7,10.2,6.3
Antawn Jamison,GSW,3.3,82,3394,0.116,0.027,1.9,-2.2,28.9,10.1,2.3
Anthony Mason,MIA,4.1,80,3254,0.301,0.155,10.5,1.8,19.0,11.4,3.7
Gary Payton,OKC,1.2,79,3244,0.203,0.125,8.4,0.8,27.0,5.3,9.5
Shareef Abdur-Rahim,MEM,3.8,81,3241,0.223,0.091,6.2,-0.2,24.6,10.9,3.7
Jerry Stackhouse,DET,2.5,80,3215,0.097,0.027,1.8,-2.2,35.5,4.7,6.1
Kevin Garnett,MIN,4.6,81,3202,0.319,0.173,11.6,2.3,26.7,13.8,6.0
Steve Francis,HOU,1.3,80,3194,0.296,0.219,14.6,3.7,23.9,8.3,7.8
Baron Davis,NOR,1.0,82,3192,0.251,0.172,11.4,2.3,17.0,6.1,9.0
Mike Bibby,MEM,1.0,82,3190,0.192,0.112,7.4,0.4,19.6,4.6,10.3
Reggie Miller,IND,1.6,81,3181,0.197,0.123,8.2,0.7,23.0,4.3,3.9
Tim Duncan,SAS,4.5,82,3174,0.321,0.175,11.6,2.4,27.5,15.1,3.7
Ray Allen,MIL,2.1,82,3129,0.298,0.228,14.9,4.0,27.7,6.6,5.7
Dirk Nowitzki,DAL,4.0,82,3125,0.332,0.187,12.2,2.7,27.4,11.6,2.7
Paul Pierce,BOS,2.5,82,3120,0.205,0.135,8.8,1.1,31.9,8.0,3.9
David Wesley,NOR,1.9,82,3106,0.12,0.048,3.1,-1.6,21.9,3.5,5.6
Jason Terry,ATL,1.5,82,3089,0.126,0.052,3.3,-1.5,25.2,4.2,6.3
Tracy McGrady,ORL,2.2,77,3088,0.262,0.192,12.3,2.9,32.1,9.0,5.5
Jason Kidd,PHO,1.6,77,3065,0.302,0.228,14.6,4.0,20.3,7.7,11.8
Latrell Sprewell,NYK,2.7,77,3017,0.125,0.055,3.5,-1.4,21.7,5.5,4.3
Cuttino Mobley,HOU,2.0,79,3002,0.157,0.087,5.4,-0.4,24.6,6.3,3.1
Jamal Mashburn,NOR,3.0,76,2989,0.145,0.075,4.7,-0.8,24.5,9.2,6.6
Vince Carter,TOR,2.9,75,2979,0.233,0.163,10.1,2.0,33.4,6.7,4.7
