NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Michael Finley,DAL,2.7,82,3464,0.191,0.148,10.7,1.5,25.7,7.2,6.1
Gary Payton,OKC,1.0,82,3425,0.299,0.236,16.9,4.3,27.8,7.4,10.3
Latrell Sprewell,NYK,2.8,82,3276,0.151,0.108,7.4,0.3,22.3,5.1,4.9
Kevin Garnett,MIN,4.0,81,3243,0.334,0.198,13.4,3.1,27.5,14.1,5.9
Shareef Abdur-Rahim,MEM,3.8,82,3223,0.256,0.141,9.5,1.3,24.8,12.3,4.0
Allan Houston,NYK,2.0,82,3169,0.168,0.124,8.2,0.8,24.4,4.1,3.4
Shaquille O'Neal,LAL,5.0,79,3163,0.469,0.334,22.0,7.3,35.6,16.4,4.5
Mike Bibby,MEM,1.0,82,3155,0.21,0.148,9.7,1.5,18.1,4.7,10.1
Jerry Stackhouse,DET,2.5,82,3148,0.135,0.092,6.0,-0.2,29.6,4.8,5.6
Anthony Mason,NOR,3.5,82,3133,0.295,0.203,13.2,3.2,14.5,10.7,5.6
Vince Carter,TOR,2.6,82,3126,0.207,0.164,10.7,2.0,32.4,7.3,4.9
Michael Dickerson,MEM,2.0,82,3103,0.109,0.066,4.3,-1.0,23.1,4.3,3.2
Ray Allen,MIL,2.0,82,3070,0.203,0.16,10.2,1.9,28.3,5.6,4.8
Antoine Walker,BOS,3.9,82,3003,0.141,0.018,1.1,-2.5,26.9,10.4,4.9
Elton Brand,CHI,4.5,81,2999,0.272,0.137,8.5,1.2,26.0,13.0,2.5
Reggie Miller,IND,2.0,81,2987,0.22,0.177,11.0,2.4,23.6,3.8,3.0
Dikembe Mutombo,ATL,5.0,82,2984,0.476,0.34,21.1,7.5,15.2,18.6,1.7
Jalen Rose,IND,2.7,80,2978,0.165,0.122,7.6,0.7,23.5,6.2,5.2
Nick Van Exel,DEN,1.0,79,2950,0.15,0.087,5.4,-0.4,20.7,5.1,11.6
Karl Malone,UTH,4.0,82,2947,0.332,0.196,12.0,3.0,34.1,12.7,5.0
Dirk Nowitzki,DAL,4.3,82,2938,0.212,0.076,4.7,-0.7,23.4,8.7,3.3
Lindsey Hunter,DET,1.0,82,2919,0.19,0.127,7.7,0.9,17.2,4.1,5.4
Juwan Howard,WAS,4.5,82,2909,0.076,-0.059,-3.6,-4.9,20.1,7.8,4.1
Glenn Robinson,MIL,3.0,81,2909,0.104,0.061,3.7,-1.2,27.9,8.0,3.2
Bryon Russell,UTH,3.0,82,2900,0.227,0.183,11.1,2.6,19.2,7.1,2.6
Sam Cassell,MIL,1.0,81,2899,0.229,0.167,10.1,2.1,24.9,5.0,12.1
Stephon Marbury,BRK,1.0,74,2881,0.17,0.108,6.5,0.3,27.3,4.0,10.4
Chris Webber,SAC,4.1,75,2880,0.293,0.157,9.4,1.8,30.6,13.1,5.8
Tim Duncan,SAS,4.4,74,2875,0.365,0.229,13.7,4.1,28.6,15.3,3.9
Eric Snow,PHI,1.0,82,2866,0.253,0.191,11.4,2.9,10.9,4.4,10.5
Allen Iverson,PHI,1.7,70,2853,0.058,0.009,0.6,-2.8,33.5,4.5,5.5
Vin Baker,OKC,4.5,79,2849,0.117,-0.018,-1.1,-3.7,22.1,10.2,2.5
Clifford Robinson,PHO,4.5,80,2839,0.209,0.074,4.4,-0.8,25.0,6.1,3.8
Rasheed Wallace,POR,4.2,81,2836,0.255,0.119,7.1,0.6,22.4,9.6,2.4
Jamal Mashburn,MIA,3.0,76,2828,0.139,0.096,5.6,-0.1,22.5,6.5,5.1
Eddie Jones,NOR,2.2,72,2807,0.256,0.213,12.5,3.6,24.7,5.9,5.2
Keith Van Horn,BRK,4.0,80,2782,0.172,0.036,2.1,-1.9,26.5,11.7,2.7
Grant Hill,DET,2.6,74,2776,0.26,0.217,12.5,3.7,33.0,8.5,6.7
Steve Francis,HOU,1.2,77,2776,0.201,0.142,8.2,1.3,24.0,7.1,8.8
Alan Henderson,ATL,4.0,82,2775,0.193,0.058,3.3,-1.3,18.7,9.9,1.3
Jim Jackson,ATL,2.6,79,2767,0.072,0.029,1.7,-2.2,22.8,6.8,4.0
Lamar Odom,LAC,2.8,76,2767,0.183,0.139,8.0,1.3,21.8,10.3,5.5
David Wesley,NOR,1.1,82,2760,0.163,0.103,5.9,0.1,19.4,3.9,8.1
Jason Williams,SAC,1.1,81,2759,0.107,0.047,2.7,-1.6,17.4,4.0,10.2
Scottie Pippen,POR,3.0,82,2748,0.27,0.227,13.0,4.0,17.9,9.0,7.1
Alonzo Mourning,MIA,5.0,79,2748,0.37,0.234,13.4,4.2,30.0,13.2,2.1
Brent Barry,OKC,2.2,80,2726,0.265,0.221,12.6,3.8,16.6,6.6,5.1
Shandon Anderson,HOU,2.7,82,2700,0.193,0.15,8.4,1.6,17.9,6.8,4.2
Antonio McDyess,DEN,4.5,81,2698,0.209,0.073,4.1,-0.8,27.6,12.2,2.8
Horace Grant,OKC,4.5,76,2688,0.261,0.125,7.0,0.8,10.9,10.6,3.4
Steve Smith,POR,2.0,82,2680,0.247,0.204,11.4,3.3,21.9,5.6,3.7
Othella Harrington,MEM,4.5,82,2677,0.159,0.023,1.3,-2.4,19.3,10.1,1.7
Jason Kidd,PHO,1.0,67,2615,0.331,0.268,14.6,5.3,17.6,8.9,12.4
Kenny Anderson,BOS,1.0,82,2593,0.214,0.151,8.2,1.6,21.3,4.2,7.8
Darrell Armstrong,ORL,1.1,82,2590,0.259,0.198,10.7,3.1,24.6,5.0,9.3
Terrell Brandon,MIN,1.0,71,2587,0.272,0.21,11.3,3.5,22.5,4.4,11.7
Paul Pierce,BOS,2.5,73,2583,0.228,0.185,10.0,2.7,26.5,7.4,4.1
Avery Johnson,SAS,1.0,82,2571,0.173,0.111,5.9,0.4,17.2,2.9,9.2
David Robinson,SAS,5.0,80,2557,0.397,0.261,13.9,5.0,26.8,14.5,2.7
Elden Campbell,NOR,5.0,78,2538,0.205,0.069,3.7,-0.9,18.7,11.2,2.4
Glen Rice,LAL,3.0,80,2530,0.176,0.133,7.0,1.1,24.1,6.2,3.3
Kobe Bryant,LAL,2.0,66,2524,0.258,0.215,11.3,3.6,28.2,7.9,6.1
Cuttino Mobley,HOU,2.0,81,2496,0.121,0.078,4.0,-0.7,24.6,5.5,4.0
Michael Olowokandi,LAC,5.0,80,2493,0.115,-0.021,-1.1,-3.7,15.1,12.6,0.7
Shawn Kemp,CLE,4.9,82,2487,0.137,0.001,0.0,-3.1,28.2,14.0,2.7
Antonio Davis,TOR,4.7,79,2479,0.267,0.132,6.8,1.0,17.6,13.5,2.0
Tracy McGrady,TOR,3.2,79,2462,0.258,0.201,10.3,3.2,23.6,9.8,5.1
Mookie Blaylock,GSW,1.0,73,2449,0.216,0.154,7.8,1.7,16.1,5.3,9.6
Christian Laettner,DET,5.0,82,2443,0.213,0.077,3.9,-0.7,19.7,10.9,3.7
Raef LaFrentz,DEN,4.7,81,2435,0.241,0.106,5.4,0.2,19.8,12.6,1.9
John Stockton,UTH,1.0,82,2432,0.376,0.313,15.9,6.7,19.5,4.2,13.9
Charles Oakley,TOR,4.0,80,2431,0.194,0.058,2.9,-1.3,10.8,10.7,5.0
George Lynch,PHI,3.0,75,2416,0.3,0.257,12.9,4.9,14.3,11.6,2.7
Mitch Richmond,WAS,2.0,74,2397,0.109,0.066,3.3,-1.0,25.7,4.3,3.7
Malik Sealy,MIN,2.3,82,2392,0.194,0.151,7.5,1.6,18.6,7.1,4.0
Ron Mercer,"DEN, ORL",2.3,68,2377,0.017,-0.026,-1.3,-3.9,23.2,5.0,3.2
Vlade Divac,SAC,5.0,82,2374,0.336,0.2,9.9,3.1,20.3,13.3,4.9
Damon Stoudamire,POR,1.0,78,2371,0.168,0.106,5.2,0.2,19.7,4.9,8.2
Lamond Murray,CLE,3.1,74,2365,0.14,0.092,4.5,-0.2,23.8,8.6,2.7
Kendall Gill,BRK,2.8,76,2355,0.125,0.082,4.0,-0.5,20.2,5.8,4.3
