NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Chris Mullin,GSW,3.1,81,3346,0.262,0.189,13.1,2.8,29.8,6.5,4.1
Tim Hardaway,GSW,1.0,81,3332,0.243,0.112,7.8,0.4,27.3,4.5,11.6
Dennis Rodman,DET,3.4,82,3301,0.564,0.468,32.2,11.5,11.6,22.2,2.8
Joe Dumars,DET,2.0,82,3192,0.152,0.084,5.6,-0.5,24.6,2.8,5.6
Scottie Pippen,CHI,3.0,82,3164,0.341,0.273,18.0,5.4,26.1,9.6,8.7
Patrick Ewing,NYK,5.0,82,3150,0.345,0.199,13.1,3.1,30.0,14.0,2.4
Ron Harper,LAC,2.0,82,3144,0.184,0.116,7.6,0.5,22.8,6.8,6.4
Reggie Miller,IND,2.0,82,3120,0.264,0.197,12.8,3.0,26.1,4.9,4.8
Sean Elliott,SAS,3.0,82,3120,0.229,0.162,10.5,2.0,20.6,6.8,3.3
Michael Jordan,CHI,2.1,80,3102,0.345,0.277,17.9,5.5,37.2,7.9,7.6
Mitch Richmond,SAC,2.2,80,3095,0.113,0.045,2.9,-1.7,28.0,4.9,6.4
Jeff Hornacek,PHO,2.0,81,3073,0.303,0.234,15.0,4.2,25.5,6.4,6.4
Reggie Lewis,BOS,2.0,82,3070,0.185,0.117,7.5,0.6,26.6,6.2,2.9
Sedale Threatt,LAL,1.0,82,3070,0.241,0.11,7.1,0.4,19.4,4.0,9.3
Grant Long,MIA,4.0,82,3063,0.313,0.167,10.7,2.1,19.0,10.8,3.5
Otis Thorpe,HOU,4.2,82,3056,0.33,0.185,11.8,2.7,22.3,13.5,3.9
Karl Malone,UTH,4.0,81,3054,0.362,0.216,13.8,3.6,35.7,14.3,3.8
Larry Johnson,,4.0,82,3047,0.325,0.179,11.4,2.5,24.8,14.2,4.6
Drazen Petrovic,BRK,2.0,82,3027,0.151,0.084,5.3,-0.5,26.8,4.1,4.0
Hersey Hawkins,PHI,2.0,81,3013,0.196,0.129,8.1,0.9,24.5,4.3,4.0
Glen Rice,MIA,3.2,79,3007,0.177,0.098,6.1,0.0,28.2,6.3,2.9
John Stockton,UTH,1.0,82,3002,0.457,0.326,20.4,7.1,20.7,4.3,18.0
Kevin Willis,ATL,4.2,81,2962,0.382,0.237,14.6,4.3,24.0,20.4,2.8
Chuck Person,IND,3.0,81,2923,0.135,0.067,4.1,-1.0,24.6,7.0,6.3
Jeff Malone,UTH,2.0,81,2922,0.096,0.029,1.8,-2.2,26.9,3.8,3.0
Pooh Richardson,MIN,1.0,82,2919,0.223,0.093,5.7,-0.2,22.2,4.9,11.3
Isiah Thomas,DET,1.0,78,2918,0.155,0.024,1.5,-2.3,23.8,4.1,9.2
Kendall Gill,NOR,2.5,79,2906,0.133,0.066,4.0,-1.0,26.8,6.6,5.4
Danny Manning,LAC,3.5,82,2904,0.321,0.215,13.0,3.6,26.1,9.3,4.7
A.C. Green,LAL,3.7,82,2902,0.355,0.232,14.0,4.1,18.5,12.6,1.9
Lionel Simmons,SAC,3.0,78,2895,0.218,0.151,9.1,1.6,22.2,10.5,5.6
Kevin Johnson,PHO,1.0,78,2894,0.304,0.173,10.4,2.3,25.5,4.8,13.9
Charles Barkley,PHI,3.5,75,2881,0.435,0.325,19.5,7.0,28.8,13.8,5.1
Larry Nance,CLE,4.0,81,2880,0.405,0.26,15.6,5.0,22.9,11.2,3.9
Horace Grant,CHI,4.2,81,2859,0.512,0.367,21.8,8.3,19.3,13.5,3.6
Dan Majerle,PHO,2.7,82,2853,0.289,0.222,13.2,3.8,23.9,8.1,4.6
