NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Antoine Walker,BOS,4.0,81,3406,0.166,0.028,2.0,-2.2,25.3,10.1,5.7
Tim Duncan,SAS,4.5,82,3329,0.412,0.272,18.9,5.4,30.1,15.0,4.4
Latrell Sprewell,NYK,2.7,81,3326,0.077,0.013,0.9,-2.7,22.7,4.3,4.5
Baron Davis,NOR,1.0,82,3319,0.214,0.139,9.6,1.2,21.5,5.0,10.1
Paul Pierce,BOS,2.5,82,3302,0.255,0.191,13.1,2.9,31.2,8.2,3.8
Gary Payton,OKC,1.3,82,3301,0.249,0.177,12.1,2.4,26.4,5.8,10.7
Stephon Marbury,PHO,1.0,82,3187,0.155,0.08,5.3,-0.6,25.2,4.0,10.0
Kevin Garnett,MIN,3.9,81,3175,0.368,0.237,15.7,4.3,25.9,14.8,6.4
Eddie Jones,MIA,2.5,81,3156,0.223,0.159,10.4,1.9,22.5,5.7,4.0
Jalen Rose,"CHI, IND",2.5,83,3153,0.107,0.043,2.8,-1.7,25.8,5.7,5.4
Anthony Mason,MIL,4.1,82,3143,0.265,0.125,8.2,0.8,12.0,9.9,5.3
Wally Szczerbiak,MIN,2.5,82,3117,0.205,0.141,9.1,1.3,23.6,6.0,4.0
Cuttino Mobley,HOU,2.0,74,3117,0.11,0.046,3.0,-1.7,24.7,4.6,2.9
Shawn Marion,PHO,3.5,81,3109,0.279,0.18,11.6,2.5,23.9,12.4,2.5
Shane Battier,MEM,2.7,78,3094,0.19,0.126,8.1,0.8,17.5,6.5,3.4
Kobe Bryant,LAL,2.0,80,3063,0.224,0.16,10.2,1.9,31.6,6.9,6.9
Jason Kidd,BRK,1.0,82,3056,0.325,0.249,15.9,4.7,19.0,9.3,12.7
Brent Barry,OKC,2.1,81,3041,0.362,0.297,18.8,6.2,18.4,7.0,6.7
Karl Malone,UTH,4.3,80,3040,0.221,0.081,5.2,-0.5,28.2,10.8,5.4
Antawn Jamison,GSW,3.3,82,3033,0.154,0.069,4.4,-0.9,25.6,8.8,2.5
Jeff McInnis,LAC,1.0,81,3030,0.111,0.036,2.2,-2.0,18.8,3.4,7.9
Andre Miller,CLE,1.0,81,3023,0.301,0.225,14.2,3.9,21.2,6.0,14.0
