Year,name,team,position,games_played,minutes,adjusted_plus_minus_per_48,wins_produced_per_48,wins_produced,points_over_par_per_48,points_per_48,rebounds_per_48,assists_per_48
2005,Von Wafer,LAL,1.0,16,67.0,-0.422,-0.491,-0.7,-18.3,14.3,5.7,2.9
2005,John Lucas,HOU,1.0,13,61.0,-0.067,-0.137,-0.2,-7.3,23.6,3.9,9.4
2005,Amare Stoudemire,PHO,5.0,3,50.0,0.156,0.002,0.0,-3.0,24.7,15.2,1.9
2005,Zendon Hamilton,"CLE, PHI",5.0,12,48.0,0.247,0.092,0.1,-0.2,25.8,10.9,0.0
2005,Earl Barron,MIA,4.5,8,45.0,-0.275,-0.429,-0.4,-16.4,13.9,10.7,0.0
2005,Dijon Thompson,PHO,3.0,10,42.0,0.256,0.188,0.2,2.8,31.6,12.4,1.1
2005,Marcus Fizer,NOR,4.0,3,39.0,0.1,-0.055,0.0,-4.8,24.6,8.6,1.2
2005,Amir Johnson,DET,3.6,3,39.0,0.324,0.204,0.2,3.3,24.8,5.0,3.7
2005,Alex Acker,DET,2.0,5,35.0,-0.324,-0.392,-0.3,-15.3,12.3,6.8,5.5
2005,Reece Gaines,MIL,2.0,12,32.0,0.013,-0.054,0.0,-4.8,19.2,0.0,4.4
2005,Derrick Zimmerman,BRK,1.0,2,32.0,0.141,0.072,0.0,-0.8,6.0,6.0,10.5
2005,Julius Hodge,DEN,2.0,14,31.0,-0.215,-0.283,-0.2,-11.9,19.9,10.7,9.2
2005,Maciej Lampe,"HOU, NOR",4.0,6,28.0,-0.224,-0.378,-0.2,-14.8,6.9,15.6,3.5
2005,Jamal Sampson,SAC,4.5,12,23.0,1.152,0.998,0.5,28.0,20.7,37.2,10.3
2005,Randy Livingston,CHI,1.0,5,22.0,-0.021,-0.09,0.0,-5.9,0.0,8.6,2.2
2005,Anthony Goldwire,LAC,1.0,3,22.0,-0.304,-0.374,-0.2,-14.7,4.4,2.2,4.4
2005,Samaki Walker,IND,4.0,7,22.0,-0.184,-0.338,-0.2,-13.6,4.4,6.6,0.0
2005,Jonathan Bender,IND,4.0,2,21.0,0.576,0.422,0.2,10.1,23.2,9.3,4.6
2005,Pavel Podkolzin,DAL,5.0,1,18.0,0.129,-0.025,0.0,-3.9,8.0,18.6,0.0
2005,Josh Davis,(3+),4.3,6,17.0,0.11,-0.044,0.0,-4.5,17.1,11.4,2.8
2005,Sharrod Ford,PHO,4.0,3,13.0,-0.164,-0.318,-0.1,-13.0,14.8,11.1,0.0
