NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Mikal Bridges,PHO,3.1,82,2854,0.327,0.187,11.1,2.7,19.5,5.8,3.1
Miles Bridges,CHA,3.9,80,2837,0.291,0.099,5.9,0.0,27.3,9.5,5.1
DeMar DeRozan,CHI,4.0,76,2743,0.272,0.072,4.1,-0.9,37.1,6.9,6.5
Jayson Tatum,BOS,3.4,76,2731,0.308,0.154,8.8,1.7,36.0,10.7,5.9
Saddiq Bey,DET,3.5,82,2704,0.229,0.067,3.8,-1.0,23.4,7.8,4.1
Tyrese Haliburton,"SAC, IND",1.7,77,2694,0.366,0.247,13.8,4.6,21.0,5.5,11.2
Russell Westbrook,LAL,1.0,78,2678,0.184,0.052,2.9,-1.5,25.8,10.4,9.9
Trae Young,ATL,1.0,76,2652,0.333,0.202,11.1,3.2,39.0,5.1,13.3
Tyrese Maxey,PHI,1.0,75,2650,0.267,0.134,7.4,1.1,23.7,4.3,5.8
Dorian Finney-Smith,DAL,3.8,80,2644,0.318,0.136,7.5,1.2,16.0,6.8,2.7
Scottie Barnes,TOR,3.8,74,2617,0.34,0.158,8.6,1.8,20.8,10.2,4.7
Harrison Barnes,SAC,3.6,77,2587,0.302,0.135,7.3,1.1,23.5,8.0,3.5
Pascal Siakam,TOR,4.4,68,2578,0.339,0.093,5.0,-0.2,28.9,10.8,6.7
Julius Randle,NYK,4.1,72,2544,0.218,0.018,1.0,-2.5,27.3,13.5,7.0
Tobias Harris,PHI,3.8,73,2543,0.271,0.093,4.9,-0.2,23.7,9.4,4.8
Jalen Brunson,DAL,1.0,79,2524,0.294,0.162,8.5,2.0,24.4,5.9,7.2
Buddy Hield,"SAC, IND",2.6,81,2499,0.143,0.016,0.8,-2.6,24.3,6.8,4.4
Karl-Anthony Towns,MIN,5.0,74,2476,0.449,0.13,6.7,1.0,35.2,14.1,5.2
Nikola Jokic,DEN,5.0,74,2476,0.69,0.372,19.2,8.5,38.9,19.8,11.3
Anthony Edwards,MIN,2.8,72,2466,0.209,0.078,4.0,-0.7,29.8,6.7,5.4
Fred VanVleet,TOR,1.0,65,2462,0.292,0.16,8.2,1.9,25.7,5.6,8.5
Terry Rozier,CHA,1.7,73,2458,0.252,0.133,6.8,1.1,27.5,6.2,6.4
Gary Trent Jr.,TOR,1.7,70,2448,0.194,0.075,3.8,-0.8,25.2,3.7,2.8
Darius Garland,CLE,1.0,68,2430,0.272,0.14,7.1,1.3,29.1,4.4,11.5
Franz Wagner,ORL,3.3,79,2429,0.239,0.087,4.4,-0.4,23.7,7.0,4.6
LaMelo Ball,CHA,1.0,75,2422,0.295,0.163,8.2,2.0,29.9,9.9,11.3
James Harden,"BRK, PHI",2.1,65,2420,0.363,0.243,12.2,4.5,28.4,9.9,13.2
Nikola Vucevic,CHI,5.0,73,2418,0.322,0.003,0.2,-3.0,25.6,16.0,4.7
RJ Barrett,NYK,3.0,70,2417,0.124,-0.013,-0.6,-3.5,27.8,8.1,4.1
Royce O'Neale,UTH,2.9,77,2406,0.296,0.163,8.2,2.0,11.4,7.3,3.8
Keldon Johnson,SAS,3.1,75,2392,0.246,0.105,5.3,0.2,25.6,9.2,3.2
Aaron Gordon,DEN,3.8,75,2376,0.291,0.111,5.5,0.4,22.8,8.9,3.8
Dejounte Murray,SAS,1.1,68,2366,0.394,0.263,13.0,5.1,29.2,11.4,12.7
Evan Fournier,NYK,1.9,80,2358,0.163,0.045,2.2,-1.7,22.9,4.3,3.5
Patty Mills,BRK,1.0,81,2346,0.168,0.035,1.7,-2.0,18.9,3.2,3.7
Devin Booker,PHO,2.2,68,2345,0.248,0.13,6.3,1.0,37.3,7.0,6.7
Reggie Jackson,LAC,1.2,75,2337,0.069,-0.06,-2.9,-4.9,25.9,5.6,7.4
Herb Jones,NOR,3.8,78,2335,0.268,0.086,4.2,-0.4,15.3,6.1,3.4
Evan Mobley,CLE,4.1,69,2331,0.316,0.105,5.1,0.2,21.3,11.7,3.6
Andrew Wiggins,GSW,3.5,73,2329,0.234,0.073,3.6,-0.8,25.9,6.7,3.3
Kentavious Caldwell-Pope,WAS,2.3,77,2329,0.192,0.068,3.3,-1.0,21.0,5.4,3.0
Zach LaVine,CHI,2.5,67,2328,0.259,0.135,6.6,1.1,33.7,6.4,6.2
Alec Burks,NYK,2.6,81,2318,0.279,0.154,7.4,1.7,19.6,8.2,5.0
Terance Mann,LAC,3.0,81,2317,0.29,0.152,7.3,1.6,18.1,8.8,4.3
Luka Doncic,DAL,1.9,65,2301,0.369,0.251,12.0,4.7,38.5,12.4,11.8
Joel Embiid,PHI,5.0,68,2297,0.5,0.182,8.7,2.6,43.5,16.6,5.9
Marcus Smart,BOS,1.0,71,2296,0.28,0.147,7.0,1.5,18.0,5.6,8.7
Jordan Poole,GSW,1.8,76,2283,0.221,0.103,4.9,0.1,29.5,5.5,6.4
Will Barton,DEN,2.6,71,2277,0.212,0.087,4.1,-0.4,22.0,7.2,5.8
Desmond Bane,MEM,2.5,76,2266,0.262,0.138,6.5,1.2,29.3,7.1,4.4
Donovan Mitchell,UTH,1.6,67,2266,0.249,0.128,6.1,0.9,36.7,6.0,7.6
Jonas Valanciunas,NOR,5.0,74,2240,0.444,0.125,5.9,0.8,28.2,18.1,4.1
Monte Morris,DEN,1.3,75,2239,0.275,0.149,6.9,1.5,20.3,4.8,7.1
Jaylen Brown,BOS,2.7,66,2220,0.238,0.108,5.0,0.3,33.7,8.7,5.0
Stephen Curry,GSW,1.0,64,2211,0.326,0.193,8.9,2.9,35.4,7.3,8.8
Jrue Holiday,MIL,1.0,67,2207,0.355,0.223,10.2,3.8,26.6,6.5,9.9
Giannis Antetokounmpo,MIL,4.3,67,2204,0.573,0.344,15.8,7.6,43.6,16.9,8.4
Kyle Kuzma,WAS,4.1,66,2204,0.243,0.04,1.8,-1.8,24.6,12.2,5.1
Derrick White,"SAS, BOS",1.9,75,2199,0.245,0.129,5.9,0.9,21.7,5.7,8.0
Kevin Huerter,ATL,2.6,74,2188,0.177,0.051,2.3,-1.5,19.6,5.6,4.5
Devonte' Graham,NOR,1.0,76,2162,0.174,0.042,1.9,-1.8,20.0,3.9,7.0
Tyler Herro,MIA,1.8,66,2151,0.2,0.081,3.6,-0.5,30.5,7.3,5.9
CJ McCollum,"POR, NOR",1.9,62,2145,0.225,0.108,4.8,0.3,30.7,6.0,7.0
Khris Middleton,MIL,3.2,66,2141,0.258,0.108,4.8,0.3,29.7,8.0,8.0
Jordan Clarkson,UTH,2.1,79,2141,0.144,0.028,1.3,-2.2,28.4,6.1,4.3
Chris Paul,PHO,1.0,65,2139,0.474,0.341,15.2,7.5,21.5,6.4,15.8
Malik Monk,LAL,2.0,76,2139,0.231,0.114,5.1,0.5,23.5,5.7,4.9
Jalen Green,HOU,2.1,67,2138,0.117,-0.002,-0.1,-3.1,26.0,5.1,4.0
Domantas Sabonis,"IND, SAC",4.5,62,2136,0.486,0.227,10.1,4.0,26.3,16.9,7.3
Seth Curry,"PHI, BRK",1.9,64,2134,0.242,0.123,5.5,0.8,21.6,4.5,5.2
Kyle Lowry,MIA,1.0,63,2133,0.33,0.197,8.8,3.1,19.0,6.3,10.7
Bojan Bogdanovic,UTH,4.0,69,2131,0.219,0.03,1.3,-2.1,28.1,6.7,2.7
Jaren Jackson Jr.,MEM,4.6,78,2126,0.204,-0.064,-2.8,-5.1,28.7,10.2,1.9
Rudy Gobert,UTH,5.0,66,2120,0.687,0.369,16.3,8.4,23.2,21.9,1.6
Ayo Dosunmu,CHI,2.0,77,2110,0.219,0.099,4.4,0.0,15.4,4.9,5.8
