NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Monta Ellis,GSW,1.8,80,3226,0.132,0.05,3.4,-1.5,28.7,4.2,6.7
LaMarcus Aldridge,POR,4.5,81,3211,0.289,0.11,7.3,0.3,26.4,10.6,2.5
Luol Deng,CHI,3.1,82,3207,0.233,0.141,9.4,1.3,21.4,7.1,3.4
Dorell Wright,GSW,2.9,82,3146,0.197,0.116,7.6,0.5,20.5,6.6,3.7
Blake Griffin,LAC,4.5,82,3111,0.317,0.137,8.9,1.2,28.5,15.3,4.8
LeBron James,MIA,3.2,79,3062,0.37,0.27,17.2,5.3,33.1,9.2,8.7
Kevin Durant,OKC,3.0,78,3037,0.247,0.162,10.2,1.9,34.2,8.4,3.4
Pau Gasol,LAL,4.8,82,3037,0.422,0.243,15.4,4.5,24.4,13.2,4.3
Derrick Rose,CHI,1.0,81,3026,0.253,0.165,10.4,2.1,32.1,5.2,9.9
Dwight Howard,ORL,5.0,78,2935,0.498,0.318,19.5,6.8,29.2,18.0,1.8
Al Jefferson,UTH,5.0,82,2926,0.274,0.095,5.8,-0.1,25.1,13.0,2.4
Jrue Holiday,PHI,1.0,82,2901,0.213,0.125,7.6,0.8,18.9,5.5,8.8
Ray Allen,BOS,2.0,80,2890,0.263,0.182,11.0,2.6,21.9,4.6,3.6
Brook Lopez,BRK,5.0,82,2889,0.194,0.014,0.9,-2.6,27.8,8.1,2.1
Mike Conley,MEM,1.0,81,2871,0.226,0.138,8.3,1.2,18.5,4.1,8.8
Amare Stoudemire,NYK,4.9,78,2869,0.226,0.046,2.8,-1.6,33.0,10.6,3.4
Chris Paul,NOR,1.0,80,2865,0.401,0.313,18.7,6.7,21.2,5.5,13.1
DeMar DeRozan,TOR,2.5,82,2850,0.086,0.005,0.3,-2.9,23.7,5.3,2.5
Russell Westbrook,OKC,1.0,82,2847,0.245,0.157,9.3,1.8,30.2,6.4,11.3
Dwyane Wade,MIA,1.9,76,2823,0.311,0.229,13.5,4.0,33.0,8.2,5.9
Elton Brand,PHI,4.5,81,2809,0.325,0.145,8.5,1.4,20.8,11.6,2.1
Chris Bosh,MIA,4.5,77,2794,0.293,0.113,6.6,0.4,24.7,11.0,2.5
Kobe Bryant,LAL,2.0,82,2778,0.191,0.11,6.3,0.3,35.9,7.2,6.7
Boris Diaw,CHA,3.5,82,2778,0.236,0.106,6.1,0.2,16.0,7.2,5.8
Paul Pierce,BOS,3.0,80,2774,0.29,0.209,12.1,3.4,26.2,7.4,4.5
Danny Granger,IND,3.6,79,2762,0.185,0.042,2.4,-1.8,28.2,7.4,3.5
Wesley Matthews,POR,2.5,82,2758,0.184,0.103,5.9,0.1,22.6,4.5,2.9
D.J. Augustin,CHA,1.0,82,2757,0.186,0.098,5.7,0.0,20.5,3.9,8.7
Carmelo Anthony,"DEN, NYK",3.6,77,2751,0.189,0.049,2.8,-1.5,34.4,9.8,3.9
Raymond Felton,"DEN, NYK",1.6,75,2737,0.213,0.129,7.4,0.9,20.4,4.7,11.0
Beno Udrih,SAC,1.0,79,2733,0.251,0.163,9.3,2.0,19.1,4.7,6.8
Zach Randolph,MEM,4.3,75,2723,0.381,0.202,11.5,3.2,26.5,16.1,2.9
Jason Richardson,"ORL, PHO",2.5,80,2714,0.203,0.122,6.9,0.7,22.1,5.9,2.6
Al Horford,ATL,4.6,77,2703,0.39,0.211,11.9,3.5,20.9,12.7,4.7
Gerald Wallace,"CHA, POR",3.7,71,2692,0.263,0.118,6.6,0.6,19.8,10.1,3.1
Jason Kidd,DAL,1.0,80,2652,0.305,0.217,12.0,3.7,11.4,6.4,11.9
Andre Miller,POR,1.0,81,2649,0.265,0.177,9.8,2.4,18.6,5.5,10.3
Josh Smith,ATL,4.0,77,2644,0.284,0.108,6.0,0.3,23.1,11.9,4.6
Lamar Odom,LAL,4.0,82,2638,0.368,0.188,10.3,2.8,21.5,12.9,4.5
David Lee,GSW,4.5,73,2634,0.278,0.098,5.4,0.0,21.9,13.0,4.2
Kevin Love,MIN,4.5,73,2610,0.501,0.321,17.5,6.9,27.1,20.5,3.4
John Wall,WAS,1.0,69,2606,0.159,0.071,3.9,-0.9,20.8,5.8,10.6
Kevin Martin,HOU,2.0,80,2602,0.185,0.104,5.6,0.2,34.6,4.8,3.7
Paul Millsap,UTH,4.0,76,2592,0.291,0.111,6.0,0.4,24.3,10.7,3.5
Trevor Ariza,NOR,3.0,75,2588,0.17,0.09,4.8,-0.3,15.3,7.6,3.0
Marc Gasol,MEM,5.0,81,2586,0.325,0.145,7.8,1.4,17.7,10.6,3.7
Jason Terry,DAL,1.9,82,2564,0.136,0.055,2.9,-1.4,24.2,2.9,6.3
Kyle Lowry,HOU,1.0,75,2563,0.266,0.178,9.5,2.4,18.9,5.8,9.4
Tayshaun Prince,DET,3.0,78,2561,0.153,0.069,3.7,-0.9,20.6,6.2,4.0
Joe Johnson,ATL,2.5,72,2554,0.135,0.054,2.9,-1.4,24.7,5.5,6.4
John Salmons,MIL,2.3,73,2554,0.15,0.069,3.7,-0.9,19.2,5.0,4.7
Channing Frye,PHO,4.5,77,2541,0.19,0.011,0.6,-2.7,18.4,9.7,1.8
Landry Fields,NYK,2.5,82,2541,0.295,0.214,11.3,3.6,15.1,9.8,2.9
Hedo Turkoglu,"ORL, PHO",3.3,81,2540,0.231,0.121,6.4,0.7,16.6,6.7,6.5
Tony Parker,SAS,1.0,78,2527,0.235,0.147,7.7,1.5,26.0,4.5,9.7
Rajon Rondo,BOS,1.0,68,2527,0.327,0.239,12.6,4.3,13.7,5.6,14.4
Nicolas Batum,POR,3.0,80,2521,0.231,0.15,7.9,1.6,18.9,6.9,2.3
Dirk Nowitzki,DAL,4.0,73,2504,0.292,0.113,5.9,0.4,32.2,9.8,3.6
Steve Nash,PHO,1.0,75,2497,0.336,0.247,12.9,4.6,21.3,5.0,16.4
Stephen Curry,GSW,1.0,74,2489,0.223,0.135,7.0,1.1,26.5,5.5,8.3
Andre Iguodala,PHI,2.5,67,2468,0.298,0.217,11.2,3.7,18.4,7.5,8.2
Deron Williams,"BRK, UTH",1.0,65,2465,0.251,0.163,8.4,2.0,25.5,5.1,13.0
Richard Jefferson,SAS,3.1,81,2458,0.21,0.119,6.1,0.6,17.4,6.1,2.1
David West,NOR,4.0,70,2450,0.272,0.093,4.7,-0.2,25.9,10.4,3.2
Jeff Green,"BOS, OKC",3.9,75,2427,0.154,-0.015,-0.8,-3.6,19.7,7.1,2.1
Manu Ginobili,SAS,2.5,80,2425,0.28,0.199,10.1,3.1,27.6,5.8,7.8
Luis Scola,HOU,4.5,74,2411,0.203,0.024,1.2,-2.3,26.9,12.1,3.7
Ron Artest,LAL,3.0,82,2409,0.188,0.107,5.4,0.3,13.9,5.3,3.5
Grant Hill,PHO,3.3,80,2408,0.179,0.066,3.3,-1.0,21.0,6.7,4.0
Stephen Jackson,CHA,2.4,67,2404,0.086,0.005,0.3,-2.9,24.8,6.1,4.8
