NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
James Harden,HOU,2.0,81,2981,0.367,0.29,18.0,6.0,35.7,7.4,9.1
Andrew Wiggins,MIN,3.0,82,2969,0.104,0.023,1.4,-2.4,22.4,6.0,2.7
Trevor Ariza,HOU,3.1,82,2930,0.239,0.152,9.3,1.7,17.2,7.5,3.4
Damian Lillard,POR,1.2,82,2925,0.264,0.173,10.6,2.3,28.2,6.2,8.3
Chris Paul,LAC,1.0,82,2857,0.439,0.345,20.5,7.6,26.3,6.3,14.1
John Wall,WAS,1.0,79,2837,0.267,0.174,10.3,2.3,23.5,6.2,13.4
DeAndre Jordan,LAC,4.9,82,2820,0.599,0.398,23.4,9.3,16.1,20.9,1.0
Eric Bledsoe,PHO,1.0,81,2800,0.262,0.168,9.8,2.1,23.6,7.3,8.5
Joe Johnson,BRK,3.2,80,2791,0.178,0.082,4.7,-0.5,19.8,6.6,5.0
Kyrie Irving,CLE,1.0,75,2730,0.256,0.162,9.2,2.0,28.6,4.2,6.8
Monta Ellis,DAL,2.0,80,2699,0.089,0.013,0.7,-2.7,26.9,3.4,5.9
Tyreke Evans,NOR,1.1,79,2690,0.181,0.088,4.9,-0.4,23.4,7.4,9.3
Marc Gasol,MEM,5.0,81,2687,0.339,0.138,7.7,1.2,25.2,11.3,5.5
Pau Gasol,CHI,4.0,78,2681,0.394,0.193,10.8,2.9,25.9,16.5,3.8
Ben McLemore,SAC,2.0,82,2670,0.113,0.037,2.0,-1.9,17.9,4.3,2.5
Ty Lawson,DEN,1.0,75,2665,0.29,0.196,10.9,3.0,20.6,4.2,13.0
Goran Dragic,"PHO, MIA",1.8,78,2640,0.222,0.142,7.8,1.3,23.2,5.0,6.4
Gordon Hayward,UTH,2.8,76,2618,0.242,0.166,9.1,2.1,26.8,6.8,5.7
Stephen Curry,GSW,1.0,80,2613,0.442,0.348,18.9,7.7,34.9,6.3,11.4
Kentavious Caldwell-Pope,DET,2.1,82,2587,0.099,0.023,1.2,-2.4,19.4,4.7,2.0
Markieff Morris,PHO,4.1,82,2581,0.182,-0.019,-1.0,-3.7,23.4,9.4,3.6
Victor Oladipo,ORL,2.0,72,2573,0.141,0.065,3.5,-1.1,24.1,5.6,5.5
Giannis Antetokounmpo,MIL,3.6,81,2541,0.25,0.097,5.1,-0.1,19.5,10.2,3.9
Kevin Love,CLE,4.0,75,2532,0.332,0.131,6.9,1.0,23.3,13.9,3.2
Nikola Vucevic,ORL,5.0,74,2529,0.319,0.118,6.2,0.6,27.1,15.4,2.8
Jimmy Butler,CHI,2.0,65,2513,0.351,0.275,14.4,5.5,24.8,7.2,4.0
LaMarcus Aldridge,POR,4.0,71,2512,0.276,0.075,3.9,-0.7,31.7,13.9,2.4
Andre Drummond,DET,5.0,82,2502,0.445,0.245,12.8,4.5,21.7,21.2,1.1
Arron Afflalo,"DEN, POR",2.2,78,2502,0.093,0.017,0.9,-2.5,19.9,4.7,2.5
LeBron James,CLE,3.0,69,2493,0.31,0.234,12.1,4.2,33.6,8.0,9.8
Draymond Green,GSW,4.2,79,2490,0.342,0.142,7.4,1.3,17.8,12.5,5.6
Elfrid Payton,ORL,1.0,82,2489,0.224,0.13,6.7,1.0,14.1,6.7,10.3
Wilson Chandler,DEN,3.0,78,2471,0.166,0.09,4.6,-0.3,21.1,9.2,2.6
Klay Thompson,GSW,2.2,77,2455,0.22,0.144,7.4,1.4,32.6,4.8,4.3
Anthony Davis,NOR,4.3,68,2455,0.484,0.283,14.5,5.7,32.4,13.6,2.9
Jeff Green,"BOS, MEM",3.4,78,2454,0.167,0.045,2.3,-1.7,22.8,6.4,2.6
Marcin Gortat,WAS,5.0,82,2453,0.388,0.188,9.6,2.8,19.6,14.0,1.9
Thaddeus Young,"MIN, BRK",4.1,76,2434,0.191,-0.009,-0.5,-3.4,21.1,8.1,3.4
Avery Bradley,BOS,2.0,77,2428,0.091,0.015,0.7,-2.6,21.2,4.8,2.7
Luol Deng,MIA,3.3,72,2421,0.242,0.129,6.5,0.9,20.0,7.5,2.8
Kyle Korver,ATL,2.0,75,2418,0.307,0.231,11.6,4.1,18.1,6.0,3.9
Kyle Lowry,TOR,1.0,70,2414,0.232,0.138,6.9,1.2,24.7,6.5,9.4
J.J. Redick,LAC,2.0,78,2409,0.194,0.118,5.9,0.6,25.4,3.3,2.7
Rudy Gay,SAC,3.6,68,2408,0.216,0.061,3.0,-1.2,28.5,8.0,5.0
Paul Millsap,ATL,4.0,73,2390,0.326,0.126,6.3,0.8,24.5,11.4,4.5
P.J. Tucker,PHO,3.0,78,2383,0.282,0.206,10.2,3.3,14.4,10.1,2.5
