Year,name,team,position,games_played,minutes,adjusted_plus_minus_per_48,wins_produced_per_48,wins_produced,points_over_par_per_48,points_per_48,rebounds_per_48,assists_per_48
2012,Damian Lillard,POR,1.0,82,3167,0.161,0.086,5.7,-0.4,23.7,3.9,8.0
2012,Kevin Durant,OKC,3.2,81,3118,0.409,0.315,20.4,6.7,35.1,9.9,5.8
2012,Monta Ellis,MIL,1.8,82,3076,0.138,0.069,4.5,-0.9,24.6,4.9,7.7
2012,Kobe Bryant,LAL,2.4,78,3018,0.216,0.149,9.4,1.6,33.9,6.9,7.5
2012,DeMar DeRozan,TOR,2.4,82,3011,0.12,0.052,3.3,-1.4,23.7,5.1,3.3
2012,Stephen Curry,GSW,1.0,78,2987,0.28,0.205,12.8,3.3,28.7,5.0,8.6
2012,James Harden,HOU,2.0,78,2980,0.281,0.214,13.3,3.6,32.6,6.1,7.3
2012,Paul George,IND,3.0,79,2970,0.257,0.19,11.7,2.8,22.3,9.7,5.3
2012,Klay Thompson,GSW,2.3,82,2935,0.103,0.036,2.2,-2.0,22.2,5.0,3.0
2012,Jrue Holiday,PHI,1.0,78,2924,0.163,0.088,5.3,-0.4,22.7,5.4,10.3
2012,O.J. Mayo,DAL,2.0,82,2917,0.158,0.09,5.5,-0.3,20.7,4.8,5.9
2012,David Lee,GSW,4.0,79,2906,0.318,0.141,8.5,1.3,24.1,14.6,4.6
2012,Luol Deng,CHI,3.2,75,2899,0.218,0.127,7.7,0.9,20.5,7.9,3.7
2012,Evan Turner,PHI,2.9,82,2898,0.125,0.057,3.4,-1.3,18.1,8.6,5.9
2012,Brandon Jennings,MIL,1.0,80,2897,0.181,0.106,6.4,0.2,23.1,4.1,8.6
2012,LeBron James,MIA,4.0,76,2881,0.495,0.318,19.1,6.8,33.9,10.2,9.2
2012,Russell Westbrook,OKC,1.0,82,2864,0.241,0.166,9.9,2.1,31.9,7.2,10.2
2012,Kemba Walker,CHA,1.0,82,2857,0.191,0.115,6.9,0.5,24.4,4.8,7.9
2012,Deron Williams,BRK,1.2,78,2842,0.245,0.172,10.2,2.3,24.9,3.9,10.2
2012,Nicolas Batum,POR,3.0,73,2806,0.271,0.203,11.9,3.2,17.9,7.0,6.2
2012,Marc Gasol,MEM,5.0,80,2798,0.378,0.2,11.7,3.1,19.3,10.7,5.5
2012,LaMarcus Aldridge,POR,4.2,74,2787,0.243,0.066,3.8,-1.0,26.9,11.5,3.3
2012,Andre Iguodala,DEN,2.0,80,2784,0.243,0.176,10.2,2.4,17.9,7.3,7.5
2012,Mike Conley,MEM,1.0,80,2758,0.292,0.217,12.5,3.7,20.3,3.9,8.5
2012,Chandler Parsons,HOU,3.2,76,2757,0.25,0.155,8.9,1.7,20.5,7.0,4.7
2012,Al Horford,ATL,4.9,74,2757,0.345,0.167,9.6,2.1,22.4,13.2,4.2
2012,Dwight Howard,LAL,5.0,76,2717,0.367,0.189,10.7,2.8,22.9,16.7,1.9
2012,Rudy Gay,"MEM, TOR",3.4,75,2686,0.139,0.032,1.8,-2.1,24.4,8.2,3.6
2012,Greg Monroe,DET,5.0,81,2686,0.302,0.125,7.0,0.8,23.2,13.9,5.0
