NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Eddie Johnson,"ATL, SAC",2.4,143,4746,0.13,0.06,5.9,-1.2,26.3,6.3,5.4
Isiah Thomas,DET,1.0,81,3093,0.171,0.083,5.4,-0.5,28.8,5.1,9.8
Rick Mahorn,WAS,4.2,82,3023,0.262,0.111,7.0,0.4,14.3,12.4,1.8
Mychal Thompson,POR,5.0,80,3017,0.248,0.097,6.1,-0.1,20.0,12.0,6.0
Alex English,DEN,3.0,82,2988,0.264,0.194,12.1,3.0,37.4,9.7,6.4
Joe Barry Carroll,GSW,5.0,79,2988,0.196,0.044,2.7,-1.7,30.6,11.1,2.7
Larry Bird,BOS,3.0,79,2982,0.402,0.332,20.6,7.2,30.1,14.0,7.4
Buck Williams,BRK,4.0,82,2961,0.434,0.282,17.4,5.7,22.6,16.6,2.0
Moses Malone,PHI,5.0,78,2922,0.458,0.306,18.6,6.4,31.3,19.6,1.7
Larry Nance,PHO,3.3,82,2914,0.363,0.271,16.5,5.4,22.6,11.7,3.2
Kiki Vandeweghe,DEN,4.0,82,2909,0.225,0.074,4.5,-0.8,36.1,7.2,3.3
Magic Johnson,LAL,1.0,79,2907,0.49,0.402,24.3,9.4,21.9,11.3,13.7
Calvin Natt,POR,3.0,80,2879,0.276,0.206,12.3,3.3,27.2,10.0,2.9
Bill Laimbeer,DET,5.0,82,2871,0.363,0.211,12.6,3.5,18.7,16.6,4.4
Jeff Ruland,WAS,5.0,79,2862,0.365,0.213,12.7,3.5,25.8,14.6,3.9
Reggie Theus,CHI,1.2,82,2856,0.111,0.026,1.5,-2.3,32.8,5.0,8.1
Marques Johnson,MIL,3.3,80,2853,0.28,0.183,10.9,2.6,28.8,9.5,6.1
Greg Ballard,WAS,3.0,78,2840,0.221,0.151,8.9,1.6,23.7,8.6,4.4
George Gervin,SAS,2.0,78,2830,0.114,0.044,2.6,-1.7,34.7,6.1,4.5
Dan Roundfield,ATL,3.9,77,2811,0.278,0.139,8.1,1.2,25.0,15.0,3.8
Mike Mitchell,SAS,3.8,80,2803,0.139,0.007,0.4,-2.9,27.2,9.2,1.7
Artis Gilmore,SAS,5.0,82,2797,0.443,0.291,17.0,6.0,25.4,16.9,2.2
Darrell Griffith,UTH,2.0,77,2787,0.035,-0.036,-2.1,-4.2,29.4,5.2,4.7
Mark Aguirre,DAL,3.0,81,2784,0.13,0.06,3.5,-1.2,34.1,8.8,5.7
Rickey Green,UTH,1.0,78,2783,0.292,0.204,11.8,3.3,19.2,3.8,12.0
Gus Williams,OKC,1.0,80,2761,0.232,0.144,8.3,1.4,27.8,3.6,11.2
Clark Kellogg,IND,3.0,81,2761,0.247,0.177,10.2,2.4,28.3,15.0,3.9
George Johnson,"ATL, IND",4.0,119,2758,0.166,0.014,0.8,-2.6,17.7,11.5,4.1
Jim Paxson,POR,2.0,81,2740,0.193,0.123,7.0,0.8,30.8,3.0,4.0
Jay Vincent,DAL,3.7,81,2726,0.162,0.034,1.9,-2.0,26.6,10.4,3.7
Gene Banks,SAS,3.0,81,2722,0.292,0.222,12.6,3.8,21.3,10.8,4.9
Geoff Huston,CLE,1.0,80,2716,0.143,0.055,3.1,-1.4,17.2,2.8,8.6
Norm Nixon,LAL,1.7,79,2711,0.088,0.013,0.7,-2.7,21.1,3.6,10.0
Sidney Moncrief,MIL,1.4,76,2710,0.35,0.269,15.2,5.3,30.3,7.7,5.3
Dominique Wilkins,ATL,3.0,82,2697,0.175,0.105,5.9,0.2,25.5,8.5,2.3
Larry Drew,SAC,1.0,75,2690,0.201,0.113,6.3,0.4,26.9,3.7,10.9
Tom Chambers,LAC,3.7,79,2665,0.13,0.005,0.3,-2.9,25.1,9.3,3.5
T.R. Dunn,DEN,1.9,82,2640,0.308,0.237,13.0,4.3,11.4,11.2,3.4
World B. Free,"CLE, GSW",2.0,73,2638,0.052,-0.019,-1.1,-3.7,31.7,3.7,5.3
Darwin Cook,BRK,1.3,82,2625,0.183,0.1,5.5,0.0,19.7,4.4,8.2
Allen Leavell,HOU,1.0,79,2602,0.171,0.083,4.5,-0.5,21.5,3.6,9.8
Cliff Robinson,CLE,4.0,77,2601,0.192,0.04,2.2,-1.8,25.6,15.8,2.7
Maurice Lucas,PHO,4.3,77,2586,0.233,0.081,4.4,-0.5,23.6,14.8,4.1
