NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Andre Iguodala,PHI,2.8,82,3268,0.262,0.177,12.1,2.4,22.6,6.9,6.4
Joe Johnson,ATL,2.5,79,3124,0.176,0.091,5.9,-0.2,25.9,5.3,7.0
O.J. Mayo,MEM,1.9,82,3120,0.107,0.022,1.4,-2.4,23.3,4.7,4.0
Antawn Jamison,WAS,3.5,81,3095,0.242,0.115,7.4,0.5,27.9,11.2,2.4
Raymond Felton,CHA,1.4,82,3086,0.159,0.069,4.4,-0.9,18.1,4.8,8.6
Tayshaun Prince,DET,3.1,82,3057,0.23,0.136,8.7,1.2,18.3,7.5,4.0
LeBron James,CLE,3.3,81,3053,0.451,0.342,21.8,7.6,36.2,9.6,9.2
Dirk Nowitzki,DAL,4.5,81,3050,0.233,0.062,4.0,-1.1,33.0,10.7,3.1
Dwyane Wade,MIA,1.8,79,3047,0.345,0.259,16.4,5.0,37.6,6.3,9.3
Paul Pierce,BOS,3.0,81,3035,0.226,0.142,9.0,1.3,26.2,7.2,4.7
LaMarcus Aldridge,POR,4.2,81,3003,0.254,0.084,5.2,-0.5,23.5,9.7,2.5
Chris Paul,NOR,1.0,78,3002,0.466,0.373,23.3,8.5,28.5,6.9,13.8
Derrick Rose,CHI,1.0,81,3000,0.18,0.088,5.5,-0.4,21.8,5.1,8.2
Pau Gasol,LAL,4.6,81,2999,0.433,0.262,16.4,5.1,24.5,12.5,4.5
Ben Gordon,CHI,2.0,82,2999,0.156,0.072,4.5,-0.8,27.2,4.5,4.5
David West,NOR,4.1,76,2981,0.218,0.047,2.9,-1.6,25.6,10.4,2.8
Andre Miller,PHI,1.0,82,2976,0.261,0.168,10.4,2.1,21.6,5.9,8.6
Kobe Bryant,LAL,1.9,82,2960,0.245,0.16,9.9,1.9,35.7,7.0,6.5
John Salmons,"CHI, SAC",2.7,79,2958,0.188,0.104,6.4,0.2,23.5,5.4,4.0
Vince Carter,BRK,2.4,80,2946,0.195,0.11,6.8,0.3,27.1,6.7,6.1
Rudy Gay,MEM,3.3,79,2945,0.127,0.02,1.2,-2.5,24.3,7.1,2.2
Richard Jefferson,MIL,3.0,82,2938,0.147,0.062,3.8,-1.1,26.3,6.1,3.3
Chris Bosh,TOR,4.4,77,2927,0.307,0.136,8.3,1.2,28.6,12.6,3.1
Chris Duhon,NYK,1.0,79,2906,0.229,0.136,8.2,1.1,14.5,4.1,9.3
Brandon Roy,POR,2.5,78,2903,0.299,0.215,13.0,3.6,29.2,6.1,6.6
Jason Kidd,DAL,1.2,81,2885,0.385,0.293,17.6,6.0,12.2,8.3,11.7
Kevin Durant,OKC,3.0,74,2884,0.22,0.135,8.1,1.1,31.1,8.0,3.4
Ray Allen,BOS,2.0,79,2875,0.272,0.187,11.2,2.7,23.9,4.6,3.6
Jeff Green,OKC,3.9,78,2869,0.165,0.005,0.3,-2.9,21.6,8.7,2.6
Rashard Lewis,ORL,3.5,79,2858,0.264,0.137,8.2,1.2,23.5,7.6,3.4
Mo Williams,CLE,1.0,81,2834,0.214,0.121,7.1,0.7,24.4,4.7,5.6
David Lee,NYK,4.5,81,2823,0.382,0.211,12.4,3.5,22.0,16.2,3.0
Dwight Howard,ORL,5.0,79,2821,0.508,0.337,19.8,7.4,27.6,18.6,1.9
Hedo Turkoglu,ORL,3.5,77,2814,0.191,0.063,3.7,-1.1,22.1,7.0,6.4
Chauncey Billups,"DEN, DET",1.3,79,2788,0.272,0.181,10.5,2.6,24.1,4.1,8.7
Boris Diaw,"CHA, PHO",3.6,81,2753,0.223,0.087,5.0,-0.4,18.7,7.5,5.8
Mike Bibby,ATL,1.0,79,2740,0.22,0.127,7.2,0.9,20.6,4.9,6.9
Wilson Chandler,NYK,3.3,82,2734,0.132,0.021,1.2,-2.4,20.8,7.8,3.0
Jarrett Jack,IND,1.6,82,2716,0.181,0.093,5.3,-0.2,19.0,4.9,6.0
