NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Latrell Sprewell,GSW,1.9,82,3533,0.173,0.096,7.1,-0.1,23.4,5.4,5.2
Karl Malone,UTH,4.0,82,3329,0.325,0.168,11.7,2.1,29.7,13.6,4.7
Hakeem Olajuwon,HOU,5.0,80,3277,0.365,0.209,14.2,3.4,32.0,14.0,4.2
David Robinson,SAS,5.0,80,3241,0.439,0.283,19.1,5.7,35.3,12.7,5.6
Shaquille O'Neal,ORL,5.0,81,3224,0.462,0.306,20.5,6.4,35.4,16.0,2.9
Dan Majerle,PHO,2.2,80,3207,0.173,0.103,6.9,0.1,19.8,5.2,4.1
Clarence Weatherspoon,PHI,3.0,82,3137,0.251,0.181,11.8,2.5,23.0,12.7,2.9
Kenny Anderson,BRK,1.0,82,3135,0.194,0.073,4.8,-0.8,23.5,4.9,12.0
Jim Jackson,DAL,2.3,82,3066,0.077,0.007,0.4,-2.9,24.7,6.1,5.9
Anfernee Hardaway,ORL,2.5,82,3015,0.266,0.196,12.3,3.0,20.9,7.0,8.7
Glen Rice,MIA,3.0,81,2999,0.202,0.13,8.1,1.0,27.3,6.9,2.9
Dennis Rodman,SAS,3.5,79,2989,0.515,0.397,24.7,9.3,5.9,22.0,3.0
Patrick Ewing,NYK,5.0,79,2972,0.323,0.167,10.3,2.1,31.3,14.3,2.9
John Stockton,UTH,1.0,82,2969,0.442,0.322,19.9,6.9,20.0,4.2,16.7
Charles Oakley,NYK,3.8,82,2932,0.398,0.263,16.1,5.1,15.9,15.8,3.6
Mookie Blaylock,ATL,1.0,81,2915,0.35,0.229,13.9,4.1,18.4,7.0,13.0
Otis Thorpe,HOU,4.1,82,2909,0.351,0.195,11.8,3.0,19.0,14.4,3.1
Mitch Richmond,SAC,2.0,78,2897,0.122,0.052,3.1,-1.5,30.2,4.7,5.2
Jamal Mashburn,DAL,3.1,79,2896,0.019,-0.063,-3.8,-5.1,25.1,5.9,4.4
Rod Strickland,POR,1.0,82,2889,0.33,0.209,12.6,3.4,23.4,6.1,12.3
Gary Payton,OKC,1.0,82,2881,0.244,0.123,7.4,0.7,22.5,4.5,8.2
Dee Brown,BOS,1.7,77,2867,0.214,0.131,7.8,1.0,20.0,5.0,5.8
Kevin Willis,ATL,4.2,80,2867,0.299,0.142,8.5,1.3,25.6,16.1,2.5
Ron Harper,LAC,2.0,75,2856,0.11,0.04,2.4,-1.8,25.3,7.7,5.8
Bryant Stith,DEN,2.3,82,2853,0.213,0.143,8.5,1.4,17.2,5.9,3.3
Clifford Robinson,POR,5.0,82,2853,0.155,-0.002,-0.1,-3.1,27.7,9.3,2.7
Dikembe Mutombo,DEN,5.0,82,2853,0.464,0.307,18.3,6.5,16.6,16.3,2.1
A.C. Green,PHO,3.9,82,2825,0.318,0.174,10.2,2.3,20.5,12.8,2.3
Jeff Hornacek,"PHI, UTH",2.0,80,2820,0.205,0.135,7.9,1.1,21.7,4.7,7.1
Nick Anderson,ORL,2.1,81,2811,0.252,0.182,10.7,2.6,21.8,8.1,5.0
Tom Gugliotta,WAS,4.1,78,2795,0.239,0.083,4.8,-0.5,22.9,12.5,4.7
Sherman Douglas,BOS,1.0,78,2789,0.168,0.047,2.7,-1.6,17.9,3.3,11.8
Derrick Coleman,BRK,3.6,77,2778,0.324,0.199,11.5,3.1,26.9,15.0,4.5
Steve Smith,MIA,2.0,78,2776,0.236,0.166,9.6,2.1,23.3,6.1,6.8
Terry Mills,DET,3.9,80,2773,0.235,0.083,4.8,-0.5,23.9,11.6,3.1
B.J. Armstrong,CHI,1.0,82,2770,0.158,0.037,2.1,-1.9,21.0,2.9,5.6
Gerald Wilkins,CLE,2.2,82,2768,0.188,0.118,6.8,0.6,20.3,5.3,4.4
Scottie Pippen,CHI,2.9,72,2759,0.342,0.272,15.6,5.4,27.6,10.9,7.0
Muggsy Bogues,NOR,1.0,77,2746,0.307,0.187,10.7,2.7,14.6,5.5,13.6
Billy Owens,GSW,3.9,79,2738,0.235,0.087,5.0,-0.4,20.8,11.2,5.7
Detlef Schrempf,OKC,3.3,81,2728,0.215,0.119,6.8,0.6,21.3,8.0,4.8
Kevin Edwards,BRK,2.0,82,2727,0.145,0.075,4.3,-0.8,20.1,4.9,4.1
Mark Jackson,LAC,1.0,79,2711,0.275,0.154,8.7,1.7,15.3,6.2,12.0
Lionel Simmons,SAC,3.2,75,2702,0.204,0.118,6.7,0.6,20.1,10.0,5.4
Nick Van Exel,LAL,1.0,81,2700,0.126,0.005,0.3,-2.9,19.5,4.2,8.3
LaPhonso Ellis,DEN,3.7,79,2699,0.259,0.132,7.4,1.0,21.6,12.1,3.0
Vlade Divac,LAL,5.0,79,2685,0.369,0.213,11.9,3.5,20.1,15.2,5.5
Hot Rod Williams,CLE,4.8,76,2660,0.28,0.124,6.9,0.8,18.8,10.4,3.5
Reggie Williams,DEN,2.5,82,2654,0.141,0.071,3.9,-0.9,19.3,7.1,5.4
Hersey Hawkins,NOR,2.0,82,2648,0.223,0.151,8.3,1.6,21.4,6.8,3.9
Reggie Miller,IND,2.0,79,2638,0.264,0.194,10.6,2.9,28.6,3.9,4.5
Buck Williams,POR,4.0,81,2636,0.399,0.242,13.3,4.5,14.3,15.4,1.5
Dominique Wilkins,"ATL, LAC",3.0,74,2635,0.146,0.076,4.2,-0.7,35.0,8.8,3.1
Mahmoud Abdul-Rauf,DEN,1.2,80,2617,0.125,0.012,0.6,-2.7,26.4,3.1,6.6
Derrick McKey,IND,3.3,76,2613,0.222,0.126,6.8,0.8,16.7,7.4,6.0
Stacey Augmon,ATL,2.3,82,2605,0.294,0.224,12.2,3.9,22.3,7.3,3.4
Shawn Kemp,OKC,4.5,79,2597,0.437,0.28,15.2,5.6,26.4,15.7,3.8
Joe Dumars,DET,2.0,69,2591,0.127,0.057,3.1,-1.3,26.1,2.8,4.8
Dale Ellis,SAS,2.5,77,2590,0.179,0.109,5.9,0.3,21.7,4.7,1.5
Vernon Maxwell,HOU,2.0,75,2571,0.113,0.043,2.3,-1.8,19.1,4.3,7.1
Horace Grant,CHI,4.0,70,2570,0.419,0.263,14.1,5.1,19.7,14.4,4.4
