Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
2122,POR,1,Lillard-McCollum-Powell-Covington-Nurkic,269.8,1.15,1.16,+6,7,8,46.6
2122,POR,2,McCollum-Simons-Powell-Covington-Nurkic,127.6,1.05,1.21,-37,3,6,33.3
2122,POR,3,McCollum-Simons-Little-Covington-Nurkic,75.3,1.12,0.88,+38,6,2,75.0
2122,POR,4,Simons-McLemore-Little-Covington-Nurkic,73.1,1.29,1.02,+40,5,1,83.3
2122,POR,5,McCollum-Simons-Little-Snell-NanceJr.,70.9,1.19,1.08,+10,6,4,60.0
2122,POR,6,Simons-Hart-Elleby-Winslow-Nurkic,63.0,1.31,1.16,+25,2,1,66.6
2122,POR,7,Williams-Hart-Elleby-Watford-Eubanks,61.8,1.04,1.14,-13,2,3,40.0
2122,POR,8,Lillard-Simons-Powell-Covington-Nurkic,60.6,1.20,1.11,+11,9,7,56.2
2122,POR,9,Lillard-Powell-Little-NanceJr.-Nurkic,51.9,1.13,1.16,-7,2,3,40.0
2122,POR,10,McCollum-Simons-Little-NanceJr.-Zeller,49.9,1.03,1.08,-10,5,8,38.4
2122,POR,11,Williams-Johnson-Elleby-BrownIII-Eubanks,48.8,1.04,1.29,-28,1,5,16.6
2122,POR,12,Simons-McLemore-Elleby-Winslow-Nurkic,47.5,1.10,1.22,-12,2,3,40.0
2122,POR,13,Lillard-Simons-Little-NanceJr.-Zeller,47.1,1.26,1.04,+22,7,5,58.3
2122,POR,14,Lillard-McCollum-Little-Covington-Nurkic,42.9,1.02,1.14,-10,2,4,33.3
2122,POR,15,Simons-Powell-Little-NanceJr.-Nurkic,42.1,1.46,1.31,+12,1,1,50.0
2122,POR,16,Lillard-Powell-Little-Snell-NanceJr.,36.9,0.89,1.42,-40,0,3,0.0
2122,POR,17,Simons-Powell-Little-Covington-Nurkic,35.2,1.09,1.36,-15,1,2,33.3
2122,POR,18,SmithJr.-Blevins-Elleby-BrownIII-Watford,30.5,1.16,1.39,-13,2,3,40.0
2122,POR,19,McCollum-Simons-Snell-Covington-Nurkic,30.0,1.19,0.93,+15,2,0,100
2122,POR,20,McLemore-Hart-Hughes-BrownIII-Watford,29.4,1.00,1.00,+1,2,1,66.6
