Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
0708,LAC,1,Knight-Mobley-Maggette-Thomas-Kaman,176,0.91,1.00,-18,15,10,60.0
0708,LAC,2,Cassell-Ross-Maggette-Thomas-Kaman,164,0.98,0.96,+9,6,7,46.1
0708,LAC,3,Knight-Mobley-Maggette-Thornton-Kaman,155,0.94,1.05,-32,11,15,42.3
0708,LAC,4,Knight-Mobley-Maggette-Thornton-Powell,96,1.06,1.10,-12,8,10,44.4
0708,LAC,5,Cassell-Ross-Maggette-Thornton-Kaman,93,0.98,1.14,-27,4,7,36.3
0708,LAC,6,Knight-Mobley-Maggette-Thomas-Powell,93,1.03,1.02,-1,9,7,56.2
0708,LAC,7,Knight-Ross-Maggette-Thomas-Kaman,84,0.96,1.07,-19,3,4,42.8
0708,LAC,8,Cassell-Mobley-Maggette-Thomas-Kaman,83,1.13,1.07,+15,7,5,58.3
0708,LAC,9,Cassell-Mobley-Maggette-Thornton-Kaman,76,1.18,1.21,-6,3,7,30.0
0708,LAC,10,Cassell-Ross-Mobley-Thomas-Kaman,73,1.00,1.17,-25,2,5,28.5
0708,LAC,11,Knight-Mobley-Maggette-Powell-Kaman,61,1.19,1.18,-6,4,5,44.4
0708,LAC,12,Knight-Mobley-Maggette-Thornton-Thomas,50,1.28,1.14,+10,10,6,62.5
0708,LAC,13,Knight-Mobley-Thornton-Thomas-Kaman,49,0.93,1.07,-9,5,8,38.4
0708,LAC,14,Knight-Mobley-Maggette-Thomas-Williams,48,0.96,1.17,-21,4,4,50.0
0708,LAC,15,Knight-Mobley-Thornton-Thomas-Powell,48,1.10,1.12,+4,3,6,33.3
0708,LAC,16,Cassell-Ross-Mobley-Maggette-Kaman,46,1.23,0.90,+27,7,2,77.7
0708,LAC,17,Dickau-Ross-Maggette-Thornton-Powell,46,0.91,1.24,-32,3,6,33.3
0708,LAC,18,Dickau-Mobley-Maggette-Thomas-Kaman,41,1.10,0.98,+14,7,5,58.3
0708,LAC,19,Cassell-Ross-Mobley-Thomas-Powell,36,1.04,1.20,-5,3,3,50.0
0708,LAC,20,Knight-Ross-Maggette-Thornton-Powell,36,0.98,1.03,-7,1,4,20.0
