Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1415,ORL,1,Oladipo-Fournier-Harris-Frye-Vucevic,210.3,1.00,1.12,-40,5,11,31.2
1415,ORL,2,Payton-Oladipo-Harris-Vucevic-Dedmon,179.9,1.00,1.05,-22,6,9,40.0
1415,ORL,3,Payton-Fournier-Harris-Frye-Vucevic,153.2,1.01,1.10,-27,8,6,57.1
1415,ORL,4,Payton-Oladipo-Harris-O'Quinn-Vucevic,152.5,0.98,1.06,-26,4,10,28.5
1415,ORL,5,Payton-Oladipo-Harris-Frye-Vucevic,138.5,1.00,1.21,-52,4,10,28.5
1415,ORL,6,Payton-Oladipo-Marble-Frye-Vucevic,132.7,1.09,1.11,-7,3,4,42.8
1415,ORL,7,Payton-Oladipo-Fournier-Harris-Vucevic,114.4,1.17,1.18,+2,9,9,50.0
1415,ORL,8,Payton-Oladipo-A.Gordon-Harris-Vucevic,86.7,1.00,1.06,-14,6,6,50.0
1415,ORL,9,Oladipo-Fournier-Harris-O'Quinn-Frye,82.8,1.21,1.05,+29,6,4,60.0
1415,ORL,10,Payton-Oladipo-Harris-Nicholson-Vucevic,64.9,1.15,1.09,+12,4,5,44.4
1415,ORL,11,Payton-Oladipo-Fournier-Frye-Vucevic,55.3,1.13,1.03,+10,7,2,77.7
1415,ORL,12,Payton-Oladipo-A.Gordon-Frye-Vucevic,52.3,1.10,1.17,-9,3,4,42.8
1415,ORL,13,Payton-Oladipo-Green-Harris-Vucevic,52.0,1.04,1.06,-4,4,4,50.0
1415,ORL,14,Payton-Oladipo-Harkless-Frye-Vucevic,46.7,1.05,1.07,-2,2,2,50.0
1415,ORL,15,Ridnour-Fournier-Harris-Frye-Vucevic,40.8,1.02,0.94,+11,4,3,57.1
1415,ORL,16,Payton-Oladipo-Fournier-Harris-Frye,36.5,1.08,1.03,-1,4,3,57.1
1415,ORL,17,Payton-B.Gordon-Fournier-Frye-Dedmon,36.0,1.26,0.88,+18,7,2,77.7
1415,ORL,18,Payton-Fournier-A.Gordon-Harris-Vucevic,34.6,1.04,1.15,-13,4,4,50.0
1415,ORL,19,Payton-Oladipo-Harris-Frye-Dedmon,30.9,1.08,1.12,+3,4,4,50.0
1415,ORL,20,Payton-Oladipo-A.Gordon-Nicholson-Vucevic,30.3,1.25,1.29,-1,2,1,66.6
