Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
0910,LAL,1,Fisher-Bryant-Artest-Gasol-Bynum,668.3,1.15,1.03,+155,25,15,62.5
0910,LAL,2,Fisher-Bryant-Artest-Odom-Gasol,432.6,1.09,1.05,+36,21,23,47.7
0910,LAL,3,Fisher-Bryant-Artest-Odom-Bynum,398.3,1.07,1.02,+51,20,13,60.6
0910,LAL,4,Farmar-Brown-Bryant-Odom-Gasol,168.9,1.09,1.01,+30,21,11,65.6
0910,LAL,5,Fisher-Brown-Artest-Odom-Gasol,142.5,1.10,0.88,+62,8,3,72.7
0910,LAL,6,Farmar-Brown-Bryant-Odom-Bynum,126.7,1.01,1.09,-25,11,19,36.6
0910,LAL,7,Farmar-Brown-Artest-Odom-Gasol,111.4,1.02,0.97,+6,15,16,48.3
0910,LAL,8,Farmar-Bryant-Artest-Odom-Gasol,96.9,1.20,1.07,+21,13,12,52.0
0910,LAL,9,Farmar-Brown-Artest-Odom-Bynum,80.5,0.94,0.85,+16,9,10,47.3
0910,LAL,10,Fisher-Bryant-Odom-Gasol-Bynum,77.2,1.16,1.07,+13,5,2,71.4
0910,LAL,11,Farmar-Bryant-Artest-Odom-Bynum,58.7,1.15,0.87,+35,13,10,56.5
0910,LAL,12,Fisher-Brown-Bryant-Odom-Gasol,47.4,1.23,0.93,+26,6,5,54.5
0910,LAL,13,Fisher-Brown-Bryant-Odom-Bynum,38.7,1.29,0.97,+31,8,2,80.0
0910,LAL,14,Farmar-Brown-Morrison-Powell-Mbenga,37.9,1.03,1.01,+3,4,4,50.0
0910,LAL,15,Farmar-Vujacic-Brown-Odom-Gasol,37.3,1.12,1.03,+2,7,7,50.0
0910,LAL,16,Brown-Bryant-Artest-Odom-Gasol,37.3,1.05,0.99,+2,7,6,53.8
0910,LAL,17,Fisher-Brown-Artest-Gasol-Bynum,35.5,1.14,1.35,-13,2,3,40.0
0910,LAL,18,Fisher-Bryant-Artest-Odom-Mbenga,33.8,1.13,0.96,+7,5,5,50.0
0910,LAL,19,Farmar-Brown-Bryant-Powell-Gasol,30.8,0.94,1.17,-16,3,6,33.3
0910,LAL,20,Farmar-Brown-Bryant-Powell-Bynum,29.4,1.36,1.09,+15,6,3,66.6
