Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
0809,MIL,1,Sessions-Jefferson-MbahaMoute-Villanueva-Elson,227,1.06,1.03,+11,12,12,50.0
0809,MIL,2,Ridnour-Redd-Jefferson-MbahaMoute-Bogut,219,1.05,0.95,+45,12,4,75.0
0809,MIL,3,Sessions-Bell-Jefferson-Villanueva-Gadzuric,126,1.01,1.10,-24,10,11,47.6
0809,MIL,4,Ridnour-Redd-Jefferson-Villanueva-Bogut,108,1.18,1.06,+21,5,9,35.7
0809,MIL,5,Ridnour-Bell-Jefferson-MbahaMoute-Bogut,98,1.03,0.87,+29,11,2,84.6
0809,MIL,6,Ridnour-Redd-Jefferson-Villanueva-Gadzuric,96,1.14,1.23,-26,3,9,25.0
0809,MIL,7,Sessions-Bell-Jefferson-MbahaMoute-Villanueva,83,1.04,1.15,-16,7,10,41.1
0809,MIL,8,Ridnour-Redd-Jefferson-MbahaMoute-Gadzuric,75,1.09,1.13,-8,5,6,45.4
0809,MIL,9,Ridnour-Sessions-Jefferson-Villanueva-Elson,70,1.04,1.08,+1,7,5,58.3
0809,MIL,10,Ridnour-Bell-Jefferson-Villanueva-Bogut,67,0.96,1.10,-20,3,7,30.0
0809,MIL,11,Sessions-Bell-Jefferson-Villanueva-Elson,61,1.05,1.16,-17,8,12,40.0
0809,MIL,12,Sessions-Bell-Jefferson-MbahaMoute-Gadzuric,59,1.08,0.93,+18,7,7,50.0
0809,MIL,13,Sessions-Bell-Jefferson-MbahaMoute-Bogut,49,1.03,1.00,+4,4,2,66.6
0809,MIL,14,Ridnour-Sessions-Jefferson-MbahaMoute-Bogut,46,1.08,0.97,+9,2,5,28.5
0809,MIL,15,Ridnour-Redd-Jefferson-Allen-Bogut,45,0.88,1.08,-18,1,4,20.0
0809,MIL,16,Sessions-Jefferson-MbahaMoute-Villanueva-Gadzuric,38,0.96,1.03,-4,2,5,28.5
0809,MIL,17,Sessions-Redd-Jefferson-Villanueva-Bogut,37,1.07,1.16,-13,3,7,30.0
0809,MIL,18,Ridnour-Sessions-Jefferson-MbahaMoute-Gadzuric,37,1.21,1.04,+12,3,5,37.5
0809,MIL,19,Sessions-Bell-Jefferson-MbahaMoute-Elson,36,1.08,1.09,-7,7,7,50.0
0809,MIL,20,Ridnour-Bell-Jefferson-MbahaMoute-Gadzuric,34,1.09,1.16,-6,2,4,33.3
