Name,Team,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Mays,ATL,Shot Area,Restricted Area,19,29,0.655,0,0,0.0,0.655,3,0.474,0.526,0.0,0.0,0.474,0.526,1,1,1,3,3,3,1,7,1,1,3,1,1,1,49,Restricted Area
Mays,ATL,Shot Area,In The Paint (Non-RA),2,6,0.333,0,0,0.0,0.333,2,0.0,1.0,0.0,0.0,0.0,1.0,4,4,4,3,3,3,5,6,3,2,3,1,5,2,49,In The Paint (Non-RA)
Mays,ATL,Shot Area,Mid-Range,3,4,0.75,0,0,0.0,0.75,0,0.333,0.667,0.0,0.0,0.333,0.667,3,5,3,3,3,3,3,1,2,2,3,1,4,2,49,Mid-Range
Mays,ATL,Shot Area,Left Corner 3,2,9,0.222,2,9,0.222,0.333,0,0.0,0.0,1.0,0.0,1.0,0.0,4,3,4,2,2,2,3,1,3,4,2,1,3,4,49,Left Corner 3
Mays,ATL,Shot Area,Right Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,6,3,3,3,6,1,3,4,3,1,5,4,49,Right Corner 3
Mays,ATL,Shot Area,Above the Break 3,6,16,0.375,6,16,0.375,0.563,0,0.0,0.0,1.0,0.0,1.0,0.0,2,2,2,1,1,1,2,1,3,4,1,1,2,4,49,Above the Break 3
Mays,ATL,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,6,3,3,3,6,1,3,4,3,1,5,4,49,Backcourt
