Name,Team,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Hood,LAC,Shot Area,Restricted Area,13,16,0.813,0,0,0.0,0.813,0,0.615,0.385,0.0,0.0,0.615,0.385,2,4,3,5,5,5,3,1,1,3,5,2,2,4,49,Restricted Area
Hood,LAC,Shot Area,In The Paint (Non-RA),6,18,0.333,0,0,0.0,0.333,0,0.5,0.5,0.0,0.0,0.5,0.5,4,3,4,5,5,5,5,1,3,2,5,2,6,3,49,In The Paint (Non-RA)
Hood,LAC,Shot Area,Mid-Range,10,34,0.294,1,2,0.5,0.309,0,0.444,0.556,1.0,0.0,0.5,0.5,3,2,2,4,4,4,2,1,2,1,4,2,4,1,49,Mid-Range
Hood,LAC,Shot Area,Left Corner 3,6,12,0.5,6,12,0.5,0.75,0,0.0,0.0,1.0,0.0,1.0,0.0,4,6,4,2,3,2,4,1,4,4,2,2,3,5,49,Left Corner 3
Hood,LAC,Shot Area,Right Corner 3,4,15,0.267,4,15,0.267,0.4,0,0.0,0.0,1.0,0.0,1.0,0.0,6,5,6,3,2,3,5,1,4,4,3,2,5,5,49,Right Corner 3
Hood,LAC,Shot Area,Above the Break 3,19,62,0.306,19,62,0.306,0.46,0,0.0,0.0,0.737,0.263,0.737,0.263,1,1,1,1,1,1,1,1,4,4,1,1,1,1,49,Above the Break 3
Hood,LAC,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,5,5,5,7,1,4,4,5,2,7,5,49,Backcourt
