Name,Team,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Rondo,CLE,Shot Area,Restricted Area,27,50,0.54,0,0,0.0,0.54,4,0.037,0.963,0.0,0.0,0.037,0.963,2,2,2,4,5,4,2,6,2,1,4,2,4,1,49,Restricted Area
Rondo,CLE,Shot Area,In The Paint (Non-RA),7,28,0.25,0,0,0.0,0.25,4,0.286,0.714,0.0,0.0,0.286,0.714,3,3,3,4,5,4,3,6,1,2,4,2,2,2,49,In The Paint (Non-RA)
Rondo,CLE,Shot Area,Mid-Range,3,11,0.273,0,1,0.0,0.273,1,0.0,1.0,0.0,0.0,0.0,1.0,4,4,4,4,4,4,4,4,3,3,4,2,6,4,49,Mid-Range
Rondo,CLE,Shot Area,Left Corner 3,1,6,0.167,1,6,0.167,0.25,0,0.0,0.0,1.0,0.0,1.0,0.0,6,5,6,3,2,3,6,1,3,4,3,2,4,5,49,Left Corner 3
Rondo,CLE,Shot Area,Right Corner 3,2,5,0.4,2,5,0.4,0.6,0,0.0,0.0,1.0,0.0,1.0,0.0,5,6,5,2,3,2,4,1,3,4,2,2,2,5,49,Right Corner 3
Rondo,CLE,Shot Area,Above the Break 3,28,76,0.368,28,76,0.368,0.553,1,0.0,0.0,0.821,0.179,0.821,0.179,1,1,1,1,1,1,1,4,3,4,1,1,1,2,49,Above the Break 3
Rondo,CLE,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,5,4,7,1,3,4,4,2,6,5,49,Backcourt
