Name,Team,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Paschall,UTA,Shot Area,Restricted Area,57,89,0.64,0,0,0.0,0.64,13,0.579,0.421,0.0,0.0,0.579,0.421,1,1,1,5,6,5,1,7,1,1,5,2,1,1,49,Restricted Area
Paschall,UTA,Shot Area,In The Paint (Non-RA),14,31,0.452,0,0,0.0,0.452,7,0.571,0.429,0.0,0.0,0.571,0.429,3,3,3,5,6,5,4,6,2,2,5,2,5,2,49,In The Paint (Non-RA)
Paschall,UTA,Shot Area,Mid-Range,4,9,0.444,1,2,0.5,0.5,0,0.667,0.333,1.0,0.0,0.75,0.25,6,6,6,4,4,4,6,1,3,3,4,2,6,4,49,Mid-Range
Paschall,UTA,Shot Area,Left Corner 3,10,28,0.357,10,28,0.357,0.536,1,0.0,0.0,1.0,0.0,1.0,0.0,5,5,5,3,3,3,5,4,4,4,3,2,4,5,49,Left Corner 3
Paschall,UTA,Shot Area,Right Corner 3,13,30,0.433,13,30,0.433,0.65,0,0.0,0.0,1.0,0.0,1.0,0.0,4,4,4,2,2,2,3,1,4,4,2,2,3,5,49,Right Corner 3
Paschall,UTA,Shot Area,Above the Break 3,16,46,0.348,16,46,0.348,0.522,1,0.0,0.0,0.875,0.125,0.875,0.125,2,2,2,1,1,1,2,4,4,4,1,1,2,3,49,Above the Break 3
Paschall,UTA,Shot Area,Backcourt,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,5,4,5,7,1,4,4,5,2,7,5,49,Backcourt
