Name,Team,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Bazemore,LAL,Shot Area,Restricted Area,9,26,0.346,0,0,0.0,0.346,0,0.889,0.111,0.0,0.0,0.889,0.111,3,2,3,4,6,4,3,1,1,1,4,2,3,2,49,Restricted Area
Bazemore,LAL,Shot Area,In The Paint (Non-RA),4,14,0.286,0,0,0.0,0.286,0,0.75,0.25,0.0,0.0,0.75,0.25,4,6,4,4,6,4,5,1,2,1,4,2,5,2,49,In The Paint (Non-RA)
Bazemore,LAL,Shot Area,Mid-Range,3,20,0.15,0,1,0.0,0.15,0,0.667,0.333,0.0,0.0,0.667,0.333,6,4,6,4,5,4,6,1,3,1,4,2,6,2,49,Mid-Range
Bazemore,LAL,Shot Area,Left Corner 3,4,18,0.222,4,18,0.222,0.333,0,0.0,0.0,1.0,0.0,1.0,0.0,4,5,5,3,3,3,4,1,4,4,3,2,4,5,49,Left Corner 3
Bazemore,LAL,Shot Area,Right Corner 3,13,25,0.52,13,25,0.52,0.78,0,0.0,0.0,1.0,0.0,1.0,0.0,1,3,1,1,2,1,1,1,4,4,1,2,1,5,49,Right Corner 3
Bazemore,LAL,Shot Area,Above the Break 3,12,34,0.353,12,34,0.353,0.529,0,0.0,0.0,0.833,0.167,0.833,0.167,2,1,2,2,1,2,2,1,4,4,2,1,2,1,49,Above the Break 3
Bazemore,LAL,Shot Area,Backcourt,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,4,4,2,7,5,49,Backcourt
