Name,Team,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Azubuike,UTA,Shot Area,Restricted Area,34,42,0.81,0,0,0.0,0.81,2,0.941,0.059,0.0,0.0,0.941,0.059,1,1,1,1,1,1,1,7,1,1,1,1,1,1,49,Restricted Area
Azubuike,UTA,Shot Area,In The Paint (Non-RA),3,7,0.429,0,0,0.0,0.429,0,0.333,0.667,0.0,0.0,0.333,0.667,2,2,2,1,1,1,2,1,2,1,1,1,2,1,49,In The Paint (Non-RA)
Azubuike,UTA,Shot Area,Mid-Range,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,1,1,1,3,1,3,3,1,1,3,3,49,Mid-Range
Azubuike,UTA,Shot Area,Left Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,1,1,1,3,1,3,3,1,1,3,3,49,Left Corner 3
Azubuike,UTA,Shot Area,Right Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,1,1,1,3,1,3,3,1,1,3,3,49,Right Corner 3
Azubuike,UTA,Shot Area,Above the Break 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,1,1,1,3,1,3,3,1,1,3,3,49,Above the Break 3
Azubuike,UTA,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,1,1,1,3,1,3,3,1,1,3,3,49,Backcourt
