Name,Team,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Holiday,PHX,Shot Area,Restricted Area,48,80,0.6,0,0,0.0,0.6,8,0.375,0.625,0.0,0.0,0.375,0.625,2,3,2,4,4,4,2,7,1,2,4,4,2,2,49,Restricted Area
Holiday,PHX,Shot Area,In The Paint (Non-RA),49,105,0.467,0,0,0.0,0.467,6,0.265,0.735,0.0,0.0,0.265,0.735,1,1,1,4,4,4,1,6,2,1,4,4,3,1,49,In The Paint (Non-RA)
Holiday,PHX,Shot Area,Mid-Range,15,50,0.3,0,0,0.0,0.3,3,0.533,0.467,0.0,0.0,0.533,0.467,4,4,4,4,4,4,4,5,3,3,4,4,4,4,49,Mid-Range
Holiday,PHX,Shot Area,Left Corner 3,5,13,0.385,5,13,0.385,0.577,0,0.0,0.0,0.8,0.2,0.8,0.2,5,5,5,2,2,2,5,1,4,4,2,2,5,5,49,Left Corner 3
Holiday,PHX,Shot Area,Right Corner 3,2,4,0.5,2,4,0.5,0.75,0,0.0,0.0,0.5,0.5,0.5,0.5,6,6,6,3,3,3,6,1,4,4,3,2,6,5,49,Right Corner 3
Holiday,PHX,Shot Area,Above the Break 3,32,86,0.372,32,86,0.372,0.558,1,0.0,0.0,0.719,0.281,0.719,0.281,3,2,3,1,1,1,2,4,4,4,1,1,1,3,49,Above the Break 3
Holiday,PHX,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,4,4,4,7,7,49,Backcourt
