Name,Team,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
McBride,NYK,Shot Area,Restricted Area,9,16,0.563,0,0,0.0,0.563,3,0.333,0.667,0.0,0.0,0.333,0.667,2,2,2,5,5,5,2,7,1,1,5,3,2,1,49,Restricted Area
McBride,NYK,Shot Area,In The Paint (Non-RA),2,10,0.2,0,0,0.0,0.2,1,0.0,1.0,0.0,0.0,0.0,1.0,6,5,6,5,5,5,6,6,3,3,5,3,6,4,49,In The Paint (Non-RA)
McBride,NYK,Shot Area,Mid-Range,5,15,0.333,1,1,1.0,0.367,0,0.25,0.75,1.0,0.0,0.4,0.6,3,3,3,4,4,4,3,1,2,2,4,3,4,2,49,Mid-Range
McBride,NYK,Shot Area,Left Corner 3,3,11,0.273,3,11,0.273,0.409,0,0.0,0.0,1.0,0.0,1.0,0.0,4,4,5,2,2,3,5,1,3,4,2,3,2,6,49,Left Corner 3
McBride,NYK,Shot Area,Right Corner 3,3,6,0.5,3,6,0.5,0.75,0,0.0,0.0,0.667,0.333,0.667,0.333,4,6,4,2,3,2,4,1,3,4,3,2,4,5,49,Right Corner 3
McBride,NYK,Shot Area,Above the Break 3,10,50,0.2,10,50,0.2,0.3,0,0.0,0.0,0.7,0.3,0.7,0.3,1,1,1,1,1,1,1,1,3,4,1,1,1,2,49,Above the Break 3
McBride,NYK,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,5,5,5,7,1,3,4,5,3,6,6,49,Backcourt
