Name,Team,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Rose,NYK,Shot Area,Restricted Area,46,79,0.582,0,0,0.0,0.582,9,0.239,0.761,0.0,0.0,0.239,0.761,1,1,1,4,5,4,2,7,1,1,4,3,2,1,49,Restricted Area
Rose,NYK,Shot Area,In The Paint (Non-RA),28,63,0.444,0,0,0.0,0.444,6,0.321,0.679,0.0,0.0,0.321,0.679,3,3,3,4,5,4,3,6,2,2,4,3,3,2,49,In The Paint (Non-RA)
Rose,NYK,Shot Area,Mid-Range,11,40,0.275,0,0,0.0,0.275,1,0.182,0.818,0.0,0.0,0.182,0.818,4,4,4,4,5,4,4,4,3,3,4,3,5,3,49,Mid-Range
Rose,NYK,Shot Area,Left Corner 3,3,7,0.429,3,7,0.429,0.643,0,0.0,0.0,1.0,0.0,1.0,0.0,5,6,5,2,3,2,5,1,4,4,2,3,4,6,49,Left Corner 3
Rose,NYK,Shot Area,Right Corner 3,3,10,0.3,3,10,0.3,0.45,1,0.0,0.0,0.333,0.667,0.333,0.667,5,5,5,2,2,2,5,4,4,4,3,2,6,5,49,Right Corner 3
Rose,NYK,Shot Area,Above the Break 3,31,74,0.419,31,74,0.419,0.628,0,0.0,0.0,0.774,0.226,0.774,0.226,2,2,2,1,1,1,1,1,4,4,1,1,1,4,49,Above the Break 3
Rose,NYK,Shot Area,Backcourt,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,4,4,3,7,6,49,Backcourt
