Name,Team,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Thomas,BKN,Shot Area,Restricted Area,35,66,0.53,0,0,0.0,0.53,17,0.486,0.514,0.0,0.0,0.486,0.514,3,4,3,4,4,4,4,7,3,3,4,3,4,3,49,Restricted Area
Thomas,BKN,Shot Area,In The Paint (Non-RA),64,118,0.542,0,0,0.0,0.542,8,0.438,0.563,0.0,0.0,0.438,0.563,2,3,2,4,4,4,2,6,1,2,4,3,1,2,49,In The Paint (Non-RA)
Thomas,BKN,Shot Area,Mid-Range,72,145,0.497,0,0,0.0,0.497,2,0.361,0.639,0.0,0.0,0.361,0.639,1,1,1,4,4,4,1,5,2,1,4,3,2,1,49,Mid-Range
Thomas,BKN,Shot Area,Left Corner 3,10,19,0.526,10,19,0.526,0.789,0,0.0,0.0,0.9,0.1,0.9,0.1,5,5,5,2,2,2,5,1,4,4,2,2,5,5,49,Left Corner 3
Thomas,BKN,Shot Area,Right Corner 3,3,13,0.231,3,13,0.231,0.346,0,0.0,0.0,1.0,0.0,1.0,0.0,6,6,6,3,3,3,6,1,4,4,3,3,6,6,49,Right Corner 3
Thomas,BKN,Shot Area,Above the Break 3,34,142,0.239,34,142,0.239,0.359,0,0.0,0.0,0.618,0.382,0.618,0.382,4,2,4,1,1,1,3,1,4,4,1,1,3,4,49,Above the Break 3
Thomas,BKN,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,4,4,3,7,6,49,Backcourt
