Name,Team,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Markkanen,CLE,Shot Area,Restricted Area,119,184,0.647,0,0,0.0,0.647,26,0.714,0.286,0.0,0.0,0.714,0.286,1,2,2,5,5,5,2,7,1,1,5,2,2,1,49,Restricted Area
Markkanen,CLE,Shot Area,In The Paint (Non-RA),42,96,0.438,0,0,0.0,0.438,14,0.619,0.381,0.0,0.0,0.619,0.381,3,3,3,5,5,5,3,6,2,2,5,2,3,2,49,In The Paint (Non-RA)
Markkanen,CLE,Shot Area,Mid-Range,17,44,0.386,1,1,1.0,0.398,2,0.625,0.375,1.0,0.0,0.647,0.353,5,4,5,4,4,4,5,4,3,3,4,2,5,3,49,Mid-Range
Markkanen,CLE,Shot Area,Left Corner 3,20,44,0.455,20,44,0.455,0.682,0,0.0,0.0,1.0,0.0,1.0,0.0,4,4,4,2,2,2,4,1,4,4,2,2,4,5,49,Left Corner 3
Markkanen,CLE,Shot Area,Right Corner 3,11,38,0.289,11,38,0.289,0.434,1,0.0,0.0,1.0,0.0,1.0,0.0,6,6,6,3,3,3,6,3,4,4,3,2,5,5,49,Right Corner 3
Markkanen,CLE,Shot Area,Above the Break 3,104,297,0.35,104,297,0.35,0.525,3,0.0,0.0,0.99,0.01,0.99,0.01,2,1,1,1,1,1,1,5,4,4,1,1,1,4,49,Above the Break 3
Markkanen,CLE,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,5,5,5,7,1,4,4,5,2,7,5,49,Backcourt
