Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
0708,ORL,Howard,78%,25.8,13.3,+12.5,+7.4,-1.6,+9.0,+11.1
0708,ORL,Turkoglu,77%,20.2,14.6,+5.6,+7.0,+0.3,+6.8,+6.1
0708,ORL,Gortat,1%,22.5,9.6,+12.9,+0.0,+5.5,-5.5,+5.5
0708,ORL,Lewis,78%,18.9,14.6,+4.4,+6.5,+1.6,+5.0,+4.6
0708,ORL,Arroyo,32%,14.6,15.3,-0.7,+5.1,+5.6,-0.5,-0.6
0708,ORL,Nelson,50%,17.6,18.9,-1.3,+5.6,+5.3,+0.2,-0.7
0708,ORL,Dooling,34%,16.0,16.1,-0.1,+4.4,+6.0,-1.6,-0.7
0708,ORL,Bogans,56%,12.5,17.7,-5.2,+6.6,+4.0,+2.6,-2.1
0708,ORL,Redick,7%,14.7,14.8,-0.1,-2.8,+6.1,-8.8,-3.6
0708,ORL,Evans,41%,15.7,19.4,-3.6,+3.1,+7.1,-4.0,-3.8
0708,ORL,Ariza,3%,14.5,20.2,-5.8,+4.6,+5.5,-0.9,-3.8
0708,ORL,Augustine,4%,12.1,17.8,-5.7,+2.9,+5.5,-2.6,-4.4
0708,ORL,Cook,14%,11.1,20.2,-9.1,+1.9,+6.0,-4.1,-7.1
0708,ORL,Foyle,20%,11.2,18.7,-7.4,-0.8,+6.9,-7.8,-7.6
0708,ORL,Garrity,7%,4.3,16.2,-11.9,+0.5,+5.8,-5.3,-9.3
0708,ORL,Outlaw,0%,10.3,38.2,-27.9,-29.1,+5.5,-34.6,-30.6
