Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1718,DET,Griffin,21%,21.9,16.3,+5.6,+2.1,-0.7,+2.8,+4.7
1718,DET,Galloway,22%,14.4,11.8,+2.6,+4.1,-1.3,+5.5,+3.5
1718,DET,Drummond,66%,27.2,21.5,+5.8,-1.0,+1.6,-2.7,+2.9
1718,DET,Kennard,37%,14.5,14.1,+0.4,+4.0,-2.6,+6.6,+2.5
1718,DET,Bullock,44%,16.0,13.6,+2.4,+0.6,-0.7,+1.4,+2.1
1718,DET,Tolliver,44%,16.4,16.3,+0.1,+0.7,-0.8,+1.5,+0.6
1718,DET,Marjanovic,4%,25.7,21.5,+4.2,+0.0,-0.2,+0.2,+0.3
1718,DET,Harris,39%,19.9,18.7,+1.2,-1.4,+0.7,-2.1,+0.1
1718,DET,Hearn,0%,16.9,-3.7,+20.6,-38.9,-0.1,-38.8,+0.0
1718,DET,Jackson,30%,18.7,19.3,-0.6,+0.7,-0.5,+1.2,-0.0
1718,DET,Smith,52%,18.2,19.8,-1.6,+1.0,-1.4,+2.3,-0.3
1718,DET,Moreland,20%,16.5,21.0,-4.5,+0.4,-0.3,+0.6,-2.8
1718,DET,Buycks,11%,15.0,19.9,-4.9,+0.6,-0.2,+0.8,-3.0
1718,DET,EnnisIII,14%,13.0,14.3,-1.2,-6.7,+0.9,-7.7,-3.4
1718,DET,Johnson,48%,10.8,15.7,-4.9,-1.1,+0.8,-1.9,-3.9
1718,DET,Bradley,32%,11.4,15.6,-4.2,-4.7,+2.0,-6.7,-5.1
1718,DET,Leuer,3%,10.2,24.9,-14.7,+4.3,-0.3,+4.6,-8.3
1718,DET,Ellenson,8%,13.0,27.0,-14.0,-0.8,-0.1,-0.7,-9.5
1718,DET,Nelson,3%,2.9,14.8,-12.0,-24.1,+0.6,-24.6,-16.2
1718,DET,Reed,0%,10.0,38.4,-28.4,+0.0,-0.1,+0.1,-18.9
1718,DET,Felder,0%,2.3,37.8,-35.4,-8.8,-0.1,-8.6,-26.5
1718,DET,Montero,0%,-17.7,15.6,-33.4,-31.5,-0.1,-31.4,-32.2
