0,1,2,3,4,5,6,7,8
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Simple
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Achiuwa,43%,15.8,17.6,-1.9,+2.0,+2.5,-0.5,-1.4
Champagnie,7%,16.4,22.2,-5.7,+8.9,+1.8,+7.1,-1.5
Flynn,13%,14.7,15.7,-1.0,-2.6,+3.1,-5.6,-2.6
Dragic,2%,16.9,14.0,+3.0,-12.2,+2.6,-14.8,-3.0
Birch,25%,15.9,20.6,-4.7,+1.0,+2.7,-1.7,-3.7
T.Young,12%,15.4,22.9,-7.5,+5.1,+1.9,+3.2,-3.9
Banton,17%,12.6,18.9,-6.4,+2.4,+2.3,+0.1,-4.2
Watanabe,11%,14.4,18.0,-3.7,-5.7,+3.3,-9.0,-5.5
Wilson,1%,35.1,35.5,-0.4,-16.3,+2.6,-18.9,-6.6
Brooks,4%,10.5,18.1,-7.7,-3.5,+2.6,-6.1,-7.1
Mykhailiuk,18%,12.1,18.4,-6.3,-5.2,+4.0,-9.2,-7.3
Johnson,0%,-30.4,-30.4,+0.0,-60.6,+2.3,-63.0,-10.0
Oturu,1%,16.6,21.0,-4.4,-43.4,+2.6,-46.0,-12.9
Bonga,2%,10.6,29.0,-18.4,-23.4,+2.8,-26.1,-21.0
Morgan,1%,11.3,36.8,-25.5,-44.5,+2.6,-47.2,-27.0
Waters,1%,6.6,40.3,-33.7,-26.8,+2.6,-29.4,-32.3
Dekker,0%,-96.1,99.0,-195.1,-480.0,+2.4,-482.4,-140.1
