0,1,2,3,4,5,6,7,8
#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1,Beal-Satoransky-Ariza-Green-Bryant,.480,.520,+18,34%,41%,50.0%,+1%
2,Beal-Satoransky-Ariza-Green-Portis,.460,.470,+26,36%,39%,49.5%,-3%
3,Beal-Satoransky-BrownJr.-Portis-Bryant,.470,.480,+23,40%,33%,52.5%,+2%
4,Wall-Beal-PorterJr.-Morris-Howard,.500,.490,-20,37%,30%,46.0%,0%
5,Beal-Satoransky-PorterJr.-Ariza-Green,.490,.510,-12,27%,41%,40.5%,+7%
6,Beal-Satoransky-PorterJr.-Ariza-Bryant,.430,.490,-1,28%,35%,49.0%,+8%
7,Wall-Beal-OubreJr.-PorterJr.-Bryant,.500,.530,-5,29%,35%,44.5%,+5%
8,Wall-Beal-PorterJr.-Morris-Mahinmi,.410,.460,+13,26%,32%,50.5%,+9%
9,Wall-Beal-Satoransky-PorterJr.-Bryant,.500,.400,+3,29%,37%,45.5%,+4%
10,Wall-Beal-OubreJr.-PorterJr.-Morris,.450,.440,+7,36%,39%,38.0%,+6%
11,Wall-Beal-Ariza-Green-Bryant,.430,.410,-3,33%,34%,40.5%,+6%
12,Wall-Beal-PorterJr.-Green-Morris,.570,.440,+12,38%,34%,39.5%,+13%
13,Rivers-OubreJr.-Satoransky-Green-Mahinmi,.420,.440,-1,31%,31%,51.0%,+6%
14,Rivers-OubreJr.-Satoransky-Green-Morris,.450,.440,+15,29%,33%,37.0%,+10%
15,Wall-Beal-OubreJr.-Green-Morris,.490,.490,-3,40%,38%,45.0%,-10%
16,Wall-Rivers-Beal-OubreJr.-Green,.480,.400,-7,53%,30%,43.0%,+7%
17,Rivers-Beal-Satoransky-Green-Morris,.480,.520,-13,31%,32%,52.5%,-4%
18,Randle-Beal-Ariza-Green-Bryant,.430,.490,+11,28%,49%,44.0%,-2%
19,Randle-Satoransky-BrownJr.-Parker-Bryant,.550,.460,+2,33%,41%,46.5%,-8%
20,Beal-Satoransky-Ariza-Green-Parker,.510,.460,+6,41%,35%,49.5%,-8%
