0,1,2,3,4,5,6,7,8
#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1,Thomas-Beal-BrownJr.-Hachimura-Bryant,.460,.510,-13,36%,38%,46.5%,-1%
2,Smith-Beal-Bonga-Hachimura-Mahinmi,.420,.450,-8,33%,36%,49.5%,+13%
3,Smith-Beal-Bonga-Hachimura-Bryant,.440,.450,-8,34%,32%,53.0%,-3%
4,Smith-Beal-Hachimura-Bertans-Wagner,.480,.510,0,35%,39%,52.0%,-2%
5,Smith-Bonga-BrownJr.-Hachimura-Bryant,.410,.440,+11,39%,33%,56.5%,-2%
6,Smith-McRae-Miles-Bertans-Wagner,.410,.550,-18,39%,33%,52.5%,+3%
7,Smith-Beal-Hachimura-Bertans-Bryant,.450,.540,+1,34%,32%,49.5%,-1%
8,Smith-Beal-BrownJr.-Bertans-Bryant,.540,.460,+4,32%,31%,48.5%,-1%
9,Thomas-PaytonII-Beal-Bonga-Mahinmi,.480,.520,+14,39%,38%,57.5%,+7%
10,Thomas-Beal-Bonga-Bertans-Mahinmi,.430,.480,-11,34%,32%,56.0%,-12%
11,Thomas-Beal-Hachimura-Bertans-Bryant,.570,.590,-16,30%,43%,37.5%,+2%
12,Napier-Jer.Robinson-BrownJr.-Bertans-Wagner,.390,.500,+7,36%,35%,38.5%,+3%
13,Smith-Beal-Bonga-Hachimura-Wagner,.440,.540,-4,40%,30%,45.0%,-2%
14,Napier-Jer.Robinson-Beal-Hachimura-Bryant,.580,.420,+15,25%,40%,50.5%,+8%
15,Smith-McRae-BrownJr.-Bertans-Bryant,.470,.520,-9,23%,39%,45.5%,-5%
16,Smith-Beal-Miles-Bertans-Wagner,.440,.490,-2,28%,36%,53.0%,+5%
17,Smith-McRae-BrownJr.-Bertans-Pasecniks,.440,.500,+7,35%,46%,38.5%,+10%
18,Smith-Beal-BrownJr.-Hachimura-Bertans,.440,.570,-5,39%,53%,44.5%,+3%
19,Smith-Jer.Robinson-BrownJr.-Hachimura-Bryant,.460,.550,-21,28%,33%,42.5%,0%
20,Smith-McRae-Beal-Bertans-Bryant,.580,.390,+7,42%,37%,44.0%,+13%
