Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1718,OKC,Westbrook,73%,29.3,16.5,+12.8,+6.4,-4.6,+11.0,+12.2
1718,OKC,Adams,63%,23.7,19.6,+4.1,+6.3,-1.4,+7.7,+5.3
1718,OKC,George,73%,22.0,15.3,+6.7,+3.9,+2.4,+1.5,+4.9
1718,OKC,Grant,42%,18.9,14.3,+4.6,+0.6,+5.5,-5.0,+1.4
1718,OKC,Roberson,26%,12.7,14.3,-1.7,+9.0,+1.5,+7.5,+1.4
1718,OKC,Johnson,4%,18.8,11.9,+6.9,+10.3,+3.2,+7.1,+0.7
1718,OKC,Anthony,63%,15.1,19.2,-4.1,+5.3,+0.3,+5.0,-1.1
1718,OKC,Collison,2%,15.8,16.3,-0.5,-3.3,+3.6,-6.9,-2.6
1718,OKC,Huestis,25%,6.3,12.2,-5.9,+5.5,+2.8,+2.8,-3.0
1718,OKC,Felton,35%,15.3,16.5,-1.2,-1.6,+6.1,-7.7,-3.4
1718,OKC,Brewer,13%,16.5,24.2,-7.7,+3.3,+3.5,-0.1,-5.2
1718,OKC,Singler,1%,7.5,15.9,-8.3,-0.9,+3.5,-4.4,-7.0
1718,OKC,Abrines,29%,10.5,20.3,-9.8,+1.7,+4.2,-2.5,-7.4
1718,OKC,Patterson,32%,11.9,18.5,-6.6,-3.0,+6.5,-9.5,-7.5
1718,OKC,Ferguson,19%,8.5,18.4,-10.0,-5.4,+5.6,-11.0,-10.3
1718,OKC,Hamilton,1%,22.5,37.8,-15.4,-21.7,+3.6,-25.3,-18.7
1718,OKC,Dozier,0%,-5.3,7.7,-13.0,-52.0,+3.5,-55.6,-18.7
