0,1,2,3,4,5,6,7,8
#,Unit,Min,Off,Def,+/-,W,L,Win%
1,Wall-Temple-Webster-Nene-Okafor,282.8,1.03,1.09,-33,7,13,35.0
2,Wall-Beal-Webster-Nene-Okafor,141.8,1.13,0.85,+82,13,3,81.2
3,Price-Beal-Ariza-Booker-Okafor,133.9,0.89,1.07,-44,3,10,23.0
4,Price-Beal-Webster-Nene-Okafor,110.7,1.14,0.93,+41,7,3,70.0
5,Crawford-Beal-Webster-Singleton-Okafor,67.5,0.69,1.12,-59,0,6,0.0
6,Wall-Webster-Ariza-Nene-Okafor,64.5,0.88,1.00,-11,8,5,61.5
7,Beal-Temple-Webster-Nene-Okafor,63.2,1.00,1.02,-4,3,3,50.0
8,Price-Beal-Ariza-Seraphin-Okafor,50.2,1.05,1.13,-6,2,3,40.0
9,Beal-Temple-Webster-Seraphin-Okafor,45.5,0.91,0.91,-5,2,3,40.0
10,Wall-Crawford-Ariza-Booker-Seraphin,38.8,1.03,1.01,-1,1,4,20.0
11,Wall-Temple-Singleton-Booker-Okafor,37.1,1.14,1.04,+6,1,1,50.0
12,Wall-Temple-Webster-Booker-Okafor,36.2,1.16,0.99,+13,3,1,75.0
13,Price-Crawford-Ariza-Vesely-Okafor,35.8,0.98,0.97,+5,2,1,66.6
14,Wall-Beal-Webster-Booker-Okafor,32.4,1.17,1.10,+10,5,1,83.3
15,Pargo-Crawford-Webster-Vesely-Seraphin,32.1,0.88,1.07,-9,2,3,40.0
16,Price-Beal-Ariza-Singleton-Seraphin,31.4,0.88,0.86,+0,3,4,42.8
17,Wall-Temple-Martin-Booker-Seraphin,29.6,0.80,1.09,-17,3,2,60.0
18,Wall-Beal-Ariza-Nene-Okafor,28.8,0.98,1.05,-1,3,5,37.5
19,Wall-Webster-Ariza-Singleton-Nene,28.8,1.29,0.97,+15,3,1,75.0
20,Price-Crawford-Ariza-Booker-Seraphin,28.2,0.86,1.12,-12,2,4,33.3
