Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
2122,POR,Nurkic,40%,25.4,22.7,+2.7,+0.4,-15.3,+15.7,+7.0
2122,POR,Lillard,27%,23.4,18.3,+5.1,-1.4,-11.8,+10.5,+6.9
2122,POR,Little,28%,17.0,16.6,+0.4,-1.0,-12.1,+11.0,+4.0
2122,POR,Simons,43%,19.3,19.6,-0.3,-2.4,-14.0,+11.6,+3.7
2122,POR,McCollum,32%,19.9,19.3,+0.7,-4.4,-11.2,+6.9,+2.7
2122,POR,Powell,34%,19.3,16.4,+2.9,-7.6,-9.7,+2.1,+2.6
2122,POR,NanceJr.,22%,18.1,18.5,-0.5,-2.8,-10.8,+8.0,+2.3
2122,POR,Hart,11%,24.5,21.5,+3.0,-10.0,-8.9,-1.0,+1.7
2122,POR,McGriff,1%,15.4,11.9,+3.5,+8.5,-9.2,+17.7,+0.1
2122,POR,Winslow,7%,17.8,22.3,-4.5,-1.7,-9.6,+8.0,-0.4
2122,POR,Covington,36%,12.6,19.1,-6.6,-1.7,-13.2,+11.5,-0.5
2122,POR,Zeller,9%,21.6,27.0,-5.4,-3.9,-9.5,+5.7,-1.7
2122,POR,SmithJr.,16%,16.8,19.1,-2.3,-10.7,-8.7,-1.9,-2.2
2122,POR,McLemore,33%,14.8,16.1,-1.3,-13.5,-6.9,-6.6,-3.0
2122,POR,Dunn,9%,15.8,20.0,-4.2,-13.2,-8.6,-4.6,-4.3
2122,POR,Eubanks,16%,24.9,26.4,-1.5,-19.0,-7.1,-11.9,-5.0
2122,POR,Cumberland,0%,10.1,33.6,-23.4,+35.5,-9.2,+44.7,-5.6
2122,POR,BrownIII,16%,13.8,21.2,-7.3,-18.4,-7.2,-11.2,-8.6
2122,POR,Elleby,30%,11.6,23.3,-11.7,-14.5,-6.7,-7.8,-10.4
2122,POR,Snell,14%,6.7,20.1,-13.4,-13.0,-8.4,-4.6,-10.5
2122,POR,Johnson,14%,10.7,18.5,-7.8,-24.4,-6.5,-17.9,-11.1
2122,POR,Watford,22%,19.8,29.9,-10.1,-19.9,-6.0,-13.9,-11.3
2122,POR,Williams,16%,13.9,25.4,-11.5,-20.8,-6.8,-14.0,-12.4
2122,POR,Perry,4%,20.2,32.7,-12.6,-20.4,-8.5,-11.9,-12.4
2122,POR,Hughes,8%,4.8,17.1,-12.3,-24.5,-7.7,-16.8,-13.8
2122,POR,Louzada,3%,8.6,25.0,-16.4,-31.0,-8.3,-22.7,-18.5
2122,POR,Blevins,9%,6.1,26.6,-20.5,-29.3,-7.1,-22.2,-21.1
