0,1,2,3,4,5,6,7,8
#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1,James-Butler-McGuire-Jamison-Blatche,.526,.580,-22,34%,37%,48.5%,+3%
2,James-Butler-McGuire-Jamison-Songaila,.499,.523,+1,35%,31%,50%,+1%
3,James-McGuire-Jamison-Blatche-Songaila,.508,.545,-7,36%,33%,48.5%,-2%
4,Brown-Stevenson-Butler-Jamison-McGee,.528,.588,-28,36%,39%,44%,+3%
5,James-Young-McGuire-Jamison-Blatche,.423,.484,-2,31%,39%,53%,-1%
6,James-Stevenson-Butler-Jamison-Blatche,.428,.525,+7,32%,35%,50.5%,0%
7,Daniels-Stevenson-Butler-Jamison-Thomas,.433,.616,+11,30%,28%,48%,-1%
8,James-Young-Butler-Jamison-Songaila,.471,.445,+1,32%,30%,54%,+2%
9,Crittenton-Butler-McGuire-Jamison-Haywood,.484,.465,-1,44%,34%,49%,-16%
10,Crittenton-Young-McGuire-McGee-Pecherov,.436,.608,+26,32%,32%,60.5%,0%
11,Crittenton-Butler-McGuire-Jamison-Blatche,.481,.581,+14,37%,28%,52%,0%
12,Dixon-Stevenson-Butler-Jamison-Blatche,.530,.522,-4,32%,35%,50%,+1%
13,Daniels-Stevenson-Butler-Jamison-Blatche,.451,.603,+18,37%,35%,43%,+5%
14,James-Young-Butler-Jamison-Blatche,.533,.547,-2,26%,35%,53.5%,-5%
15,James-Young-McGuire-Jamison-Songaila,.362,.547,+4,22%,37%,41.5%,+1%
16,Crittenton-Young-McGuire-Jamison-McGee,.373,.585,-15,39%,39%,46.5%,-6%
17,Crittenton-Butler-McGuire-Jamison-Songaila,.500,.541,+13,41%,26%,49%,-6%
18,James-Butler-McGuire-Jamison-McGee,.485,.628,-18,34%,38%,45%,-12%
19,Dixon-Young-Butler-Jamison-McGee,.524,.564,-3,39%,29%,54%,-11%
20,Dixon-Stevenson-Butler-Jamison-Thomas,.375,.588,-11,27%,39%,45.5%,0%
