0,1,2,3,4,5,6,7,8
#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1,Westbrook-Beal-Mathews-Hachimura-Wagner,.470,.480,+18,41%,37%,39.0%,+4%
2,Westbrook-Beal-Mathews-Hachimura-Len,.540,.480,+6,46%,28%,46.5%,-6%
3,Westbrook-Beal-Avdija-Hachimura-Len,.480,.480,+9,40%,37%,51.5%,-1%
4,Neto-Westbrook-Avdija-Bertans-R.Lopez,.420,.490,+6,39%,34%,48.0%,+5%
5,Westbrook-Beal-Hachimura-Bertans-R.Lopez,.440,.500,+3,31%,38%,53.0%,-1%
6,Westbrook-Beal-Hachimura-Bertans-Len,.440,.470,+1,40%,29%,58.5%,+1%
7,Neto-Beal-Avdija-Hachimura-R.Lopez,.600,.600,+2,41%,30%,54.0%,-1%
8,Westbrook-Beal-Avdija-Hachimura-R.Lopez,.520,.470,+10,45%,32%,49.5%,+3%
9,Neto-Westbrook-Beal-Hachimura-Len,.550,.490,0,45%,41%,55.0%,+2%
10,Westbrook-Beal-Avdija-Hachimura-Bryant,.480,.520,+9,26%,24%,48.0%,+9%
11,Smith-Westbrook-Hutchison-Bertans-R.Lopez,.470,.470,0,42%,22%,47.0%,0%
12,Neto-Westbrook-Beal-Bertans-R.Lopez,.570,.410,+19,50%,36%,54.5%,0%
13,Neto-Westbrook-Avdija-Bertans-Len,.430,.360,+7,31%,40%,54.0%,-9%
14,Westbrook-Beal-Hachimura-Bertans-Wagner,.410,.440,+7,40%,31%,47.5%,-4%
15,Westbrook-Jer.Robinson-Avdija-Hachimura-Len,.460,.440,-13,29%,31%,47.0%,0%
16,Westbrook-Beal-Mathews-Hachimura-R.Lopez,.430,.420,+1,27%,33%,47.0%,+3%
17,Neto-Beal-Avdija-Bertans-R.Lopez,.550,.430,+8,34%,35%,45.5%,-5%
18,Neto-Westbrook-Beal-Gill-Len,.560,.500,-4,33%,28%,47.0%,-1%
19,Westbrook-Beal-Hachimura-Bertans-Gafford,.480,.390,-2,37%,31%,50.5%,-5%
20,Neto-Westbrook-Avdija-Hachimura-R.Lopez,.510,.460,+8,38%,32%,46.0%,-5%
