0,1,2,3,4,5,6,7,8
#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1,Satoransky-Beal-PorterJr.-Morris-Gortat,.510,.460,-1,31%,37%,52.0%,-1%
2,Wall-Beal-PorterJr.-Morris-Gortat,.490,.450,-8,34%,37%,48.0%,0%
3,Wall-Beal-OubreJr.-PorterJr.-Gortat,.460,.440,+39,34%,39%,49.5%,+4%
4,Frazier-Beal-PorterJr.-Morris-Gortat,.440,.480,-16,29%,31%,50.0%,+4%
5,Frazier-Meeks-OubreJr.-Scott-Mahinmi,.430,.480,-1,34%,34%,52.5%,+1%
6,Satoransky-Meeks-OubreJr.-Scott-Mahinmi,.440,.460,-2,25%,34%,50.0%,-3%
7,Wall-Beal-OubreJr.-Morris-Gortat,.470,.440,+10,32%,40%,47.0%,-4%
8,Satoransky-Beal-OubreJr.-PorterJr.-Morris,.540,.460,-26,27%,44%,50.5%,+7%
9,Wall-Beal-OubreJr.-PorterJr.-Morris,.490,.470,-3,35%,28%,49.0%,-2%
10,Satoransky-Beal-OubreJr.-Scott-Mahinmi,.500,.450,+5,31%,33%,51.0%,-1%
11,Satoransky-Beal-OubreJr.-PorterJr.-Gortat,.480,.440,-13,32%,36%,48.0%,+5%
12,Wall-Beal-OubreJr.-Scott-Gortat,.430,.460,-12,37%,34%,52.0%,+3%
13,Sessions-Meeks-OubreJr.-Scott-Mahinmi,.420,.480,+5,48%,41%,53.0%,-10%
14,Frazier-Beal-OubreJr.-Scott-Mahinmi,.460,.370,-5,29%,27%,50.5%,+6%
15,Satoransky-Beal-OubreJr.-Morris-Gortat,.350,.470,-5,37%,44%,47.5%,-1%
16,Satoransky-Meeks-OubreJr.-Scott-Smith,.440,.450,+2,18%,35%,45.0%,+4%
17,Wall-Beal-PorterJr.-Scott-Gortat,.530,.400,-11,32%,34%,43.5%,+6%
18,Satoransky-Beal-OubreJr.-PorterJr.-Mahinmi,.370,.500,+6,35%,38%,43.5%,-2%
19,Satoransky-Beal-OubreJr.-Scott-Morris,.360,.450,-11,16%,36%,42.5%,-1%
20,Frazier-Satoransky-Meeks-Scott-Mahinmi,.430,.500,-7,34%,39%,56.5%,+3%
