0,1,2,3,4,5,6,7,8
#,Unit,Min,Off,Def,+/-,W,L,Win%
1,Wall-Beal-Porter-Morris-Gortat,%1347.4,1.15,1.07,+233,39,28,58.2
2,Wall-Beal-Oubre-Porter-Gortat,199.6,1.19,1.02,+76,17,13,56.6
3,Wall-Beal-Porter-Smith-Gortat,136.2,1.20,1.32,-34,7,16,30.4
4,Wall-Beal-Oubre-Morris-Gortat,102.6,1.19,1.17,+6,14,13,51.8
5,Jennings-Bogdanovic-Oubre-Smith-Mahinmi,85.8,1.12,0.86,+48,8,3,72.7
6,Burke-Satoransky-Oubre-Morris-Smith,77.3,1.03,0.90,+21,7,6,53.8
7,Wall-Thornton-Porter-Morris-Gortat,61.2,1.10,1.21,+0,4,5,44.4
8,Wall-Beal-Oubre-Porter-Morris,52.2,1.24,1.09,-3,10,14,41.6
9,Burke-Thornton-Oubre-Morris-Smith,45.2,1.00,1.04,+0,5,4,55.5
10,Wall-Beal-Bogdanovic-Porter-Morris,41.1,1.27,1.32,+1,5,5,50.0
11,Burke-Beal-Oubre-Morris-Smith,38.0,1.13,1.11,-9,5,10,33.3
12,Wall-Beal-Porter-Morris-Smith,32.7,1.00,1.34,-20,8,8,50.0
13,Wall-Beal-Bogdanovic-Porter-Gortat,31.5,1.20,1.27,+10,8,5,61.5
14,Wall-Beal-Porter-Morris-Mahinmi,31.1,1.22,1.04,+9,5,5,50.0
15,Burke-McClellan-Oubre-Morris-Smith,27.0,1.04,1.13,-10,2,4,33.3
16,Jennings-Beal-Bogdanovic-Oubre-Mahinmi,26.9,1.18,0.92,+19,5,1,83.3
17,Wall-McClellan-Porter-Morris-Gortat,26.4,0.96,0.88,+5,1,1,50.0
18,Wall-Beal-Oubre-Porter-Smith,26.3,1.31,1.05,+12,8,7,53.3
19,Wall-Thornton-Oubre-Porter-Gortat,26.2,1.04,1.44,-14,5,5,50.0
20,McClellan-Satoransky-Porter-Morris-Gortat,25.3,1.18,0.88,+15,2,0,100
