0,1,2,3,4,5,6,7,8
#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1,Daniels-Stevenson-Butler-Jamison-Haywood,.504,.543,+139,32%,31%,101%,+3%
2,Daniels-Stevenson-Jamison-Blatche-Haywood,.465,.534,+5,38%,26%,101%,+5%
3,Mason-Stevenson-Butler-Jamison-Haywood,.531,.507,-7,31%,37%,98%,+1%
4,Arenas-Stevenson-Butler-Jamison-Haywood,.447,.481,+18,32%,26%,113%,-1%
5,Daniels-Stevenson-Jamison-Songaila-Haywood,.478,.553,+34,31%,32%,99%,+4%
6,Daniels-Stevenson-Butler-Jamison-Blatche,.541,.575,+11,32%,38%,106%,+6%
7,Mason-McGuire-Young-Blatche-Songaila,.481,.500,-9,32%,31%,91%,-4%
8,Mason-McGuire-Young-Blatche-Pecherov,.455,.539,+9,31%,40%,90%,-1%
9,Stevenson-Young-Butler-Jamison-Haywood,.463,.432,+10,31%,31%,115%,+4%
10,Mason-Young-Butler-Blatche-Songaila,.542,.579,-27,29%,25%,113%,-2%
11,Mason-Stevenson-Jamison-Blatche-Haywood,.486,.583,+3,35%,37%,107%,-1%
12,Daniels-Stevenson-Butler-Jamison-Songaila,.505,.556,+27,37%,32%,111%,+5%
13,Mason-Stevenson-Jamison-Songaila-Haywood,.553,.500,+11,22%,31%,109%,-1%
14,Mason-Young-Jamison-Blatche-Songaila,.500,.409,-9,30%,21%,106%,+11%
15,Daniels-Stevenson-Butler-Songaila-Haywood,.519,.461,+5,39%,30%,127%,-6%
16,Daniels-Mason-Butler-Jamison-Blatche,.474,.598,-2,26%,26%,107%,+5%
17,Mason-McGuire-Young-Pecherov-Songaila,.429,.522,-5,23%,30%,95%,-1%
18,Daniels-Mason-Butler-Jamison-Songaila,.635,.397,-1,37%,41%,90%,+13%
19,Mason-Young-Butler-Jamison-Blatche,.631,.413,-8,38%,37%,115%,-8%
20,Daniels-Mason-Jamison-Blatche-Songaila,.393,.465,+3,26%,23%,110%,+1%
