0,1,2,3,4,5,6,7,8
#,Unit,Min,Off,Def,+/-,W,L,Win%
1,Wall-Temple-Dudley-Porter-Gortat,311.4,1.06,1.08,-17,11,20,35.4
2,Wall-Beal-Dudley-Porter-Gortat,229.5,1.12,1.03,+58,15,11,57.6
3,Wall-Beal-Porter-Morris-Gortat,197.7,1.10,1.04,+31,9,8,52.9
4,Wall-Beal-Porter-Humphries-Gortat,138.3,0.98,1.07,-27,4,6,40.0
5,Wall-Temple-Porter-Morris-Gortat,121.9,0.98,0.97,-4,6,11,35.2
6,Wall-Temple-Dudley-Oubre-Gortat,114.9,1.07,1.08,-5,8,6,57.1
7,Wall-Temple-Beal-Dudley-Gortat,69.7,1.17,0.99,+25,8,8,50.0
8,Sessions-Beal-Porter-Morris-Gortat,59.3,1.15,1.16,+1,4,2,66.6
9,Sessions-Temple-Beal-Dudley-Nene,50.5,1.06,1.23,-15,5,8,38.4
10,Wall-Temple-Porter-Nene-Gortat,47.1,0.96,1.02,-4,2,4,33.3
11,Wall-Temple-Dudley-Porter-Nene,45.6,1.09,1.05,+0,7,8,46.6
12,Wall-Sessions-Temple-Dudley-Gortat,45.5,1.14,0.81,+27,8,3,72.7
13,Sessions-Neal-Temple-Dudley-Nene,45.1,0.96,0.86,+10,5,4,55.5
14,Wall-Neal-Temple-Dudley-Gortat,42.5,1.14,1.11,+0,3,6,33.3
15,Wall-Sessions-Dudley-Porter-Gortat,39.6,1.05,1.23,-10,4,7,36.3
16,Wall-Temple-Porter-Humphries-Gortat,39.6,1.13,1.02,+6,1,0,100
17,Wall-Sessions-Temple-Porter-Gortat,36.2,1.20,0.97,+23,7,1,87.5
18,Wall-Beal-Porter-Nene-Gortat,34.9,1.16,1.11,+1,3,1,75.0
19,Wall-Temple-Beal-Dudley-Nene,34.3,1.01,1.22,-14,4,9,30.7
20,Wall-Temple-Porter-Morris-Nene,34.1,1.24,1.13,+9,5,4,55.5
