0,1,2,3,4,5,6,7,8
#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1,Wall-Beal-Porter-Morris-Gortat,.490,.470,-28,28%,26%,50.0%,+3%
2,Wall-Beal-Oubre-Porter-Gortat,.500,.450,-1,26%,28%,47.5%,+8%
3,Wall-Beal-Porter-Smith-Gortat,.470,.530,-2,25%,23%,52.0%,-3%
4,Wall-Beal-Oubre-Morris-Gortat,.540,.480,-15,33%,26%,52.0%,-3%
5,Jennings-Bogdanovic-Oubre-Smith-Mahinmi,.460,.380,+16,32%,27%,53.5%,-1%
6,Burke-Satoransky-Oubre-Morris-Smith,.500,.340,-3,21%,26%,44.5%,-3%
7,Wall-Thornton-Porter-Morris-Gortat,.410,.480,+21,24%,24%,55.5%,0%
8,Wall-Beal-Oubre-Porter-Morris,.440,.390,+14,28%,25%,48.0%,+6%
9,Burke-Thornton-Oubre-Morris-Smith,.480,.410,-13,18%,27%,45.0%,0%
10,Wall-Beal-Bogdanovic-Porter-Morris,.490,.520,-8,28%,22%,44.5%,-1%
11,Burke-Beal-Oubre-Morris-Smith,.490,.410,-28,24%,28%,54.5%,+1%
12,Wall-Beal-Porter-Morris-Smith,.440,.540,-14,18%,30%,42.0%,-9%
13,Wall-Beal-Bogdanovic-Porter-Gortat,.450,.490,+1,27%,28%,43.0%,+5%
14,Wall-Beal-Porter-Morris-Mahinmi,.550,.410,-4,33%,31%,44.0%,+4%
15,Burke-McClellan-Oubre-Morris-Smith,.420,.480,-7,28%,28%,55.0%,-3%
16,Jennings-Beal-Bogdanovic-Oubre-Mahinmi,.490,.380,-1,25%,38%,43.5%,+6%
17,Wall-McClellan-Porter-Morris-Gortat,.460,.420,-2,29%,22%,52.5%,+7%
18,Wall-Beal-Oubre-Porter-Smith,.570,.380,-5,32%,27%,46.5%,+1%
19,Wall-Thornton-Oubre-Porter-Gortat,.460,.610,0,16%,12%,51.5%,-7%
20,McClellan-Satoransky-Porter-Morris-Gortat,.450,.310,+7,29%,36%,50.0%,-2%
