0,1,2,3,4,5,6,7,8
#,Unit,Min,Off,Def,+/-,W,L,Win%
1,Wall-Young-Singleton-Booker-McGee,200.7,0.96,1.06,-41,8,14,36.3
2,Wall-Crawford-Singleton-Vesely-Seraphin,199.1,0.99,1.03,-18,10,10,50.0
3,Wall-Young-Lewis-Blatche-McGee,109.9,0.91,1.03,-20,3,6,33.3
4,Wall-Crawford-Singleton-Booker-McGee,108.9,1.00,1.19,-38,4,8,33.3
5,Wall-Crawford-Singleton-Booker-Seraphin,106.8,0.99,1.03,-10,5,5,50.0
6,Wall-Crawford-Singleton-Booker-Nene,92.8,1.08,0.98,+15,4,0,100
7,Wall-Crawford-Young-Booker-McGee,78.4,1.17,1.24,-8,7,6,53.8
8,Wall-Young-Lewis-Vesely-McGee,63.4,0.97,1.06,-12,3,6,33.3
9,Wall-Young-Singleton-Blatche-McGee,61.0,0.78,0.96,-23,2,6,25.0
10,Wall-Young-Lewis-Booker-McGee,43.5,0.95,1.25,-24,2,10,16.6
11,Wall-Crawford-Lewis-Blatche-McGee,41.5,0.88,1.30,-33,3,5,37.5
12,Wall-Crawford-Martin-Vesely-Seraphin,40.1,0.99,0.95,+2,4,4,50.0
13,Wall-Crawford-Young-Lewis-McGee,36.5,0.98,1.20,-19,1,7,12.5
14,Mack-Mason-Martin-J.Singleton-Seraphin,35.3,1.17,1.17,-1,2,3,40.0
15,Wall-Martin-Singleton-Vesely-Seraphin,33.9,1.10,0.84,+17,2,1,66.6
16,Wall-Crawford-Singleton-Seraphin-Nene,31.3,1.08,1.02,+4,2,1,66.6
17,Crawford-Mack-Singleton-Vesely-Seraphin,29.0,0.54,0.87,-17,1,4,20.0
18,Wall-Crawford-Lewis-Vesely-McGee,27.6,1.15,0.96,+7,4,5,44.4
19,Mack-Almond-Evans-J.Singleton-Nene,26.5,1.06,0.85,+12,2,0,100
20,Wall-Young-Singleton-Lewis-McGee,25.6,0.91,0.91,+3,2,3,40.0
